"Hours since thread went live","Kenka Dokugaku • Viral Hit - Episode 7 discussion"
0,1
0.08333333333333333,2
0.16666666666666666,2
0.25,2
0.3333333333333333,3
0.4166666666666667,3
0.5,4
0.5833333333333334,6
0.6666666666666666,6
0.75,6
0.8333333333333334,7
0.9166666666666666,8
1,10
1.0833333333333333,11
1.1666666666666667,11
1.25,12
1.3333333333333333,12
1.4166666666666667,14
1.5,14
1.5833333333333333,14
1.6666666666666667,13
1.75,16
1.8333333333333333,15
1.9166666666666667,19
2,18
2.0833333333333335,18
2.1666666666666665,18
2.25,20
2.3333333333333335,22
2.4166666666666665,22
2.5,24
2.5833333333333335,23
2.6666666666666665,23
2.75,25
2.8333333333333335,26
2.9166666666666665,28
3,31
3.0833333333333335,28
3.1666666666666665,29
3.25,32
3.3333333333333335,31
3.4166666666666665,28
3.5,28
3.5833333333333335,30
3.6666666666666665,32
3.75,33
3.8333333333333335,29
3.9166666666666665,34
4,36
4.083333333333333,34
4.166666666666667,36
4.25,39
4.333333333333333,40
4.416666666666667,37
4.5,39
4.583333333333333,42
4.666666666666667,39
4.75,42
4.833333333333333,42
4.916666666666667,41
5,43
5.083333333333333,42
5.166666666666667,45
5.25,45
5.333333333333333,48
5.416666666666667,44
5.5,42
5.583333333333333,41
5.666666666666667,43
5.75,45
5.833333333333333,43
5.916666666666667,46
6,46
6.083333333333333,48
6.166666666666667,49
6.25,46
6.333333333333333,42
6.416666666666667,44
6.5,45
6.583333333333333,45
6.666666666666667,46
6.75,50
6.833333333333333,50
6.916666666666667,49
7,47
7.083333333333333,48
7.166666666666667,50
7.25,53
7.333333333333333,53
7.416666666666667,54
7.5,55
7.583333333333333,59
7.666666666666667,62
7.75,57
7.833333333333333,61
7.916666666666667,62
8,64
8.083333333333334,60
8.166666666666666,63
8.25,65
8.333333333333334,60
8.416666666666666,65
8.5,59
8.583333333333334,64
8.666666666666666,63
8.75,61
8.833333333333334,62
8.916666666666666,62
9,68
9.083333333333334,69
9.166666666666666,64
9.25,64
9.333333333333334,67
9.416666666666666,70
9.5,65
9.583333333333334,66
9.666666666666666,68
9.75,66
9.833333333333334,71
9.916666666666666,67
10,72
10.083333333333334,67
10.166666666666666,69
10.25,67
10.333333333333334,67
10.416666666666666,66
10.5,69
10.583333333333334,66
10.666666666666666,72
10.75,70
10.833333333333334,68
10.916666666666666,72
11,67
11.083333333333334,69
11.166666666666666,71
11.25,71
11.333333333333334,72
11.416666666666666,75
11.5,76
11.583333333333334,76
11.666666666666666,79
11.75,77
11.833333333333334,76
11.916666666666666,79
12,78
12.083333333333334,79
12.166666666666666,82
12.25,81
12.333333333333334,79
12.416666666666666,82
12.5,80
12.583333333333334,83
12.666666666666666,81
12.75,85
12.833333333333334,80
12.916666666666666,82
13,81
13.083333333333334,84
13.166666666666666,81
13.25,84
13.333333333333334,82
13.416666666666666,82
13.5,82
13.583333333333334,81
13.666666666666666,85
13.75,79
13.833333333333334,85
13.916666666666666,82
14,81
14.083333333333334,84
14.166666666666666,82
14.25,84
14.333333333333334,83
14.416666666666666,85
14.5,83
14.583333333333334,81
14.666666666666666,80
14.75,86
14.833333333333334,86
14.916666666666666,86
15,88
15.083333333333334,88
15.166666666666666,88
15.25,89
15.333333333333334,83
15.416666666666666,86
15.5,85
15.583333333333334,89
15.666666666666666,88
15.75,91
15.833333333333334,86
15.916666666666666,84
16,85
16.083333333333332,89
16.166666666666668,84
16.25,86
16.333333333333332,87
16.416666666666668,91
16.5,89
16.583333333333332,88
16.666666666666668,87
16.75,87
16.833333333333332,88
16.916666666666668,91
17,88
17.083333333333332,89
17.166666666666668,90
17.25,93
17.333333333333332,93
17.416666666666668,93
17.5,91
17.583333333333332,95
17.666666666666668,91
17.75,92
17.833333333333332,92
17.916666666666668,92
18,95
18.083333333333332,94
18.166666666666668,92
18.25,92
18.333333333333332,95
18.416666666666668,94
18.5,95
18.583333333333332,91
18.666666666666668,89
18.75,95
18.833333333333332,93
18.916666666666668,93
19,96
19.083333333333332,94
19.166666666666668,93
19.25,94
19.333333333333332,93
19.416666666666668,94
19.5,94
19.583333333333332,95
19.666666666666668,95
19.75,93
19.833333333333332,91
19.916666666666668,96
20,96
20.083333333333332,92
20.166666666666668,96
20.25,97
20.333333333333332,92
20.416666666666668,98
20.5,94
20.583333333333332,96
20.666666666666668,98
20.75,94
20.833333333333332,93
20.916666666666668,96
21,96
21.083333333333332,95
21.166666666666668,99
21.25,102
21.333333333333332,100
21.416666666666668,99
21.5,97
21.583333333333332,97
21.666666666666668,99
21.75,96
