"Hours since thread went live","Maou Gakuin no Futekigousha: Shijou Saikyou no Maou no Shiso, Tensei shite Shison-tachi no Gakkou e Part 2 • The Misfit of Demon King Academy II Part 2 - Episode 2 discussion"
14.916666666666666,292
15,296
15.083333333333334,295
15.166666666666666,299
15.25,296
15.333333333333334,299
15.416666666666666,298
15.5,294
15.583333333333334,300
15.666666666666666,298
15.75,298
15.833333333333334,306
15.916666666666666,297
16,302
16.083333333333332,302
16.166666666666668,307
16.25,302
16.333333333333332,305
16.416666666666668,301
16.5,306
16.583333333333332,303
16.666666666666668,306
16.75,304
16.833333333333332,310
16.916666666666668,303
17,304
17.083333333333332,300
17.166666666666668,304
17.25,306
17.333333333333332,309
17.416666666666668,314
17.5,306
17.583333333333332,310
17.666666666666668,315
17.75,316
17.833333333333332,311
17.916666666666668,316
18,317
18.083333333333332,314
18.166666666666668,307
18.25,308
18.333333333333332,304
18.416666666666668,307
18.5,310
18.583333333333332,311
18.666666666666668,309
18.75,309
18.833333333333332,314
18.916666666666668,314
19,308
19.083333333333332,312
19.166666666666668,318
19.25,318
19.333333333333332,321
19.416666666666668,313
19.5,313
19.583333333333332,315
19.666666666666668,318
19.75,321
19.833333333333332,319
19.916666666666668,321
20,323
20.083333333333332,316
20.166666666666668,320
20.25,325
20.333333333333332,322
20.416666666666668,324
20.5,327
20.583333333333332,324
20.666666666666668,326
20.75,321
20.833333333333332,324
20.916666666666668,327
21,332
21.083333333333332,325
21.166666666666668,327
21.25,331
21.333333333333332,332
21.416666666666668,332
21.5,329
21.583333333333332,326
21.666666666666668,325
21.75,330
21.833333333333332,327
21.916666666666668,329
22,331
22.083333333333332,329
22.166666666666668,335
22.25,331
22.333333333333332,332
22.416666666666668,338
22.5,334
22.583333333333332,334
22.666666666666668,337
22.75,337
22.833333333333332,334
22.916666666666668,336
23,331
23.083333333333332,340
23.166666666666668,331
23.25,330
23.333333333333332,336
23.416666666666668,335
23.5,335
23.583333333333332,340
23.666666666666668,334
23.75,331
23.833333333333332,340
23.916666666666668,339
24,335
24.083333333333332,338
24.166666666666668,334
24.25,336
24.333333333333332,338
24.416666666666668,341
24.5,336
24.583333333333332,340
24.666666666666668,334
24.75,334
24.833333333333332,338
24.916666666666668,337
25,333
25.083333333333332,334
25.166666666666668,337
25.25,343
25.333333333333332,340
25.416666666666668,339
25.5,339
25.583333333333332,341
25.666666666666668,338
25.75,339
25.833333333333332,347
25.916666666666668,336
26,345
26.083333333333332,341
26.166666666666668,343
26.25,340
26.333333333333332,346
