"Hours since thread went live","Shadowverse Flame: Arc-hen - Episode 2 discussion"
39.083333333333336,1
39.166666666666664,2
39.25,2
39.333333333333336,4
39.416666666666664,4
39.5,3
39.583333333333336,4
39.666666666666664,3
39.75,3
39.833333333333336,4
39.916666666666664,4
40,1
40.083333333333336,4
40.166666666666664,3
40.25,3
40.333333333333336,4
40.416666666666664,2
40.5,1
40.583333333333336,4
40.666666666666664,4
40.75,3
40.833333333333336,2
40.916666666666664,3
41,3
41.083333333333336,3
41.166666666666664,4
41.25,1
41.333333333333336,2
41.416666666666664,4
41.5,4
41.583333333333336,2
41.666666666666664,5
41.75,4
41.833333333333336,3
41.916666666666664,4
42,4
42.083333333333336,3
42.166666666666664,3
42.25,1
42.333333333333336,3
42.416666666666664,5
42.5,3
42.583333333333336,3
42.666666666666664,4
42.75,3
42.833333333333336,4
42.916666666666664,5
43,2
43.166666666666664,3
43.25,3
43.333333333333336,2
43.416666666666664,1
43.5,2
43.583333333333336,3
43.666666666666664,5
43.75,2
43.833333333333336,4
43.916666666666664,3
44,3
44.083333333333336,4
44.166666666666664,3
44.25,1
44.333333333333336,5
44.416666666666664,5
44.5,3
44.583333333333336,1
44.666666666666664,4
44.75,2
44.833333333333336,4
44.916666666666664,1
45,5
45.083333333333336,1
45.166666666666664,3
45.25,4
45.333333333333336,2
45.416666666666664,4
45.5,1
45.583333333333336,3
45.666666666666664,4
45.75,1
45.833333333333336,4
45.916666666666664,2
46,5
46.083333333333336,5
46.166666666666664,3
46.25,4
46.333333333333336,5
46.416666666666664,5
46.5,4
46.583333333333336,5
46.666666666666664,4
46.75,4
46.833333333333336,3
46.916666666666664,3
47,3
47.083333333333336,3
47.166666666666664,3
47.25,2
47.333333333333336,4
47.416666666666664,3
47.5,2
47.583333333333336,2
47.666666666666664,3
47.75,3
47.833333333333336,5
47.916666666666664,4
