"Hours since thread went live","Jaku-Chara Tomozaki-kun 2nd Stage • Bottom-tier Character Tomozaki 2nd Stage - Episode 11 discussion"
0,2
0.08333333333333333,1
0.16666666666666666,1
0.25,1
0.3333333333333333,4
0.4166666666666667,6
0.5,8
0.5833333333333334,10
0.6666666666666666,12
0.75,14
0.8333333333333334,15
0.9166666666666666,18
1,21
1.0833333333333333,24
1.1666666666666667,24
1.25,24
1.3333333333333333,24
1.4166666666666667,28
1.5,31
1.5833333333333333,35
1.6666666666666667,40
1.75,44
1.8333333333333333,49
1.9166666666666667,50
2,53
2.0833333333333335,59
2.1666666666666665,63
2.25,66
2.3333333333333335,69
2.4166666666666665,69
2.5,69
2.5833333333333335,69
2.6666666666666665,70
2.75,71
2.8333333333333335,73
2.9166666666666665,77
3,80
3.0833333333333335,81
3.1666666666666665,82
3.25,86
3.3333333333333335,84
3.4166666666666665,89
3.5,92
3.5833333333333335,89
3.6666666666666665,95
3.75,100
3.8333333333333335,106
3.9166666666666665,104
4,114
4.083333333333333,109
4.166666666666667,118
4.25,119
4.333333333333333,126
4.416666666666667,127
4.5,128
4.583333333333333,127
4.666666666666667,126
4.75,129
4.833333333333333,134
4.916666666666667,132
5,129
5.083333333333333,138
5.166666666666667,137
5.25,138
5.333333333333333,138
5.416666666666667,144
5.5,145
5.583333333333333,139
5.666666666666667,141
5.75,146
5.833333333333333,145
5.916666666666667,151
6,152
6.083333333333333,153
6.166666666666667,153
6.25,154
6.333333333333333,156
6.416666666666667,158
6.5,159
6.583333333333333,164
6.666666666666667,166
6.75,170
6.833333333333333,173
6.916666666666667,173
7,173
7.083333333333333,177
7.166666666666667,181
7.25,178
7.333333333333333,184
7.416666666666667,180
7.5,185
7.583333333333333,187
7.666666666666667,186
7.75,191
7.833333333333333,193
7.916666666666667,192
8,194
8.083333333333334,191
8.166666666666666,194
8.25,195
8.333333333333334,199
8.416666666666666,198
8.5,204
8.583333333333334,203
8.666666666666666,210
8.75,207
8.833333333333334,211
8.916666666666666,217
9,212
9.083333333333334,213
9.166666666666666,219
9.25,218
9.333333333333334,225
9.416666666666666,220
9.5,221
9.583333333333334,225
9.666666666666666,222
9.75,228
9.833333333333334,229
9.916666666666666,231
10,235
10.083333333333334,235
10.166666666666666,233
10.25,234
10.333333333333334,237
10.416666666666666,235
10.5,238
10.583333333333334,241
10.666666666666666,249
10.75,248
10.833333333333334,249
10.916666666666666,246
11,248
11.083333333333334,250
11.166666666666666,258
11.25,257
11.333333333333334,258
11.416666666666666,259
11.5,254
11.583333333333334,260
11.666666666666666,258
11.75,260
11.833333333333334,266
11.916666666666666,264
12,268
12.083333333333334,268
12.166666666666666,264
12.25,266
12.333333333333334,270
12.416666666666666,270
12.5,269
12.583333333333334,271
12.666666666666666,271
12.75,274
