"Hours since thread went live","Tonari no Youkai-san - Episode 4 discussion"
14.083333333333334,108
14.166666666666666,108
14.25,112
14.333333333333334,110
14.416666666666666,112
14.5,113
14.583333333333334,114
14.666666666666666,111
14.75,116
14.833333333333334,115
14.916666666666666,111
15,114
15.083333333333334,117
15.166666666666666,115
15.25,116
15.333333333333334,117
15.416666666666666,112
15.5,116
15.583333333333334,115
15.666666666666666,116
15.75,114
15.833333333333334,116
15.916666666666666,119
16,117
16.083333333333332,119
16.166666666666668,115
16.25,120
16.333333333333332,117
16.416666666666668,119
16.5,121
16.583333333333332,120
16.666666666666668,119
16.75,116
16.833333333333332,118
16.916666666666668,116
17,117
17.083333333333332,119
17.166666666666668,117
17.25,117
17.333333333333332,120
17.416666666666668,118
17.5,119
17.583333333333332,123
17.666666666666668,122
17.75,118
17.833333333333332,118
17.916666666666668,119
18,118
18.083333333333332,120
18.166666666666668,123
18.25,120
18.333333333333332,120
18.416666666666668,117
18.5,125
18.583333333333332,124
18.666666666666668,120
18.75,121
18.833333333333332,122
18.916666666666668,122
19,122
19.083333333333332,123
19.166666666666668,122
19.25,121
19.333333333333332,124
19.416666666666668,123
19.5,124
19.583333333333332,124
19.666666666666668,119
19.75,120
19.833333333333332,124
19.916666666666668,126
20,126
20.083333333333332,126
20.166666666666668,121
20.25,124
20.333333333333332,126
20.416666666666668,128
20.5,123
20.583333333333332,122
20.666666666666668,127
20.75,128
20.833333333333332,125
20.916666666666668,127
21,129
21.083333333333332,129
21.166666666666668,130
21.25,127
21.333333333333332,131
21.416666666666668,132
21.5,126
21.583333333333332,131
21.666666666666668,130
21.75,128
21.833333333333332,132
21.916666666666668,130
22,127
22.083333333333332,129
22.166666666666668,127
22.25,130
22.333333333333332,131
22.416666666666668,133
22.5,132
22.583333333333332,130
22.666666666666668,128
22.75,134
22.833333333333332,132
22.916666666666668,132
23,133
23.083333333333332,127
23.166666666666668,129
23.25,129
23.333333333333332,128
23.416666666666668,132
23.5,130
23.583333333333332,131
23.666666666666668,134
23.75,134
23.833333333333332,138
23.916666666666668,130
24,133
24.083333333333332,134
24.166666666666668,136
24.25,135
24.333333333333332,136
24.416666666666668,137
24.5,136
24.583333333333332,138
24.666666666666668,139
24.75,136
24.833333333333332,138
24.916666666666668,142
25,137
25.083333333333332,137
25.166666666666668,142
25.25,135
25.333333333333332,138
25.416666666666668,137
25.5,141
25.583333333333332,142
25.666666666666668,139
25.75,140
25.833333333333332,141
25.916666666666668,140
26,140
26.083333333333332,140
26.166666666666668,143
26.25,144
26.333333333333332,143
26.416666666666668,142
26.5,146
26.583333333333332,147
26.666666666666668,143
26.75,145
26.833333333333332,145
26.916666666666668,147
27,148
27.083333333333332,150
27.166666666666668,148
27.25,144
27.333333333333332,145
27.416666666666668,144
27.5,146
27.583333333333332,149
27.666666666666668,148
27.75,148
27.833333333333332,148
27.916666666666668,145
28,150
28.083333333333332,143
28.166666666666668,148
28.25,149
28.333333333333332,147
28.416666666666668,148
28.5,146
28.583333333333332,148
28.666666666666668,145
28.75,150
28.833333333333332,147
28.916666666666668,148
29,150
29.083333333333332,146
29.166666666666668,145
29.25,146
29.333333333333332,146
29.416666666666668,148
29.5,149
29.583333333333332,147
29.666666666666668,152
29.75,150
29.833333333333332,154
29.916666666666668,148
30,149
30.083333333333332,148
30.166666666666668,148
30.25,152
30.333333333333332,151
30.416666666666668,155
30.5,151
30.583333333333332,154
30.666666666666668,150
30.75,148
30.833333333333332,152
30.916666666666668,151
31,150
31.083333333333332,149
31.166666666666668,156
31.25,154
31.333333333333332,154
31.416666666666668,154
31.5,152
31.583333333333332,154
31.666666666666668,154
31.75,156
31.833333333333332,157
31.916666666666668,155
32,154
32.083333333333336,152
32.166666666666664,154
32.25,152
32.333333333333336,155
32.416666666666664,155
32.5,157
32.583333333333336,156
32.666666666666664,156
32.75,156
32.833333333333336,153
32.916666666666664,159
33,154
33.083333333333336,158
33.166666666666664,155
33.25,158
33.333333333333336,156
33.416666666666664,155
33.5,155
33.583333333333336,160
33.666666666666664,155
33.75,154
33.833333333333336,156
33.916666666666664,158
34,157
34.083333333333336,156
34.166666666666664,158
34.25,157
34.333333333333336,161
34.416666666666664,156
34.5,158
34.583333333333336,159
34.666666666666664,161
34.75,160
34.833333333333336,156
34.916666666666664,159
35,160
35.083333333333336,161
35.166666666666664,159
35.25,155
35.333333333333336,162
35.416666666666664,162
35.5,161
35.583333333333336,160
35.666666666666664,161
35.75,159
35.833333333333336,161
35.916666666666664,158
36,158
36.083333333333336,163
36.166666666666664,161
36.25,161
36.333333333333336,159
36.416666666666664,158
36.5,159
36.583333333333336,157
36.666666666666664,162
36.75,156
36.833333333333336,157
36.916666666666664,161
37,159
37.083333333333336,159
37.166666666666664,158
37.25,161
37.333333333333336,161
37.416666666666664,159
37.5,159
37.583333333333336,160
37.666666666666664,161
37.75,155
37.833333333333336,156
37.916666666666664,157
38,158
38.083333333333336,157
38.166666666666664,159
38.25,160
38.333333333333336,160
38.416666666666664,159
38.5,156
38.583333333333336,162
38.666666666666664,159
38.75,159
38.833333333333336,157
38.916666666666664,158
39,158
39.083333333333336,157
39.166666666666664,160
39.25,155
39.333333333333336,159
39.416666666666664,158
39.5,158
39.583333333333336,157
39.666666666666664,161
39.75,158
39.833333333333336,159
39.916666666666664,161
40,160
40.083333333333336,156
40.166666666666664,160
40.25,157
40.333333333333336,158
40.416666666666664,158
40.5,161
40.583333333333336,158
40.666666666666664,158
40.75,157
40.833333333333336,162
40.916666666666664,161
41,162
41.083333333333336,159
41.166666666666664,157
41.25,159
41.333333333333336,159
41.416666666666664,162
41.5,159
41.583333333333336,162
41.666666666666664,160
41.75,160
41.833333333333336,162
41.916666666666664,166
42,159
42.083333333333336,165
42.166666666666664,163
42.25,163
42.333333333333336,166
42.416666666666664,162
42.5,164
42.583333333333336,160
42.666666666666664,165
42.75,166
42.833333333333336,164
42.916666666666664,162
43,165
43.083333333333336,169
43.166666666666664,161
43.25,166
43.333333333333336,165
43.416666666666664,165
43.5,167
43.583333333333336,162
43.666666666666664,165
43.75,162
43.833333333333336,167
43.916666666666664,162
44,165
44.083333333333336,164
44.166666666666664,164
44.25,167
44.333333333333336,164
44.416666666666664,165
44.5,167
44.583333333333336,167
44.666666666666664,169
44.75,168
44.833333333333336,167
44.916666666666664,168
45,166
45.083333333333336,162
45.166666666666664,163
45.25,168
45.333333333333336,167
45.416666666666664,167
45.5,165
45.583333333333336,166
45.666666666666664,166
45.75,164
45.833333333333336,167
45.916666666666664,165
46,166
46.083333333333336,166
46.166666666666664,167
46.25,167
46.333333333333336,168
46.416666666666664,165
46.5,167
46.583333333333336,169
46.666666666666664,167
46.75,168
46.833333333333336,169
46.916666666666664,169
47,166
47.083333333333336,167
47.166666666666664,169
47.25,169
47.333333333333336,172
47.416666666666664,168
47.5,168
47.583333333333336,169
47.666666666666664,168
47.75,165
47.833333333333336,168
47.916666666666664,172
