"Hours since thread went live","Jujutsu Kaisen - Episode 24 discussion - FINAL"
11.583333333333334,10221
11.666666666666666,10258
11.75,10310
11.833333333333334,10362
11.916666666666666,10406
12,10448
12.083333333333334,10505
12.166666666666666,10530
12.25,10562
12.333333333333334,10597
12.416666666666666,10641
12.5,10687
12.583333333333334,10727
12.666666666666666,10762
12.75,10795
12.833333333333334,10834
12.916666666666666,10874
13,10917
13.083333333333334,10955
13.166666666666666,11001
13.25,11040
13.333333333333334,11066
13.416666666666666,11106
13.5,11140
13.583333333333334,11170
13.666666666666666,11206
13.75,11238
13.833333333333334,11256
13.916666666666666,11286
14,11311
14.083333333333334,11338
14.166666666666666,11353
14.25,11374
14.333333333333334,11402
14.416666666666666,11414
14.5,11437
14.583333333333334,11454
14.666666666666666,11469
14.75,11488
14.833333333333334,11498
14.916666666666666,11525
15,11542
15.083333333333334,11551
15.166666666666666,11566
15.25,11584
15.333333333333334,11589
15.416666666666666,11615
15.5,11630
15.583333333333334,11639
15.666666666666666,11656
15.75,11671
15.833333333333334,11682
15.916666666666666,11697
16,11705
16.083333333333332,11718
16.166666666666668,11728
16.25,11735
16.333333333333332,11761
16.416666666666668,11773
16.5,11784
16.583333333333332,11803
16.666666666666668,11817
16.75,11831
16.833333333333332,11843
16.916666666666668,11858
17,11867
17.083333333333332,11873
17.166666666666668,11882
17.25,11894
17.333333333333332,11893
17.416666666666668,11916
17.5,11928
17.583333333333332,11936
17.666666666666668,11953
17.75,11966
17.833333333333332,11970
17.916666666666668,11983
18,11989
18.083333333333332,12012
18.166666666666668,12024
18.25,12030
18.333333333333332,12038
18.416666666666668,12051
18.5,12065
18.583333333333332,12063
18.666666666666668,12075
18.75,12084
18.833333333333332,12085
18.916666666666668,12097
19,12104
19.083333333333332,12115
19.166666666666668,12124
19.25,12134
19.333333333333332,12148
19.416666666666668,12158
19.5,12163
19.583333333333332,12176
19.666666666666668,12192
19.75,12204
19.833333333333332,12211
19.916666666666668,12223
20,12244
20.083333333333332,12236
20.166666666666668,12251
20.25,12255
20.333333333333332,12263
20.416666666666668,12270
20.5,12288
20.583333333333332,12296
20.666666666666668,12305
20.75,12315
20.833333333333332,12324
20.916666666666668,12343
21,12356
21.083333333333332,12362
21.166666666666668,12369
21.25,12376
21.333333333333332,12387
21.416666666666668,12393
21.5,12402
21.583333333333332,12412
21.666666666666668,12421
21.75,12433
21.833333333333332,12447
21.916666666666668,12450
22,12466
22.083333333333332,12473
22.166666666666668,12492
22.25,12500
22.333333333333332,12513
22.416666666666668,12521
22.5,12531
22.583333333333332,12546
22.666666666666668,12558
22.75,12561
22.833333333333332,12573
22.916666666666668,12584
23,12594
23.083333333333332,12599
23.166666666666668,12601
23.25,12614
23.333333333333332,12628
23.416666666666668,12633
23.5,12646
23.583333333333332,12657
23.666666666666668,12662
23.75,12679
23.833333333333332,12681
23.916666666666668,12698
24,12707
24.083333333333332,12714
24.166666666666668,12715
24.25,12729
24.333333333333332,12741
24.416666666666668,12746
24.5,12757
24.583333333333332,12761
24.666666666666668,12771
24.75,12787
24.833333333333332,12789
24.916666666666668,12795
25,12810
25.083333333333332,12816
25.166666666666668,12811
25.25,12819
25.333333333333332,12830
25.416666666666668,12848
25.5,12855
25.583333333333332,12864
25.666666666666668,12876
25.75,12877
25.833333333333332,12885
25.916666666666668,12901
26,12914
26.083333333333332,12912
26.166666666666668,12911
26.25,12932
26.333333333333332,12942
26.416666666666668,12941
26.5,12948
26.583333333333332,12952
26.666666666666668,12958
26.75,12969
26.833333333333332,12973
26.916666666666668,12975
27,12996
27.083333333333332,12988
27.166666666666668,12996
27.25,13006
27.333333333333332,13009
27.416666666666668,13018
27.5,13021
27.583333333333332,13026
27.666666666666668,13029
27.75,13035
27.833333333333332,13036
27.916666666666668,13041
28,13046
28.083333333333332,13049
28.166666666666668,13055
28.25,13058
28.333333333333332,13060
28.416666666666668,13071
28.5,13081
28.583333333333332,13088
28.666666666666668,13099
28.75,13100
28.833333333333332,13106
28.916666666666668,13115
29,13124
29.083333333333332,13130
29.166666666666668,13133
29.25,13137
29.333333333333332,13141
29.416666666666668,13154
29.5,13157
29.583333333333332,13165
29.666666666666668,13167
29.75,13173
29.833333333333332,13178
29.916666666666668,13176
30,13189
30.083333333333332,13190
30.166666666666668,13195
30.25,13196
30.333333333333332,13201
30.416666666666668,13200
30.5,13208
30.583333333333332,13208
30.666666666666668,13219
30.75,13225
30.833333333333332,13220
30.916666666666668,13231
31,13232
31.083333333333332,13246
31.166666666666668,13250
31.25,13251
31.333333333333332,13256
31.416666666666668,13264
31.5,13269
31.583333333333332,13268
31.666666666666668,13275
31.75,13273
31.833333333333332,13274
31.916666666666668,13274
32,13291
32.083333333333336,13291
32.166666666666664,13287
32.25,13296
32.333333333333336,13293
32.416666666666664,13296
32.5,13293
32.583333333333336,13312
32.666666666666664,13304
32.75,13312
32.833333333333336,13315
32.916666666666664,13316
33,13320
33.083333333333336,13326
33.166666666666664,13334
33.25,13338
33.333333333333336,13336
33.416666666666664,13343
33.5,13341
33.583333333333336,13354
33.666666666666664,13347
33.75,13355
33.833333333333336,13350
33.916666666666664,13366
34,13371
34.083333333333336,13372
34.166666666666664,13373
34.25,13376
34.333333333333336,13382
34.416666666666664,13377
34.5,13382
34.583333333333336,13390
34.666666666666664,13400
34.75,13393
34.833333333333336,13395
34.916666666666664,13404
35,13407
35.083333333333336,13409
35.166666666666664,13411
35.25,13409
35.333333333333336,13418
35.416666666666664,13425
35.5,13428
35.583333333333336,13423
35.666666666666664,13429
35.75,13427
35.833333333333336,13427
35.916666666666664,13433
36,13432
36.083333333333336,13435
36.166666666666664,13438
36.25,13435
36.333333333333336,13447
36.416666666666664,13448
36.5,13442
36.583333333333336,13452
36.666666666666664,13454
36.75,13448
36.833333333333336,13464
36.916666666666664,13463
37,13470
37.083333333333336,13463
37.166666666666664,13464
37.25,13469
37.333333333333336,13468
37.416666666666664,13475
37.5,13472
37.583333333333336,13479
37.666666666666664,13475
37.75,13480
37.833333333333336,13483
37.916666666666664,13479
38,13484
38.083333333333336,13485
38.166666666666664,13488
38.25,13487
38.333333333333336,13488
38.416666666666664,13493
38.5,13491
38.583333333333336,13499
38.666666666666664,13507
38.75,13503
38.833333333333336,13506
38.916666666666664,13506
39,13515
39.083333333333336,13510
39.166666666666664,13503
39.25,13513
39.333333333333336,13516
39.416666666666664,13514
39.5,13512
39.583333333333336,13513
39.666666666666664,13515
39.75,13524
39.833333333333336,13520
39.916666666666664,13524
40,13526
40.083333333333336,13536
40.166666666666664,13529
40.25,13527
40.333333333333336,13536
40.416666666666664,13539
40.5,13536
40.583333333333336,13541
40.666666666666664,13535
40.75,13538
40.833333333333336,13533
40.916666666666664,13540
41,13542
41.083333333333336,13539
41.166666666666664,13549
41.25,13548
41.333333333333336,13547
41.416666666666664,13554
41.5,13555
41.583333333333336,13553
41.666666666666664,13555
41.75,13559
41.833333333333336,13557
41.916666666666664,13553
42,13555
42.083333333333336,13553
42.166666666666664,13553
42.25,13558
42.333333333333336,13555
42.416666666666664,13564
42.5,13568
42.583333333333336,13571
42.666666666666664,13572
42.75,13570
42.833333333333336,13573
42.916666666666664,13579
43,13578
43.083333333333336,13581
43.166666666666664,13573
44.166666666666664,13589
44.25,13580
44.333333333333336,13582
44.416666666666664,13594
44.5,13596
44.583333333333336,13592
44.666666666666664,13595
44.75,13590
44.833333333333336,13599
44.916666666666664,13598
45,13607
45.083333333333336,13601
45.166666666666664,13604
45.25,13606
45.333333333333336,13609
45.416666666666664,13610
45.5,13615
45.583333333333336,13618
45.666666666666664,13617
45.75,13609
45.833333333333336,13622
45.916666666666664,13612
46,13619
46.083333333333336,13620
46.166666666666664,13627
46.25,13625
46.333333333333336,13625
46.416666666666664,13621
46.5,13617
46.583333333333336,13620
46.666666666666664,13626
46.75,13626
46.833333333333336,13631
46.916666666666664,13636
47,13633
47.083333333333336,13639
47.166666666666664,13643
47.25,13640
47.333333333333336,13633
47.416666666666664,13643
47.5,13640
47.583333333333336,13645
47.666666666666664,13647
47.75,13647
47.833333333333336,13651
47.916666666666664,13658
