"Hours since thread went live","Jujutsu Kaisen - Episode 24 discussion - FINAL"
0,1
0.08333333333333333,33
0.16666666666666666,73
0.25,121
0.3333333333333333,184
0.4166666666666667,253
0.5,338
0.5833333333333334,422
0.6666666666666666,560
0.75,650
0.8333333333333334,765
0.9166666666666666,872
1,981
1.0833333333333333,1104
1.1666666666666667,1233
1.25,1343
1.3333333333333333,1445
1.4166666666666667,1560
1.5,1686
1.5833333333333333,1794
1.6666666666666667,1914
1.75,2042
1.8333333333333333,2136
1.9166666666666667,2226
2,2341
2.0833333333333335,2440
2.1666666666666665,2547
2.25,2672
2.3333333333333335,2772
2.4166666666666665,2866
2.5,2976
2.5833333333333335,3075
2.6666666666666665,3171
2.75,3279
2.8333333333333335,3364
2.9166666666666665,3462
3,3566
3.0833333333333335,3679
3.1666666666666665,3768
3.25,3845
3.3333333333333335,3923
3.4166666666666665,3997
3.5,4092
3.5833333333333335,4174
3.6666666666666665,4276
3.75,4361
3.8333333333333335,4455
3.9166666666666665,4541
4,4615
4.083333333333333,4691
4.166666666666667,4781
4.25,4855
4.333333333333333,4949
4.416666666666667,5030
4.5,5100
4.583333333333333,5200
4.666666666666667,5264
4.75,5341
4.833333333333333,5419
4.916666666666667,5475
5,5542
5.083333333333333,5623
5.166666666666667,5694
5.25,5741
5.333333333333333,5823
5.416666666666667,5878
5.5,5947
5.583333333333333,6016
5.666666666666667,6099
5.75,6170
5.833333333333333,6226
5.916666666666667,6291
6,6368
6.083333333333333,6427
6.166666666666667,6505
6.25,6555
6.333333333333333,6620
6.416666666666667,6690
6.5,6758
6.583333333333333,6826
6.666666666666667,6882
6.75,6958
6.833333333333333,7016
6.916666666666667,7085
7,7161
7.083333333333333,7207
7.166666666666667,7279
7.25,7342
7.333333333333333,7402
7.416666666666667,7456
7.5,7512
7.583333333333333,7573
7.666666666666667,7627
7.75,7676
7.833333333333333,7735
7.916666666666667,7797
8,7869
8.083333333333334,7942
8.166666666666666,8014
8.25,8067
8.333333333333334,8139
8.416666666666666,8189
8.5,8268
8.583333333333334,8325
8.666666666666666,8388
8.75,8448
8.833333333333334,8525
8.916666666666666,8574
9,8622
9.083333333333334,8684
9.166666666666666,8750
9.25,8792
9.333333333333334,8832
9.416666666666666,8907
9.5,8956
9.583333333333334,9017
9.666666666666666,9066
9.75,9110
9.833333333333334,9170
9.916666666666666,9223
10,9290
10.083333333333334,9341
10.166666666666666,9400
10.25,9460
10.333333333333334,9527
10.416666666666666,9568
10.5,9613
10.583333333333334,9666
10.666666666666666,9700
10.75,9744
10.833333333333334,9786
10.916666666666666,9833
11,9889
11.083333333333334,9932
11.166666666666666,9987
11.25,10047
11.333333333333334,10084
11.416666666666666,10144
11.5,10180
