"Hours since thread went live","Kimi no Koto ga Daidaidaidaidaisuki na 100-nin no Kanojo • The 100 Girlfriends Who Really, Really, Really, Really, Really Love You - Episode 1 discussion"
0,3
0.08333333333333333,27
0.16666666666666666,62
0.25,111
0.3333333333333333,145
0.4166666666666667,178
0.5,219
0.5833333333333334,255
0.6666666666666666,295
0.75,333
0.8333333333333334,364
0.9166666666666666,400
1,434
1.0833333333333333,467
1.1666666666666667,500
1.25,535
1.3333333333333333,571
1.4166666666666667,609
1.5,644
1.5833333333333333,674
1.6666666666666667,700
1.75,739
1.8333333333333333,763
1.9166666666666667,797
2,823
2.0833333333333335,851
2.1666666666666665,878
2.25,898
2.3333333333333335,915
2.4166666666666665,948
2.5,979
2.5833333333333335,1006
2.6666666666666665,1023
2.75,1059
2.8333333333333335,1071
2.9166666666666665,1093
3,1129
3.0833333333333335,1141
3.1666666666666665,1162
3.25,1173
3.3333333333333335,1203
3.4166666666666665,1226
3.5,1238
3.5833333333333335,1262
3.6666666666666665,1288
3.75,1306
3.8333333333333335,1328
3.9166666666666665,1349
4,1378
4.083333333333333,1408
4.166666666666667,1424
4.25,1444
4.333333333333333,1458
4.416666666666667,1475
4.5,1498
4.583333333333333,1509
4.666666666666667,1538
4.75,1560
4.833333333333333,1572
4.916666666666667,1583
5,1597
5.083333333333333,1610
5.166666666666667,1633
5.25,1640
5.333333333333333,1664
5.416666666666667,1676
5.5,1693
5.583333333333333,1710
5.666666666666667,1725
5.75,1738
5.833333333333333,1748
5.916666666666667,1766
6,1778
6.083333333333333,1801
6.166666666666667,1813
6.25,1813
6.333333333333333,1832
6.416666666666667,1832
6.5,1851
6.583333333333333,1867
6.666666666666667,1874
6.75,1889
6.833333333333333,1900
6.916666666666667,1911
7,1921
7.083333333333333,1933
7.166666666666667,1940
7.25,1940
7.333333333333333,1953
7.416666666666667,1956
7.5,1978
7.583333333333333,1985
7.666666666666667,2001
7.75,2010
7.833333333333333,2024
7.916666666666667,2039
8,2051
8.083333333333334,2048
8.166666666666666,2063
8.25,2072
8.333333333333334,2089
8.416666666666666,2101
8.5,2101
8.583333333333334,2113
8.666666666666666,2118
8.75,2123
8.833333333333334,2135
8.916666666666666,2148
9,2167
9.083333333333334,2178
9.166666666666666,2185
9.25,2199
9.333333333333334,2209
9.416666666666666,2213
9.5,2210
9.583333333333334,2221
9.666666666666666,2236
9.75,2242
9.833333333333334,2252
9.916666666666666,2262
10,2271
10.083333333333334,2278
10.166666666666666,2286
10.25,2295
10.333333333333334,2306
10.416666666666666,2316
10.5,2326
10.583333333333334,2327
10.666666666666666,2330
10.75,2346
10.833333333333334,2348
10.916666666666666,2360
11,2368
11.083333333333334,2373
11.166666666666666,2390
11.25,2393
11.333333333333334,2400
11.416666666666666,2401
11.5,2409
11.583333333333334,2419
11.666666666666666,2417
11.75,2429
11.833333333333334,2442
11.916666666666666,2447
12,2453
12.083333333333334,2464
12.166666666666666,2470
12.25,2468
12.333333333333334,2483
12.416666666666666,2481
12.5,2491
12.583333333333334,2500
12.666666666666666,2500
12.75,2502
12.833333333333334,2511
12.916666666666666,2519
13,2522
13.083333333333334,2530
13.166666666666666,2539
13.25,2547
13.333333333333334,2552
13.416666666666666,2558
13.5,2573
13.583333333333334,2579
13.666666666666666,2585
13.75,2586
13.833333333333334,2591
13.916666666666666,2597
14,2599
14.083333333333334,2607
14.166666666666666,2613
14.25,2620
14.333333333333334,2627
14.416666666666666,2624
14.5,2628
14.583333333333334,2643
14.666666666666666,2649
14.75,2646
14.833333333333334,2653
14.916666666666666,2651
15,2664
15.083333333333334,2658
15.166666666666666,2672
15.25,2668
15.333333333333334,2673
15.416666666666666,2683
15.5,2683
15.583333333333334,2679
15.666666666666666,2687
15.75,2694
15.833333333333334,2697
15.916666666666666,2697
16,2700
16.083333333333332,2707
16.166666666666668,2699
16.25,2713
16.333333333333332,2707
16.416666666666668,2717
16.5,2715
16.583333333333332,2725
16.666666666666668,2723
16.75,2735
16.833333333333332,2735
16.916666666666668,2740
17,2749
17.083333333333332,2753
17.166666666666668,2753
17.25,2757
17.333333333333332,2756
17.416666666666668,2762
17.5,2763
