"Hours since thread went live","Urusei Yatsura (2022) Season 2 - Episode 13 discussion"
39.083333333333336,224
39.166666666666664,224
39.25,226
39.333333333333336,223
39.416666666666664,226
39.5,223
39.583333333333336,224
39.666666666666664,225
39.75,222
39.833333333333336,224
39.916666666666664,222
40,226
40.083333333333336,225
40.166666666666664,227
40.25,227
40.333333333333336,221
40.416666666666664,226
40.5,229
40.583333333333336,226
40.666666666666664,224
40.75,223
40.833333333333336,224
40.916666666666664,226
41,223
41.083333333333336,227
41.166666666666664,226
41.25,225
41.333333333333336,223
41.416666666666664,227
41.5,224
41.583333333333336,226
41.666666666666664,225
41.75,225
41.833333333333336,224
41.916666666666664,225
42,224
42.083333333333336,221
42.166666666666664,223
42.25,225
42.333333333333336,226
42.416666666666664,227
42.5,225
42.583333333333336,226
42.666666666666664,224
42.75,224
42.833333333333336,223
42.916666666666664,222
43,223
43.083333333333336,228
43.166666666666664,224
43.25,227
43.333333333333336,228
43.416666666666664,221
43.5,222
43.583333333333336,222
43.666666666666664,226
43.75,224
43.833333333333336,224
43.916666666666664,227
44,225
44.083333333333336,222
44.166666666666664,224
44.25,229
44.333333333333336,230
44.416666666666664,229
44.5,228
44.583333333333336,224
44.666666666666664,223
44.75,228
44.833333333333336,229
44.916666666666664,227
45,227
45.083333333333336,229
45.166666666666664,227
45.25,228
45.333333333333336,226
45.416666666666664,223
45.5,229
45.583333333333336,229
45.666666666666664,226
45.75,224
45.833333333333336,226
45.916666666666664,229
46,230
46.083333333333336,227
46.166666666666664,223
46.25,228
46.333333333333336,226
46.416666666666664,229
46.5,224
46.583333333333336,229
46.666666666666664,227
46.75,229
46.833333333333336,224
46.916666666666664,229
47,227
47.083333333333336,225
47.166666666666664,229
47.25,229
47.333333333333336,226
47.416666666666664,225
47.5,229
47.583333333333336,229
47.666666666666664,228
47.75,225
47.833333333333336,228
47.916666666666664,228
