"Hours since thread went live","Oshi no Ko - Episode 1 discussion"
0,1
0,32
0.08333333333333333,104
0.16666666666666666,168
0.25,247
0.3333333333333333,331
0.4166666666666667,431
0.5,514
0.5833333333333334,591
0.6666666666666666,685
0.75,773
0.8333333333333334,845
0.9166666666666666,920
1,984
1.0833333333333333,1061
1.1666666666666667,1147
1.25,1243
1.3333333333333333,1340
1.4166666666666667,1431
1.5,1504
1.5833333333333333,1576
1.6666666666666667,1640
1.75,1731
1.8333333333333333,1799
1.9166666666666667,1869
2,1931
2.0833333333333335,1986
2.1666666666666665,2053
2.25,2113
2.3333333333333335,2179
2.4166666666666665,2232
2.5,2278
2.5833333333333335,2330
2.6666666666666665,2380
2.75,2442
2.8333333333333335,2501
2.9166666666666665,2568
3,2640
3.0833333333333335,2687
3.1666666666666665,2736
3.25,2778
3.3333333333333335,2829
3.4166666666666665,2892
3.5,2929
3.5833333333333335,2994
3.6666666666666665,3031
3.75,3069
3.8333333333333335,3127
3.9166666666666665,3198
4,3250
4.083333333333333,3321
4.166666666666667,3385
4.25,3418
4.333333333333333,3480
4.416666666666667,3526
4.5,3558
4.583333333333333,3615
4.666666666666667,3677
4.75,3726
4.833333333333333,3783
4.916666666666667,3830
5,3867
5.083333333333333,3913
5.166666666666667,3979
5.25,4024
5.333333333333333,4075
5.416666666666667,4127
5.5,4165
5.583333333333333,4204
5.666666666666667,4246
5.75,4290
5.833333333333333,4331
5.916666666666667,4367
6,4404
6.083333333333333,4455
6.166666666666667,4494
6.25,4533
6.333333333333333,4571
6.5,4660
6.583333333333333,4702
6.666666666666667,4753
6.75,4794
6.833333333333333,4829
6.916666666666667,4871
7,4894
7.083333333333333,4953
7.166666666666667,4985
7.25,5038
7.333333333333333,5081
7.416666666666667,5118
7.5,5162
7.583333333333333,5198
7.666666666666667,5247
7.75,5279
7.833333333333333,5313
7.916666666666667,5350
8,5402
8.083333333333334,5441
8.166666666666666,5490
8.25,5525
8.333333333333334,5565
8.416666666666666,5604
8.5,5643
8.583333333333334,5679
8.666666666666666,5714
8.75,5760
8.833333333333334,5791
8.916666666666666,5829
9,5887
9.083333333333334,5909
9.166666666666666,5953
9.25,5987
9.333333333333334,6029
9.416666666666666,6056
9.5,6104
9.583333333333334,6144
9.666666666666666,6175
9.75,6195
9.833333333333334,6233
9.916666666666666,6270
10,6300
10.083333333333334,6337
10.166666666666666,6379
10.25,6420
10.333333333333334,6446
10.416666666666666,6479
10.5,6513
10.583333333333334,6553
10.666666666666666,6577
10.75,6610
10.833333333333334,6642
10.916666666666666,6680
11,6704
11.083333333333334,6740
11.166666666666666,6757
11.25,6792
11.333333333333334,6823
11.416666666666666,6856
11.5,6886
11.583333333333334,6913
11.666666666666666,6941
11.75,6980
11.833333333333334,7007
11.916666666666666,7041
12,7077
12.083333333333334,7109
12.166666666666666,7122
12.25,7158
12.333333333333334,7183
12.416666666666666,7220
12.5,7254
12.583333333333334,7296
12.666666666666666,7323
12.75,7352
12.833333333333334,7388
12.916666666666666,7421
13,7461
13.083333333333334,7481
13.166666666666666,7502
13.25,7536
13.333333333333334,7566
13.416666666666666,7595
13.5,7621
13.583333333333334,7645
13.666666666666666,7671
13.75,7707
13.833333333333334,7752
13.916666666666666,7776
14,7810
14.083333333333334,7837
14.166666666666666,7873
14.25,7901
14.333333333333334,7933
14.416666666666666,7954
14.5,7981
14.583333333333334,8013
14.666666666666666,8018
14.75,8044
14.833333333333334,8077
14.916666666666666,8098
15,8113
15.083333333333334,8140
15.166666666666666,8159
15.25,8168
15.333333333333334,8181
15.416666666666666,8205
15.5,8234
15.583333333333334,8254
15.666666666666666,8266
15.75,8291
15.833333333333334,8316
15.916666666666666,8338
16,8358
16.083333333333332,8388
16.166666666666668,8416
16.25,8447
16.333333333333332,8463
16.416666666666668,8488
16.5,8497
16.583333333333332,8529
16.666666666666668,8538
16.75,8550
16.833333333333332,8567
16.916666666666668,8575
17,8599
17.083333333333332,8612
17.166666666666668,8619
17.25,8642
17.333333333333332,8654
17.416666666666668,8673
17.5,8687
17.583333333333332,8703
17.666666666666668,8716
17.75,8731
17.833333333333332,8748
17.916666666666668,8763
18,8780
18.083333333333332,8805
18.166666666666668,8819
18.25,8833
18.333333333333332,8845
18.416666666666668,8863
18.5,8884
18.583333333333332,8888
18.666666666666668,8902
18.75,8912
18.833333333333332,8923
18.916666666666668,8935
19,8949
19.083333333333332,8957
19.166666666666668,8971
19.25,8978
19.333333333333332,8996
19.416666666666668,9013
19.5,9022
19.583333333333332,9035
19.666666666666668,9048
19.75,9066
19.833333333333332,9088
19.916666666666668,9089
20,9099
20.083333333333332,9114
20.166666666666668,9116
20.25,9145
20.333333333333332,9154
20.416666666666668,9168
20.5,9176
20.583333333333332,9195
20.666666666666668,9197
20.75,9215
20.833333333333332,9221
20.916666666666668,9230
21,9251
21.083333333333332,9260
21.166666666666668,9275
21.25,9292
21.333333333333332,9304
21.416666666666668,9301
21.5,9324
21.583333333333332,9331
21.666666666666668,9343
21.75,9369
21.833333333333332,9380
21.916666666666668,9387
22,9399
22.083333333333332,9426
22.166666666666668,9441
22.25,9452
22.333333333333332,9470
22.416666666666668,9483
22.5,9501
22.583333333333332,9508
22.666666666666668,9519
22.75,9534
22.833333333333332,9550
22.916666666666668,9562
23,9569
23.083333333333332,9585
23.166666666666668,9601
23.25,9612
23.333333333333332,9624
23.416666666666668,9649
23.5,9656
23.583333333333332,9672
23.666666666666668,9689
23.75,9701
23.833333333333332,9713
23.916666666666668,9718
24,9724
24.083333333333332,9739
24.166666666666668,9751
24.25,9769
24.333333333333332,9778
24.416666666666668,9801
24.5,9803
24.583333333333332,9830
24.666666666666668,9844
24.75,9858
24.833333333333332,9864
24.916666666666668,9876
25,9885
25.083333333333332,9899
25.166666666666668,9922
25.25,9926
25.333333333333332,9948
25.416666666666668,9950
25.5,9964
25.583333333333332,9980
25.666666666666668,9987
25.75,10003
25.833333333333332,10011
25.916666666666668,10029
26,10036
26.083333333333332,10043
26.166666666666668,10068
26.25,10085
26.333333333333332,10089
26.416666666666668,10102
26.5,10102
26.583333333333332,10117
26.666666666666668,10124
26.75,10128
26.833333333333332,10142
26.916666666666668,10145
27,10158
27.083333333333332,10161
27.166666666666668,10169
27.25,10194
27.333333333333332,10192
27.416666666666668,10214
27.5,10221
27.583333333333332,10221
27.666666666666668,10231
27.75,10249
27.833333333333332,10246
27.916666666666668,10256
28,10268
28.083333333333332,10281
28.166666666666668,10285
28.25,10291
28.333333333333332,10302
28.416666666666668,10307
28.5,10307
28.583333333333332,10324
28.666666666666668,10323
28.75,10333
28.833333333333332,10352
28.916666666666668,10351
29,10358
29.083333333333332,10376
29.166666666666668,10388
29.25,10391
29.333333333333332,10401
29.416666666666668,10405
29.5,10421
29.583333333333332,10432
29.666666666666668,10441
29.75,10449
29.833333333333332,10456
29.916666666666668,10466
30,10477
30.083333333333332,10486
30.166666666666668,10485
30.25,10499
30.333333333333332,10508
30.416666666666668,10510
30.5,10521
30.583333333333332,10531
30.666666666666668,10541
30.75,10546
30.833333333333332,10549
30.916666666666668,10559
31,10581
31.083333333333332,10571
31.166666666666668,10590
31.25,10595
31.333333333333332,10606
31.416666666666668,10609
31.5,10620
31.583333333333332,10630
31.666666666666668,10628
31.75,10645
31.833333333333332,10656
31.916666666666668,10663
32,10664
32.083333333333336,10681
32.166666666666664,10673
32.25,10687
32.333333333333336,10693
32.416666666666664,10692
32.5,10690
32.583333333333336,10704
32.666666666666664,10708
32.75,10713
32.833333333333336,10723
32.916666666666664,10729
33,10742
33.083333333333336,10743
33.166666666666664,10756
33.25,10761
33.333333333333336,10767
33.416666666666664,10781
33.5,10781
33.583333333333336,10787
33.666666666666664,10796
33.75,10803
33.833333333333336,10812
33.916666666666664,10825
34,10830
34.083333333333336,10836
34.166666666666664,10840
34.25,10847
34.333333333333336,10861
34.416666666666664,10868
34.5,10868
34.583333333333336,10875
34.666666666666664,10881
34.75,10886
34.833333333333336,10897
34.916666666666664,10903
35,10912
35.083333333333336,10927
35.166666666666664,10935
35.25,10940
35.333333333333336,10948
35.416666666666664,10957
35.5,10960
35.583333333333336,10981
35.666666666666664,10982
35.75,10986
35.833333333333336,10997
35.916666666666664,11001
36,11014
36.083333333333336,11017
36.166666666666664,11021
36.25,11033
36.333333333333336,11034
36.416666666666664,11044
36.5,11057
36.583333333333336,11051
36.666666666666664,11055
36.75,11071
36.833333333333336,11072
36.916666666666664,11086
37,11095
37.083333333333336,11107
37.166666666666664,11104
37.25,11121
37.333333333333336,11115
37.416666666666664,11123
37.5,11130
37.583333333333336,11139
37.666666666666664,11141
37.75,11151
37.833333333333336,11149
37.916666666666664,11158
38,11170
38.083333333333336,11173
38.166666666666664,11174
38.25,11182
38.333333333333336,11190
38.416666666666664,11196
38.5,11200
38.583333333333336,11197
38.666666666666664,11210
38.75,11219
38.833333333333336,11216
38.916666666666664,11222
39,11242
39.083333333333336,11241
39.166666666666664,11249
39.25,11253
39.333333333333336,11255
39.416666666666664,11257
39.5,11269
39.583333333333336,11264
39.666666666666664,11267
39.75,11266
39.833333333333336,11278
39.916666666666664,11277
40,11286
40.083333333333336,11299
40.166666666666664,11293
40.25,11297
40.333333333333336,11302
40.416666666666664,11311
40.5,11308
40.583333333333336,11322
40.666666666666664,11322
40.75,11330
40.833333333333336,11328
40.916666666666664,11335
41,11335
41.083333333333336,11349
41.166666666666664,11352
41.25,11356
41.333333333333336,11354
41.416666666666664,11358
41.5,11360
41.583333333333336,11371
41.666666666666664,11367
41.75,11384
41.833333333333336,11385
41.916666666666664,11394
42,11396
42.083333333333336,11391
42.166666666666664,11400
42.25,11407
42.333333333333336,11399
42.416666666666664,11409
42.5,11417
42.583333333333336,11418
42.666666666666664,11419
42.75,11419
42.833333333333336,11423
42.916666666666664,11430
43,11427
43.083333333333336,11432
43.166666666666664,11436
43.25,11436
43.333333333333336,11439
43.416666666666664,11441
43.5,11452
43.583333333333336,11456
43.666666666666664,11450
43.75,11455
43.833333333333336,11461
43.916666666666664,11465
44,11459
44.083333333333336,11463
44.166666666666664,11477
44.25,11473
44.333333333333336,11473
44.416666666666664,11487
44.5,11491
44.583333333333336,11499
44.666666666666664,11510
44.75,11510
44.833333333333336,11514
44.916666666666664,11521
45,11523
45.083333333333336,11524
45.166666666666664,11530
45.25,11541
45.333333333333336,11538
45.416666666666664,11548
45.5,11551
45.583333333333336,11548
45.666666666666664,11553
45.75,11557
45.833333333333336,11559
45.916666666666664,11563
46,11559
46.083333333333336,11566
46.166666666666664,11568
46.25,11577
46.333333333333336,11580
46.416666666666664,11580
46.5,11586
46.583333333333336,11594
46.666666666666664,11589
46.75,11599
46.833333333333336,11606
46.916666666666664,11609
47,11617
47.083333333333336,11620
47.166666666666664,11627
47.25,11626
47.333333333333336,11629
47.416666666666664,11630
47.5,11636
47.583333333333336,11639
47.666666666666664,11636
47.75,11647
47.833333333333336,11649
47.916666666666664,11647
