"Hours since thread went live","Mahouka Koukou no Rettousei Season 3 • The Irregular at Magic High School Season 3 - Episode 5 discussion"
12.583333333333334,300
12.666666666666666,304
12.75,301
12.833333333333334,308
12.916666666666666,309
13,304
13.083333333333334,306
13.166666666666666,306
13.25,304
13.333333333333334,309
13.416666666666666,312
13.5,310
13.583333333333334,315
13.666666666666666,314
13.75,320
13.833333333333334,320
13.916666666666666,315
14,318
14.083333333333334,317
14.166666666666666,318
14.25,320
14.333333333333334,321
14.416666666666666,320
14.5,316
14.583333333333334,320
14.666666666666666,321
14.75,318
14.833333333333334,324
14.916666666666666,323
15,324
15.083333333333334,322
15.166666666666666,318
15.25,321
15.333333333333334,328
15.416666666666666,326
15.5,323
15.583333333333334,326
15.666666666666666,330
15.75,324
15.833333333333334,331
15.916666666666666,330
16,327
16.083333333333332,334
16.166666666666668,330
16.25,325
16.333333333333332,329
16.416666666666668,325
16.5,335
16.583333333333332,337
16.666666666666668,332
16.75,333
16.833333333333332,333
16.916666666666668,327
17,331
17.083333333333332,331
17.166666666666668,332
17.25,333
17.333333333333332,330
17.416666666666668,334
17.5,336
17.583333333333332,338
17.666666666666668,341
17.75,342
17.833333333333332,341
17.916666666666668,340
18,348
18.083333333333332,343
18.166666666666668,347
18.25,349
18.333333333333332,350
18.416666666666668,342
18.5,347
18.583333333333332,350
18.666666666666668,349
18.75,349
18.833333333333332,355
18.916666666666668,346
19,347
19.083333333333332,348
19.166666666666668,355
19.25,354
19.333333333333332,350
19.416666666666668,349
19.5,347
19.583333333333332,346
19.666666666666668,349
19.75,352
19.833333333333332,353
19.916666666666668,352
20,355
20.083333333333332,354
20.166666666666668,353
20.25,351
20.333333333333332,362
20.416666666666668,359
20.5,359
20.583333333333332,355
20.666666666666668,356
20.75,362
20.833333333333332,358
20.916666666666668,354
21,358
21.083333333333332,360
21.166666666666668,360
21.25,357
21.333333333333332,361
21.416666666666668,358
21.5,361
21.583333333333332,361
21.666666666666668,363
21.75,365
21.833333333333332,368
21.916666666666668,364
22,364
22.083333333333332,367
22.166666666666668,366
22.25,366
22.333333333333332,366
22.416666666666668,364
22.5,365
22.583333333333332,361
22.666666666666668,372
22.75,372
22.833333333333332,370
22.916666666666668,372
23,374
23.083333333333332,371
23.166666666666668,378
23.25,367
23.333333333333332,375
23.416666666666668,371
23.5,375
23.583333333333332,380
23.666666666666668,378
23.75,378
23.833333333333332,378
23.916666666666668,372
24,371
24.083333333333332,377
24.166666666666668,376
24.25,381
24.333333333333332,376
24.416666666666668,380
24.5,377
24.583333333333332,380
24.666666666666668,384
24.75,380
24.833333333333332,381
24.916666666666668,381
25,381
25.083333333333332,386
25.166666666666668,382
25.25,386
25.333333333333332,382
25.416666666666668,386
25.5,386
25.583333333333332,387
25.666666666666668,386
25.75,387
25.833333333333332,387
25.916666666666668,391
26,391
26.083333333333332,387
26.166666666666668,381
26.25,392
26.333333333333332,389
26.416666666666668,384
26.5,387
26.583333333333332,384
26.666666666666668,388
26.75,387
26.833333333333332,391
26.916666666666668,392
27,386
27.083333333333332,388
27.166666666666668,386
27.25,383
27.333333333333332,392
27.416666666666668,387
27.5,392
27.583333333333332,393
27.666666666666668,386
27.75,393
27.833333333333332,386
27.916666666666668,390
28,386
28.083333333333332,389
28.166666666666668,395
28.25,391
28.333333333333332,398
28.416666666666668,393
28.5,394
28.583333333333332,392
28.666666666666668,393
28.75,390
28.833333333333332,394
28.916666666666668,392
29,390
29.083333333333332,394
29.166666666666668,393
29.25,394
29.333333333333332,392
29.416666666666668,393
29.5,388
29.583333333333332,396
29.666666666666668,397
29.75,393
29.833333333333332,391
29.916666666666668,391
30,396
30.083333333333332,391
30.166666666666668,388
30.25,394
30.333333333333332,390
30.416666666666668,394
30.5,393
30.583333333333332,390
30.666666666666668,395
30.75,400
30.833333333333332,395
30.916666666666668,396
31,396
31.083333333333332,397
31.166666666666668,394
31.25,392
31.333333333333332,396
31.416666666666668,398
31.5,399
31.583333333333332,396
31.666666666666668,399
31.75,399
31.833333333333332,399
31.916666666666668,397
32,401
32.083333333333336,397
32.166666666666664,404
32.25,401
32.333333333333336,399
32.416666666666664,404
32.5,397
32.583333333333336,399
32.666666666666664,403
32.75,404
32.833333333333336,401
32.916666666666664,401
33,400
33.083333333333336,399
33.166666666666664,401
33.25,396
33.333333333333336,403
33.416666666666664,394
33.5,402
33.583333333333336,402
33.666666666666664,400
33.75,406
33.833333333333336,404
33.916666666666664,404
34,400
34.083333333333336,405
34.166666666666664,399
34.25,409
34.333333333333336,403
34.416666666666664,403
34.5,401
34.583333333333336,398
34.666666666666664,403
34.75,402
34.833333333333336,403
34.916666666666664,409
35,404
35.083333333333336,408
35.166666666666664,405
35.25,412
35.333333333333336,402
35.416666666666664,406
35.5,407
35.583333333333336,408
35.666666666666664,409
35.75,406
35.833333333333336,404
35.916666666666664,406
36,408
36.083333333333336,411
36.166666666666664,409
36.25,409
36.333333333333336,409
36.416666666666664,409
36.5,405
36.583333333333336,410
36.666666666666664,403
36.75,408
36.833333333333336,415
36.916666666666664,405
37,408
37.083333333333336,408
37.166666666666664,412
37.25,412
37.333333333333336,410
37.416666666666664,411
37.5,409
37.583333333333336,409
37.666666666666664,415
37.75,415
37.833333333333336,411
37.916666666666664,415
38,408
38.083333333333336,411
38.166666666666664,413
38.25,415
38.333333333333336,415
38.416666666666664,414
38.5,408
38.583333333333336,414
38.666666666666664,412
38.75,407
38.833333333333336,414
38.916666666666664,412
39,415
39.083333333333336,407
39.166666666666664,412
39.25,410
39.333333333333336,414
39.416666666666664,418
39.5,407
39.583333333333336,411
39.666666666666664,412
39.75,415
39.833333333333336,411
39.916666666666664,412
40,412
40.083333333333336,411
40.166666666666664,411
40.25,411
40.333333333333336,412
40.416666666666664,408
40.5,417
40.583333333333336,407
40.666666666666664,414
40.75,416
40.833333333333336,417
40.916666666666664,412
41,410
41.083333333333336,412
41.166666666666664,414
41.25,413
41.333333333333336,415
41.416666666666664,409
41.5,409
41.583333333333336,418
41.666666666666664,415
41.75,411
41.833333333333336,408
41.916666666666664,417
42,413
42.083333333333336,410
42.166666666666664,416
42.25,407
42.333333333333336,409
42.416666666666664,414
42.5,415
42.583333333333336,414
42.666666666666664,413
42.75,408
42.833333333333336,414
42.916666666666664,415
43,415
43.083333333333336,415
43.166666666666664,413
43.25,416
43.333333333333336,416
43.416666666666664,417
43.5,415
43.583333333333336,413
43.666666666666664,412
43.75,417
43.833333333333336,411
43.916666666666664,417
44,414
44.083333333333336,412
44.166666666666664,417
44.25,418
44.333333333333336,413
44.416666666666664,411
44.5,416
44.583333333333336,411
44.666666666666664,414
44.75,409
44.833333333333336,410
44.916666666666664,418
45,412
45.083333333333336,418
45.166666666666664,419
45.25,413
45.333333333333336,413
45.416666666666664,409
45.5,415
45.583333333333336,418
45.666666666666664,415
45.75,411
45.833333333333336,410
45.916666666666664,411
46,419
46.083333333333336,411
46.166666666666664,418
46.25,412
46.333333333333336,418
46.416666666666664,419
46.5,413
46.583333333333336,411
46.666666666666664,418
46.75,408
46.833333333333336,417
46.916666666666664,413
47,414
47.083333333333336,408
47.166666666666664,411
47.25,411
47.333333333333336,418
47.416666666666664,412
47.5,414
47.583333333333336,413
47.666666666666664,414
47.75,412
47.833333333333336,415
47.916666666666664,413
