"Hours since thread went live","Zom 100: Zombie ni Naru made ni Shitai 100 no Koto • Zom 100: Bucket List of the Dead - Episode 2 discussion"
0,2
0.08333333333333333,6
0.16666666666666666,9
0.25,17
0.3333333333333333,27
0.4166666666666667,41
0.5,61
0.5833333333333334,80
0.6666666666666666,101
0.75,117
0.8333333333333334,145
0.9166666666666666,174
1,196
1.0833333333333333,208
1.1666666666666667,226
1.25,246
1.3333333333333333,267
1.4166666666666667,277
1.5,290
1.5833333333333333,313
1.6666666666666667,338
1.75,357
1.8333333333333333,373
1.9166666666666667,397
2,418
2.0833333333333335,437
2.1666666666666665,450
2.25,465
2.3333333333333335,481
2.4166666666666665,503
2.5,516
2.5833333333333335,531
2.6666666666666665,554
2.75,569
2.8333333333333335,588
2.9166666666666665,597
3,616
3.0833333333333335,647
3.1666666666666665,668
3.25,692
3.3333333333333335,703
3.4166666666666665,726
3.5,731
3.5833333333333335,752
3.6666666666666665,762
3.75,790
3.8333333333333335,804
3.9166666666666665,823
4,843
4.083333333333333,868
4.166666666666667,894
4.25,913
4.333333333333333,922
4.416666666666667,942
4.5,963
4.583333333333333,979
4.666666666666667,991
4.75,1011
4.833333333333333,1026
4.916666666666667,1034
5,1057
5.083333333333333,1077
5.166666666666667,1094
5.25,1102
5.333333333333333,1116
5.416666666666667,1143
5.5,1157
5.583333333333333,1168
5.666666666666667,1189
5.75,1211
5.833333333333333,1229
5.916666666666667,1246
6,1274
6.083333333333333,1295
6.166666666666667,1315
6.25,1336
6.333333333333333,1351
6.416666666666667,1366
6.5,1382
6.583333333333333,1407
6.666666666666667,1422
6.75,1436
6.833333333333333,1451
6.916666666666667,1476
7,1486
7.083333333333333,1505
7.166666666666667,1523
7.25,1542
7.333333333333333,1559
7.416666666666667,1574
7.5,1585
7.583333333333333,1605
7.666666666666667,1621
7.75,1639
7.833333333333333,1655
7.916666666666667,1664
8,1675
8.083333333333334,1689
8.166666666666666,1703
8.25,1716
8.333333333333334,1726
8.416666666666666,1745
8.5,1754
8.583333333333334,1759
8.666666666666666,1771
8.75,1784
8.833333333333334,1796
8.916666666666666,1814
9,1825
9.083333333333334,1833
9.166666666666666,1849
9.25,1860
9.333333333333334,1875
9.416666666666666,1884
9.5,1896
9.583333333333334,1909
9.666666666666666,1922
9.75,1935
9.833333333333334,1949
9.916666666666666,1973
10,1976
10.083333333333334,1990
10.166666666666666,2003
10.25,2009
10.333333333333334,2029
10.416666666666666,2033
10.5,2045
10.583333333333334,2064
10.666666666666666,2078
10.75,2088
10.833333333333334,2093
10.916666666666666,2112
11,2120
11.083333333333334,2133
11.166666666666666,2139
11.25,2151
11.333333333333334,2152
11.416666666666666,2170
11.5,2173
11.583333333333334,2186
11.666666666666666,2194
11.75,2197
11.833333333333334,2208
11.916666666666666,2211
