"Hours since thread went live","Kaguya-sama wa Kokurasetai: Ultra Romantic - Episode 1 discussion"
0,1
0,8
0.08333333333333333,73
0.16666666666666666,168
0.25,243
0.3333333333333333,321
0.4166666666666667,394
0.5,531
0.5833333333333334,658
0.6666666666666666,800
0.75,927
0.8333333333333334,1043
0.9166666666666666,1180
1,1300
1.0833333333333333,1421
1.1666666666666667,1551
1.25,1679
1.3333333333333333,1802
1.4166666666666667,1901
1.5,2000
1.5833333333333333,2114
1.6666666666666667,2223
1.75,2329
1.8333333333333333,2432
1.9166666666666667,2545
2,2628
2.0833333333333335,2725
2.1666666666666665,2815
2.25,2912
2.3333333333333335,2998
2.4166666666666665,3091
2.5,3175
2.5833333333333335,3281
2.6666666666666665,3352
2.75,3412
2.8333333333333335,3501
2.9166666666666665,3579
3,3654
3.0833333333333335,3737
3.1666666666666665,3797
3.25,3855
3.3333333333333335,3937
3.4166666666666665,4000
3.5,4061
3.5833333333333335,4135
3.6666666666666665,4199
3.75,4264
3.8333333333333335,4333
3.9166666666666665,4389
4,4448
4.083333333333333,4511
4.166666666666667,4563
4.25,4635
4.333333333333333,4677
4.416666666666667,4756
4.5,4811
4.583333333333333,4859
4.666666666666667,4916
4.75,4978
4.833333333333333,5034
4.916666666666667,5093
5,5155
5.083333333333333,5194
5.166666666666667,5247
5.25,5310
5.333333333333333,5366
5.416666666666667,5416
5.5,5475
5.583333333333333,5505
5.666666666666667,5554
5.75,5607
5.833333333333333,5650
5.916666666666667,5677
6,5715
6.083333333333333,5778
6.166666666666667,5826
6.25,5872
6.333333333333333,5921
6.416666666666667,5973
6.5,6015
6.583333333333333,6047
6.666666666666667,6097
6.75,6138
6.833333333333333,6165
6.916666666666667,6220
7,6251
7.083333333333333,6289
7.166666666666667,6338
7.25,6369
7.333333333333333,6415
7.416666666666667,6453
7.5,6496
7.583333333333333,6523
7.666666666666667,6552
7.75,6589
7.833333333333333,6629
7.916666666666667,6657
8,6676
8.083333333333334,6722
8.166666666666666,6742
8.25,6769
8.333333333333334,6812
8.416666666666666,6856
8.5,6883
8.583333333333334,6911
8.666666666666666,6945
8.75,6993
8.833333333333334,7020
8.916666666666666,7067
9,7101
9.083333333333334,7140
9.166666666666666,7179
9.25,7212
9.333333333333334,7241
9.416666666666666,7277
9.5,7312
9.583333333333334,7343
9.666666666666666,7360
9.75,7402
9.833333333333334,7421
9.916666666666666,7461
10,7485
10.083333333333334,7524
10.166666666666666,7551
10.25,7576
10.333333333333334,7610
10.416666666666666,7637
10.5,7675
10.583333333333334,7699
10.666666666666666,7727
10.75,7757
10.833333333333334,7782
10.916666666666666,7797
11,7836
11.083333333333334,7858
11.166666666666666,7887
11.25,7912
11.333333333333334,7942
11.416666666666666,7966
11.5,7990
11.583333333333334,8017
11.666666666666666,8046
11.75,8064
11.833333333333334,8103
11.916666666666666,8116
12,8152
12.083333333333334,8181
12.166666666666666,8205
12.25,8235
12.333333333333334,8266
12.416666666666666,8296
12.5,8324
12.583333333333334,8337
12.666666666666666,8361
12.75,8381
12.833333333333334,8408
12.916666666666666,8434
13,8464
13.083333333333334,8481
13.166666666666666,8512
13.25,8540
13.333333333333334,8559
13.416666666666666,8580
13.5,8620
13.583333333333334,8643
13.666666666666666,8658
13.75,8692
13.833333333333334,8712
13.916666666666666,8726
14,8746
14.083333333333334,8766
14.166666666666666,8780
14.25,8800
14.333333333333334,8809
14.416666666666666,8826
14.5,8838
14.583333333333334,8867
14.666666666666666,8879
14.75,8900
14.833333333333334,8928
14.916666666666666,8930
15,8943
15.083333333333334,8964
15.166666666666666,8980
15.25,8994
15.333333333333334,9006
15.416666666666666,9026
15.5,9047
15.583333333333334,9059
15.666666666666666,9071
15.75,9073
15.833333333333334,9083
15.916666666666666,9100
16,9111
16.083333333333332,9124
16.166666666666668,9146
16.25,9143
16.333333333333332,9167
16.416666666666668,9183
16.5,9200
16.583333333333332,9201
16.666666666666668,9221
16.75,9228
16.833333333333332,9246
16.916666666666668,9268
17,9272
17.083333333333332,9284
17.166666666666668,9292
17.25,9314
17.333333333333332,9330
17.416666666666668,9344
17.5,9351
17.583333333333332,9363
17.666666666666668,9383
17.75,9394
17.833333333333332,9403
17.916666666666668,9419
18,9432
18.083333333333332,9441
18.166666666666668,9455
18.25,9462
18.333333333333332,9474
18.416666666666668,9485
18.5,9500
18.583333333333332,9512
18.666666666666668,9529
18.75,9541
18.833333333333332,9551
18.916666666666668,9565
19,9564
19.083333333333332,9573
19.166666666666668,9590
19.25,9605
19.333333333333332,9624
19.416666666666668,9629
19.5,9639
19.583333333333332,9646
19.666666666666668,9653
19.75,9659
19.833333333333332,9661
19.916666666666668,9690
20,9693
20.083333333333332,9701
20.166666666666668,9720
20.25,9730
20.333333333333332,9738
20.416666666666668,9752
20.5,9761
20.583333333333332,9766
20.666666666666668,9792
20.75,9792
20.833333333333332,9806
20.916666666666668,9820
21,9837
21.083333333333332,9860
21.166666666666668,9867
21.25,9883
21.333333333333332,9896
21.416666666666668,9899
21.5,9922
21.583333333333332,9935
21.666666666666668,9955
21.75,9965
21.833333333333332,9967
21.916666666666668,9977
22,9985
22.083333333333332,10005
22.166666666666668,10018
22.25,10025
22.333333333333332,10030
22.416666666666668,10044
22.5,10049
22.583333333333332,10059
22.666666666666668,10071
22.75,10085
22.833333333333332,10090
22.916666666666668,10105
23,10121
23.083333333333332,10124
23.166666666666668,10129
23.25,10131
23.333333333333332,10148
23.416666666666668,10160
23.5,10172
23.583333333333332,10181
23.666666666666668,10185
23.75,10200
23.833333333333332,10215
23.916666666666668,10219
24,10233
24.083333333333332,10229
24.166666666666668,10253
24.25,10261
24.333333333333332,10279
24.416666666666668,10282
24.5,10292
24.583333333333332,10306
24.666666666666668,10314
24.75,10321
24.833333333333332,10323
24.916666666666668,10337
25,10353
25.083333333333332,10346
25.166666666666668,10354
25.25,10368
25.333333333333332,10371
25.416666666666668,10382
25.5,10391
25.583333333333332,10395
25.666666666666668,10405
25.75,10414
25.833333333333332,10419
25.916666666666668,10425
26,10438
26.083333333333332,10443
26.166666666666668,10459
26.25,10460
26.333333333333332,10471
26.416666666666668,10485
26.5,10495
26.583333333333332,10500
26.666666666666668,10513
26.75,10515
26.833333333333332,10520
26.916666666666668,10532
27,10546
27.083333333333332,10561
27.166666666666668,10567
27.25,10578
27.333333333333332,10583
27.416666666666668,10588
27.5,10587
27.583333333333332,10604
27.666666666666668,10608
27.75,10612
27.833333333333332,10625
27.916666666666668,10629
28,10628
28.083333333333332,10639
28.166666666666668,10636
28.25,10651
28.333333333333332,10646
28.416666666666668,10659
28.5,10653
28.583333333333332,10671
28.666666666666668,10670
28.75,10673
28.833333333333332,10678
28.916666666666668,10679
29,10685
29.083333333333332,10693
29.166666666666668,10702
29.25,10702
29.333333333333332,10716
29.416666666666668,10715
29.5,10728
29.583333333333332,10728
29.666666666666668,10724
29.75,10742
29.833333333333332,10739
29.916666666666668,10748
30,10753
30.083333333333332,10751
30.166666666666668,10763
30.25,10767
30.333333333333332,10776
30.416666666666668,10765
30.5,10772
30.583333333333332,10788
30.666666666666668,10792
30.75,10795
30.833333333333332,10791
30.916666666666668,10791
31,10797
31.083333333333332,10808
31.166666666666668,10809
31.25,10817
31.333333333333332,10823
31.416666666666668,10828
31.5,10829
31.583333333333332,10835
31.666666666666668,10833
31.75,10845
31.833333333333332,10849
31.916666666666668,10858
32,10858
32.083333333333336,10867
32.166666666666664,10870
32.25,10876
32.333333333333336,10878
32.416666666666664,10883
32.5,10878
32.583333333333336,10878
32.666666666666664,10886
32.75,10885
32.833333333333336,10888
32.916666666666664,10898
33,10903
33.083333333333336,10899
33.166666666666664,10900
33.25,10909
33.333333333333336,10914
33.416666666666664,10909
33.5,10916
33.583333333333336,10914
33.666666666666664,10920
33.75,10924
33.833333333333336,10925
33.916666666666664,10925
34,10932
34.083333333333336,10936
34.166666666666664,10949
34.25,10951
34.333333333333336,10953
34.416666666666664,10951
34.5,10956
34.583333333333336,10958
34.666666666666664,10975
34.75,10967
34.833333333333336,10979
34.916666666666664,10978
35,10984
35.083333333333336,10988
35.166666666666664,10986
35.25,10993
35.333333333333336,10992
35.416666666666664,10999
35.5,11009
35.583333333333336,11012
35.666666666666664,11005
35.75,11014
35.833333333333336,11022
35.916666666666664,11020
36,11031
36.083333333333336,11031
36.166666666666664,11034
36.25,11036
36.333333333333336,11034
36.416666666666664,11043
36.5,11037
36.583333333333336,11043
36.666666666666664,11045
36.75,11058
36.833333333333336,11051
36.916666666666664,11053
37,11054
37.083333333333336,11061
37.166666666666664,11066
37.25,11067
37.333333333333336,11066
