"Hours since thread went live","Vampire Dormitory - Episode 4 discussion"
39.166666666666664,58
39.25,56
39.333333333333336,61
39.416666666666664,56
39.5,56
39.583333333333336,56
39.666666666666664,59
39.75,55
39.833333333333336,57
39.916666666666664,58
40,54
40.083333333333336,56
40.166666666666664,56
40.25,56
40.333333333333336,61
40.416666666666664,56
40.5,56
40.583333333333336,55
40.666666666666664,57
40.75,56
40.833333333333336,54
40.916666666666664,56
41,57
41.083333333333336,60
41.166666666666664,55
41.25,55
41.333333333333336,56
41.416666666666664,57
41.5,57
41.583333333333336,57
41.666666666666664,60
41.75,56
41.833333333333336,59
41.916666666666664,55
42,58
42.083333333333336,57
42.166666666666664,59
42.25,55
42.333333333333336,57
42.416666666666664,58
42.5,59
42.583333333333336,57
42.666666666666664,56
42.75,57
42.833333333333336,55
42.916666666666664,59
43,56
43.083333333333336,56
43.166666666666664,56
43.25,59
43.333333333333336,58
43.416666666666664,58
43.5,59
43.583333333333336,57
43.666666666666664,56
43.75,59
43.833333333333336,60
43.916666666666664,57
44,54
44.083333333333336,57
44.166666666666664,60
44.25,54
44.333333333333336,59
44.416666666666664,59
44.5,55
44.583333333333336,53
44.666666666666664,57
44.75,57
44.833333333333336,54
44.916666666666664,56
45,56
45.083333333333336,55
45.166666666666664,55
45.25,59
45.333333333333336,57
45.416666666666664,57
45.5,57
45.583333333333336,59
45.666666666666664,56
45.75,59
45.833333333333336,57
45.916666666666664,55
46,56
46.083333333333336,55
46.166666666666664,60
46.25,53
46.333333333333336,59
46.416666666666664,57
46.5,57
46.583333333333336,60
46.666666666666664,56
46.75,54
46.833333333333336,59
46.916666666666664,57
47,53
47.083333333333336,60
47.166666666666664,54
47.25,57
47.333333333333336,56
47.416666666666664,61
47.5,57
47.583333333333336,57
47.666666666666664,57
47.75,54
47.833333333333336,57
47.916666666666664,57
