"Hours since thread went live","Blue Archive The Animation - Episode 8 discussion"
39.166666666666664,86
39.25,87
39.333333333333336,83
39.416666666666664,82
39.5,87
39.583333333333336,84
39.666666666666664,81
39.75,87
39.833333333333336,84
39.916666666666664,83
40,88
40.083333333333336,82
40.166666666666664,83
40.25,85
40.333333333333336,87
40.416666666666664,83
40.5,86
40.583333333333336,85
40.666666666666664,85
40.75,86
40.833333333333336,87
40.916666666666664,84
41,87
41.083333333333336,89
41.166666666666664,84
41.25,87
41.333333333333336,87
41.416666666666664,82
41.5,84
41.583333333333336,87
41.666666666666664,86
41.75,86
41.833333333333336,83
41.916666666666664,86
42,88
42.083333333333336,87
42.166666666666664,86
42.25,85
42.333333333333336,86
42.416666666666664,83
42.5,83
42.583333333333336,84
42.666666666666664,86
42.75,88
42.833333333333336,87
42.916666666666664,83
43,86
43.083333333333336,87
43.166666666666664,88
43.25,89
43.333333333333336,87
43.416666666666664,89
43.5,85
43.583333333333336,84
43.666666666666664,84
43.75,87
43.833333333333336,86
43.916666666666664,87
44,84
44.083333333333336,86
44.166666666666664,87
44.25,89
44.333333333333336,85
44.416666666666664,85
44.5,87
44.583333333333336,85
44.666666666666664,86
44.75,83
44.833333333333336,87
44.916666666666664,85
45,89
45.083333333333336,91
45.166666666666664,86
45.25,86
45.333333333333336,88
45.416666666666664,89
45.5,88
45.583333333333336,89
45.666666666666664,92
45.75,92
45.833333333333336,90
45.916666666666664,89
46,89
46.083333333333336,90
46.166666666666664,91
46.25,91
46.333333333333336,91
46.416666666666664,95
46.5,94
46.583333333333336,92
46.666666666666664,94
46.75,91
46.833333333333336,91
46.916666666666664,90
47,92
47.083333333333336,92
47.166666666666664,93
47.25,91
47.333333333333336,92
47.416666666666664,89
47.5,95
47.583333333333336,90
47.666666666666664,93
47.75,89
47.833333333333336,90
47.916666666666664,88
