"Hours since thread went live","Mushoku Tensei: Isekai Ittara Honki Dasu Season 2 • Mushoku Tensei: Jobless Reincarnation Season 2 - Episode 5 discussion"
0,5
0,35
0.08333333333333333,71
0.16666666666666666,110
0.25,154
0.3333333333333333,187
0.4166666666666667,248
0.5,303
0.5833333333333334,384
0.6666666666666666,455
0.75,517
0.8333333333333334,597
0.9166666666666666,667
1,731
1.0833333333333333,802
1.1666666666666667,864
1.25,937
1.3333333333333333,1004
1.4166666666666667,1066
1.5,1122
1.5833333333333333,1174
1.6666666666666667,1224
1.75,1283
1.8333333333333333,1316
1.9166666666666667,1380
2,1432
2.0833333333333335,1481
2.1666666666666665,1539
2.25,1585
2.3333333333333335,1639
2.4166666666666665,1697
2.5,1740
2.5833333333333335,1778
2.6666666666666665,1804
2.75,1853
2.8333333333333335,1891
2.9166666666666665,1931
3,1978
3.0833333333333335,2011
3.1666666666666665,2048
3.25,2079
3.3333333333333335,2121
3.4166666666666665,2155
3.5,2179
3.5833333333333335,2212
3.6666666666666665,2239
3.75,2264
3.8333333333333335,2289
3.9166666666666665,2319
4,2349
4.083333333333333,2380
4.166666666666667,2420
4.25,2447
4.333333333333333,2464
4.416666666666667,2499
4.5,2525
4.583333333333333,2556
4.666666666666667,2582
4.75,2594
4.833333333333333,2632
4.916666666666667,2655
5,2671
5.083333333333333,2696
5.166666666666667,2729
5.25,2766
5.333333333333333,2795
5.416666666666667,2816
5.5,2838
5.583333333333333,2863
5.666666666666667,2882
5.75,2918
5.833333333333333,2941
5.916666666666667,2972
6,3000
6.083333333333333,3023
6.166666666666667,3055
6.25,3069
6.333333333333333,3093
6.416666666666667,3115
6.5,3131
6.583333333333333,3150
6.666666666666667,3173
6.75,3190
6.833333333333333,3213
6.916666666666667,3239
7,3257
7.083333333333333,3268
7.166666666666667,3292
7.25,3313
7.333333333333333,3327
7.416666666666667,3339
7.5,3358
7.583333333333333,3370
7.666666666666667,3390
7.75,3395
7.833333333333333,3413
7.916666666666667,3428
8,3456
8.083333333333334,3467
8.166666666666666,3476
8.25,3488
8.333333333333334,3511
8.416666666666666,3520
8.5,3532
8.583333333333334,3555
8.666666666666666,3570
8.75,3594
8.833333333333334,3609
8.916666666666666,3624
9,3634
9.083333333333334,3655
9.166666666666666,3669
9.25,3690
9.333333333333334,3692
9.416666666666666,3716
9.5,3730
9.583333333333334,3746
9.666666666666666,3760
9.75,3777
9.833333333333334,3802
9.916666666666666,3806
10,3822
10.083333333333334,3838
10.166666666666666,3855
10.25,3872
10.333333333333334,3881
10.416666666666666,3904
10.5,3913
10.583333333333334,3920
10.666666666666666,3932
10.75,3943
10.833333333333334,3958
10.916666666666666,3969
11,3987
11.083333333333334,3991
11.166666666666666,4004
11.25,4020
11.333333333333334,4016
11.416666666666666,4030
11.5,4042
11.583333333333334,4046
11.666666666666666,4054
11.75,4061
11.833333333333334,4075
11.916666666666666,4088
12,4099
12.083333333333334,4104
12.166666666666666,4116
12.25,4123
12.333333333333334,4140
12.416666666666666,4151
12.5,4162
12.583333333333334,4175
12.666666666666666,4182
12.75,4198
12.833333333333334,4215
12.916666666666666,4220
13,4238
13.083333333333334,4252
13.166666666666666,4264
13.25,4283
13.333333333333334,4280
