"Hours since thread went live","Jujutsu Kaisen - Episode 23 discussion"
0,2
0,5
0.08333333333333333,25
0.16666666666666666,53
0.25,81
0.3333333333333333,119
0.4166666666666667,182
0.5,226
0.5833333333333334,289
0.6666666666666666,350
0.75,412
0.8333333333333334,465
0.9166666666666666,552
1,642
1.0833333333333333,712
1.1666666666666667,788
1.25,872
1.3333333333333333,965
1.4166666666666667,1044
1.5,1140
1.5833333333333333,1242
1.6666666666666667,1345
1.75,1428
1.8333333333333333,1517
1.9166666666666667,1616
2,1722
2.0833333333333335,1837
2.1666666666666665,1968
2.25,2075
2.3333333333333335,2179
2.4166666666666665,2274
2.5,2379
2.5833333333333335,2481
2.6666666666666665,2573
2.75,2664
2.8333333333333335,2761
2.9166666666666665,2848
3,2937
3.0833333333333335,3016
3.1666666666666665,3114
3.25,3205
3.3333333333333335,3292
3.4166666666666665,3361
3.5,3441
3.5833333333333335,3522
3.6666666666666665,3599
3.75,3679
3.8333333333333335,3760
3.9166666666666665,3824
4,3913
4.083333333333333,3975
4.166666666666667,4035
4.25,4119
4.333333333333333,4208
4.416666666666667,4259
4.5,4328
4.583333333333333,4385
4.666666666666667,4456
4.75,4517
4.833333333333333,4571
4.916666666666667,4637
5,4694
5.083333333333333,4758
5.166666666666667,4817
5.25,4888
5.333333333333333,4940
5.416666666666667,5002
5.5,5044
5.583333333333333,5099
5.666666666666667,5159
5.75,5223
5.833333333333333,5269
5.916666666666667,5334
6,5381
6.083333333333333,5450
6.166666666666667,5496
6.25,5531
6.333333333333333,5582
6.416666666666667,5632
6.5,5678
6.583333333333333,5724
6.666666666666667,5756
6.75,5810
6.833333333333333,5863
6.916666666666667,5918
7,5945
7.083333333333333,6005
7.166666666666667,6060
7.25,6103
7.333333333333333,6150
7.416666666666667,6187
7.5,6231
7.583333333333333,6280
7.666666666666667,6308
7.75,6350
7.833333333333333,6398
7.916666666666667,6445
8,6471
8.083333333333334,6511
8.166666666666666,6546
8.25,6586
8.333333333333334,6617
8.416666666666666,6662
8.5,6692
8.583333333333334,6726
8.666666666666666,6755
8.75,6798
8.833333333333334,6828
8.916666666666666,6871
9,6905
9.083333333333334,6941
9.166666666666666,6974
9.25,7013
9.333333333333334,7045
9.416666666666666,7079
9.5,7127
9.583333333333334,7172
9.666666666666666,7200
9.75,7230
9.833333333333334,7279
9.916666666666666,7302
10,7335
10.083333333333334,7357
