"Hours since thread went live","Kage no Jitsuryokusha ni Naritakute! Season 2 • The Eminence in Shadow Season 2 - Episode 6 discussion"
0,3
0.08333333333333333,7
0.16666666666666666,9
0.25,12
0.3333333333333333,21
0.4166666666666667,36
0.5,48
0.5833333333333334,58
0.6666666666666666,67
0.75,84
0.8333333333333334,93
0.9166666666666666,116
1,128
1.0833333333333333,144
1.1666666666666667,153
1.25,167
1.3333333333333333,182
1.4166666666666667,205
1.5,213
1.5833333333333333,234
1.6666666666666667,250
1.75,266
1.8333333333333333,290
1.9166666666666667,307
2,313
2.0833333333333335,342
2.1666666666666665,367
2.25,379
2.3333333333333335,399
2.4166666666666665,417
2.5,432
2.5833333333333335,454
2.6666666666666665,470
2.75,487
2.8333333333333335,497
2.9166666666666665,514
3,535
3.0833333333333335,553
3.1666666666666665,570
3.25,592
3.3333333333333335,613
3.4166666666666665,636
3.5,646
3.5833333333333335,663
3.6666666666666665,678
3.75,682
3.8333333333333335,691
3.9166666666666665,710
4,723
4.083333333333333,740
4.166666666666667,758
4.25,773
4.333333333333333,786
4.416666666666667,810
4.5,821
4.583333333333333,836
4.666666666666667,851
4.75,857
4.833333333333333,873
4.916666666666667,881
5,899
5.083333333333333,909
5.166666666666667,915
5.25,931
5.333333333333333,949
5.416666666666667,955
5.5,971
5.583333333333333,984
5.666666666666667,1000
5.75,1004
5.833333333333333,1015
5.916666666666667,1017
6,1025
6.083333333333333,1032
6.166666666666667,1058
6.25,1064
6.333333333333333,1081
6.416666666666667,1093
6.5,1096
6.583333333333333,1103
6.666666666666667,1119
6.75,1129
6.833333333333333,1140
6.916666666666667,1153
7,1154
7.083333333333333,1168
7.166666666666667,1180
7.25,1193
7.333333333333333,1201
7.416666666666667,1209
7.5,1222
7.583333333333333,1229
7.666666666666667,1232
7.75,1234
7.833333333333333,1246
7.916666666666667,1259
8,1270
8.083333333333334,1277
8.166666666666666,1283
8.25,1291
8.333333333333334,1306
8.416666666666666,1312
8.5,1328
8.583333333333334,1333
8.666666666666666,1343
8.75,1353
8.833333333333334,1360
8.916666666666666,1359
9,1374
9.083333333333334,1383
9.166666666666666,1387
9.25,1397
9.333333333333334,1401
9.416666666666666,1414
9.5,1430
9.583333333333334,1436
9.666666666666666,1441
9.75,1446
9.833333333333334,1458
9.916666666666666,1468
10,1465
10.083333333333334,1482
10.166666666666666,1491
10.25,1509
10.333333333333334,1510
10.416666666666666,1522
10.5,1532
10.583333333333334,1530
10.666666666666666,1543
10.75,1544
10.833333333333334,1566
10.916666666666666,1567
11,1572
11.083333333333334,1578
11.166666666666666,1586
11.25,1593
11.333333333333334,1604
11.416666666666666,1611
11.5,1622
11.583333333333334,1623
11.666666666666666,1636
11.75,1639
11.833333333333334,1641
11.916666666666666,1651
12,1650
12.083333333333334,1656
12.166666666666666,1661
12.25,1671
12.333333333333334,1666
12.416666666666666,1674
12.5,1673
12.583333333333334,1684
12.666666666666666,1688
12.75,1686
12.833333333333334,1697
12.916666666666666,1700
13,1708
13.083333333333334,1716
13.166666666666666,1717
13.25,1716
13.333333333333334,1727
13.416666666666666,1728
13.5,1729
13.583333333333334,1736
