"Hours since thread went live","Boku no Kokoro no Yabai Yatsu Season 2 • The Dangers in My Heart Season 2 - Episode 8 discussion"
0,9
0.08333333333333333,22
0.16666666666666666,39
0.25,47
0.3333333333333333,65
0.4166666666666667,97
0.5,124
0.5833333333333334,156
0.6666666666666666,183
0.75,198
0.8333333333333334,217
0.9166666666666666,237
1,251
1.0833333333333333,274
1.1666666666666667,290
1.25,303
1.3333333333333333,317
1.4166666666666667,336
1.5,358
1.5833333333333333,369
1.6666666666666667,378
1.75,395
1.8333333333333333,414
1.9166666666666667,426
2,451
2.0833333333333335,462
2.1666666666666665,479
2.25,484
2.3333333333333335,494
2.4166666666666665,508
2.5,519
2.5833333333333335,533
2.6666666666666665,540
2.75,554
2.8333333333333335,565
2.9166666666666665,575
3,595
3.0833333333333335,597
3.1666666666666665,612
3.25,626
3.3333333333333335,635
3.4166666666666665,643
3.5,662
3.5833333333333335,674
3.6666666666666665,685
3.75,689
3.8333333333333335,698
3.9166666666666665,706
4,727
4.083333333333333,732
4.166666666666667,735
4.25,745
4.333333333333333,757
4.416666666666667,764
4.5,777
4.583333333333333,789
4.666666666666667,807
4.75,807
4.833333333333333,826
4.916666666666667,824
5,836
5.083333333333333,832
5.166666666666667,843
5.25,852
5.333333333333333,855
5.416666666666667,863
5.5,863
5.583333333333333,875
5.666666666666667,883
5.75,885
5.833333333333333,889
5.916666666666667,900
6,903
6.083333333333333,911
6.166666666666667,927
6.25,926
6.333333333333333,935
6.416666666666667,949
6.5,952
6.583333333333333,960
6.666666666666667,970
6.75,978
6.833333333333333,982
6.916666666666667,994
7,998
7.083333333333333,1008
7.166666666666667,1012
7.25,1019
7.333333333333333,1022
7.416666666666667,1018
7.5,1026
7.583333333333333,1028
7.666666666666667,1034
7.75,1041
7.833333333333333,1040
7.916666666666667,1053
8,1056
8.083333333333334,1057
8.166666666666666,1064
8.25,1069
8.333333333333334,1073
8.416666666666666,1078
8.5,1081
8.583333333333334,1081
8.666666666666666,1085
8.75,1093
8.833333333333334,1108
8.916666666666666,1111
9,1118
9.083333333333334,1119
9.166666666666666,1130
9.25,1128
9.333333333333334,1135
9.416666666666666,1143
9.5,1137
9.583333333333334,1139
9.666666666666666,1148
9.75,1152
9.833333333333334,1164
9.916666666666666,1163
10,1159
10.083333333333334,1170
10.166666666666666,1178
10.25,1183
10.333333333333334,1187
10.416666666666666,1196
10.5,1195
10.583333333333334,1206
10.666666666666666,1206
