"Hours since thread went live","Yuru Camp△ Season 3 • Laid-Back Camp Season 3 - Episode 5 discussion"
0,1
0,6
0.08333333333333333,11
0.16666666666666666,20
0.25,24
0.3333333333333333,25
0.4166666666666667,36
0.5,47
0.5833333333333334,53
0.6666666666666666,59
0.75,64
0.8333333333333334,69
0.9166666666666666,76
1,86
1.0833333333333333,93
1.1666666666666667,103
1.25,112
1.3333333333333333,118
1.4166666666666667,131
1.5,137
1.5833333333333333,142
1.6666666666666667,145
1.75,151
1.8333333333333333,156
1.9166666666666667,162
2,170
2.0833333333333335,176
2.1666666666666665,180
2.25,183
2.3333333333333335,186
2.4166666666666665,186
2.5,190
2.5833333333333335,192
2.6666666666666665,199
2.75,197
2.8333333333333335,204
2.9166666666666665,206
3,217
3.0833333333333335,222
3.1666666666666665,226
3.25,228
3.3333333333333335,231
3.4166666666666665,233
3.5,243
3.5833333333333335,242
3.6666666666666665,247
3.75,256
3.8333333333333335,261
3.9166666666666665,268
4,270
4.083333333333333,270
4.166666666666667,273
4.25,276
4.333333333333333,281
4.416666666666667,280
4.5,282
4.583333333333333,281
4.666666666666667,288
4.75,296
4.833333333333333,298
4.916666666666667,297
5,301
5.083333333333333,306
5.166666666666667,310
5.25,313
5.333333333333333,315
5.416666666666667,312
5.5,316
5.666666666666667,317
5.75,319
5.833333333333333,327
5.916666666666667,326
6,334
6.083333333333333,341
6.166666666666667,343
6.25,345
6.333333333333333,347
6.416666666666667,356
6.5,361
6.583333333333333,362
6.666666666666667,361
6.75,366
6.833333333333333,370
6.916666666666667,377
7,374
7.083333333333333,375
7.166666666666667,383
7.25,378
7.333333333333333,386
7.416666666666667,386
7.5,395
7.583333333333333,395
7.666666666666667,398
7.75,402
7.833333333333333,404
7.916666666666667,409
8,408
8.083333333333334,409
8.166666666666666,418
8.25,416
8.333333333333334,426
8.416666666666666,431
8.5,425
8.583333333333334,430
8.666666666666666,432
8.75,435
8.833333333333334,434
8.916666666666666,439
9,441
9.083333333333334,438
9.166666666666666,441
9.25,442
9.333333333333334,442
9.416666666666666,443
9.5,453
9.583333333333334,452
9.666666666666666,460
9.75,457
9.833333333333334,456
9.916666666666666,469
10,462
10.083333333333334,462
10.166666666666666,472
10.25,462
10.333333333333334,469
10.416666666666666,477
10.5,474
10.583333333333334,478
10.666666666666666,482
10.75,487
10.833333333333334,487
10.916666666666666,484
11,481
11.083333333333334,483
11.166666666666666,486
11.25,502
11.333333333333334,493
11.416666666666666,498
11.5,501
11.583333333333334,502
11.666666666666666,498
11.75,503
11.833333333333334,507
11.916666666666666,504
12,504
12.083333333333334,510
12.166666666666666,516
12.25,512
12.333333333333334,516
12.416666666666666,521
12.5,520
12.583333333333334,515
12.666666666666666,517
12.75,514
12.833333333333334,523
12.916666666666666,525
13,531
