"Hours since thread went live","Ishura - Episode 11 discussion"
0,1
0.08333333333333333,4
0.16666666666666666,3
0.25,4
0.3333333333333333,6
0.4166666666666667,7
0.5,8
0.5833333333333334,8
0.6666666666666666,8
0.75,9
0.8333333333333334,14
0.9166666666666666,16
1,19
1.0833333333333333,21
1.1666666666666667,26
1.25,28
1.3333333333333333,30
1.4166666666666667,30
1.5,35
1.5833333333333333,36
1.6666666666666667,38
1.75,42
1.8333333333333333,44
1.9166666666666667,45
2,48
2.0833333333333335,51
2.1666666666666665,52
2.25,53
2.3333333333333335,60
2.4166666666666665,61
2.5,65
2.5833333333333335,68
2.6666666666666665,67
2.75,71
2.8333333333333335,72
2.9166666666666665,71
3,76
3.0833333333333335,76
3.1666666666666665,75
3.25,81
3.3333333333333335,81
3.4166666666666665,81
3.5,82
3.5833333333333335,83
3.6666666666666665,84
3.75,85
3.8333333333333335,90
3.9166666666666665,85
4,89
4.083333333333333,92
4.166666666666667,89
4.25,88
4.333333333333333,96
4.416666666666667,102
4.5,100
4.583333333333333,102
4.666666666666667,102
4.75,97
4.833333333333333,103
4.916666666666667,105
5,110
5.083333333333333,111
5.166666666666667,110
5.25,112
5.333333333333333,112
5.416666666666667,115
5.5,113
5.583333333333333,119
5.666666666666667,117
5.75,118
5.833333333333333,121
5.916666666666667,124
6,125
6.083333333333333,125
6.166666666666667,127
6.25,127
6.333333333333333,126
6.416666666666667,128
6.5,125
6.583333333333333,127
6.666666666666667,128
6.75,130
6.833333333333333,132
6.916666666666667,133
7,131
7.083333333333333,132
7.166666666666667,133
7.25,137
7.333333333333333,138
7.416666666666667,141
7.5,142
7.583333333333333,144
7.666666666666667,148
7.75,149
7.833333333333333,154
7.916666666666667,149
8,154
8.083333333333334,153
8.166666666666666,156
8.25,156
8.333333333333334,155
8.416666666666666,156
8.5,157
8.583333333333334,157
8.666666666666666,158
8.75,155
8.833333333333334,160
8.916666666666666,165
9,165
9.083333333333334,164
9.166666666666666,169
9.25,169
9.333333333333334,167
9.416666666666666,172
9.5,168
9.583333333333334,173
9.666666666666666,179
9.75,177
9.833333333333334,179
9.916666666666666,181
10,183
10.083333333333334,185
10.166666666666666,185
10.25,188
10.333333333333334,186
10.416666666666666,185
10.5,188
10.583333333333334,190
10.666666666666666,189
10.75,187
10.833333333333334,190
10.916666666666666,189
11,188
11.083333333333334,192
11.166666666666666,193
11.25,190
11.333333333333334,194
11.416666666666666,192
11.5,193
11.583333333333334,194
11.666666666666666,194
11.75,197
11.833333333333334,197
11.916666666666666,204
12,201
12.083333333333334,201
12.166666666666666,199
12.25,203
12.333333333333334,203
12.416666666666666,205
12.5,207
