"Hours since thread went live","Dungeon Meshi • Delicious in Dungeon - Episode 16 discussion"
0,3
0.08333333333333333,13
0.16666666666666666,28
0.25,45
0.3333333333333333,61
0.4166666666666667,77
0.5,98
0.5833333333333334,114
0.6666666666666666,135
0.75,160
0.8333333333333334,176
0.9166666666666666,185
1,204
1.0833333333333333,223
1.1666666666666667,242
1.25,258
1.3333333333333333,287
1.4166666666666667,309
1.5,327
1.5833333333333333,347
1.6666666666666667,375
1.75,388
1.8333333333333333,407
1.9166666666666667,416
2,430
2.0833333333333335,444
2.1666666666666665,460
2.25,475
2.3333333333333335,504
2.4166666666666665,526
2.5,544
2.5833333333333335,562
2.6666666666666665,586
2.75,612
2.8333333333333335,635
2.9166666666666665,651
3,661
3.0833333333333335,681
3.1666666666666665,696
3.25,708
3.3333333333333335,719
3.4166666666666665,742
3.5,772
3.5833333333333335,781
3.6666666666666665,800
3.75,820
3.8333333333333335,838
3.9166666666666665,848
4,874
4.083333333333333,890
4.166666666666667,912
4.25,919
4.333333333333333,933
4.416666666666667,958
4.5,974
4.583333333333333,988
4.666666666666667,997
4.75,1009
4.833333333333333,1025
4.916666666666667,1035
5,1037
5.083333333333333,1059
5.166666666666667,1087
5.25,1086
5.333333333333333,1110
5.416666666666667,1130
5.5,1144
5.583333333333333,1164
5.666666666666667,1171
5.75,1183
5.833333333333333,1193
5.916666666666667,1211
6,1218
6.083333333333333,1229
6.166666666666667,1237
6.25,1250
6.333333333333333,1266
6.416666666666667,1285
6.5,1287
6.583333333333333,1300
6.666666666666667,1308
6.75,1320
6.833333333333333,1328
6.916666666666667,1343
7,1361
7.083333333333333,1372
7.166666666666667,1379
7.25,1392
7.333333333333333,1412
7.416666666666667,1419
7.5,1426
7.583333333333333,1431
7.666666666666667,1442
7.75,1451
7.833333333333333,1468
7.916666666666667,1477
8,1491
8.083333333333334,1509
8.166666666666666,1513
8.25,1527
8.333333333333334,1537
8.416666666666666,1557
8.5,1580
8.583333333333334,1581
8.666666666666666,1590
8.75,1604
8.833333333333334,1608
8.916666666666666,1620
9,1631
9.083333333333334,1635
9.166666666666666,1643
9.25,1656
9.333333333333334,1661
9.416666666666666,1667
9.5,1674
9.583333333333334,1684
9.666666666666666,1689
9.75,1690
9.833333333333334,1709
9.916666666666666,1718
10,1726
10.083333333333334,1736
10.166666666666666,1750
10.25,1755
10.333333333333334,1765
10.416666666666666,1767
10.5,1792
10.583333333333334,1799
10.666666666666666,1805
10.75,1814
10.833333333333334,1826
10.916666666666666,1828
11,1840
11.083333333333334,1850
11.166666666666666,1855
11.25,1860
11.333333333333334,1871
11.416666666666666,1884
11.5,1889
11.583333333333334,1896
11.666666666666666,1907
11.75,1917
11.833333333333334,1915
11.916666666666666,1925
12,1934
12.083333333333334,1952
12.166666666666666,1954
12.25,1959
12.333333333333334,1973
12.416666666666666,1982
12.5,1982
12.583333333333334,1997
12.666666666666666,1996
12.75,2005
12.833333333333334,2001
12.916666666666666,2009
13,2014
13.083333333333334,2018
13.166666666666666,2030
13.25,2039
13.333333333333334,2047
13.416666666666666,2050
13.5,2066
13.583333333333334,2071
13.666666666666666,2077
13.75,2075
13.833333333333334,2093
13.916666666666666,2101
14,2104
14.083333333333334,2107
14.166666666666666,2110
14.25,2119
14.333333333333334,2132
14.416666666666666,2128
14.5,2131
14.583333333333334,2137
14.666666666666666,2137
14.75,2145
14.833333333333334,2151
14.916666666666666,2154
15,2159
15.083333333333334,2166
15.166666666666666,2170
15.25,2177
15.333333333333334,2187
15.416666666666666,2189
15.5,2187
15.583333333333334,2191
15.666666666666666,2199
15.75,2203
15.833333333333334,2203
15.916666666666666,2207
16,2211
16.083333333333332,2206
16.166666666666668,2212
16.25,2212
16.333333333333332,2213
16.416666666666668,2224
16.5,2223
16.583333333333332,2219
16.666666666666668,2227
16.75,2231
16.833333333333332,2237
16.916666666666668,2234
17,2242
17.083333333333332,2252
17.166666666666668,2242
17.25,2252
17.333333333333332,2251
17.416666666666668,2262
17.5,2261
17.583333333333332,2263
17.666666666666668,2267
17.75,2271
17.833333333333332,2277
17.916666666666668,2280
18,2282
18.083333333333332,2281
18.166666666666668,2287
18.25,2287
18.333333333333332,2285
18.416666666666668,2292
18.5,2296
18.583333333333332,2300
18.666666666666668,2298
18.75,2305
18.833333333333332,2307
18.916666666666668,2311
19,2315
19.083333333333332,2315
19.166666666666668,2317
19.25,2320
19.333333333333332,2324
19.416666666666668,2331
19.5,2333
19.583333333333332,2335
19.666666666666668,2341
19.75,2337
19.833333333333332,2345
19.916666666666668,2342
20,2355
20.083333333333332,2353
20.166666666666668,2355
20.25,2358
20.333333333333332,2364
20.416666666666668,2363
20.5,2369
20.583333333333332,2374
20.666666666666668,2372
20.75,2374
20.833333333333332,2368
20.916666666666668,2380
21,2380
21.083333333333332,2378
21.166666666666668,2377
21.25,2384
21.333333333333332,2386
21.416666666666668,2391
21.5,2395
21.583333333333332,2396
21.666666666666668,2397
21.75,2403
21.833333333333332,2402
21.916666666666668,2404
22,2408
22.083333333333332,2410
22.166666666666668,2414
22.25,2411
22.333333333333332,2415
22.416666666666668,2419
22.5,2414
22.583333333333332,2422
22.666666666666668,2423
22.75,2424
22.833333333333332,2429
22.916666666666668,2427
23,2428
23.083333333333332,2430
23.166666666666668,2425
23.25,2434
23.333333333333332,2430
23.416666666666668,2440
23.5,2437
23.583333333333332,2436
23.666666666666668,2438
23.75,2437
23.833333333333332,2441
23.916666666666668,2445
24,2443
24.083333333333332,2444
24.166666666666668,2456
24.25,2449
24.333333333333332,2449
24.416666666666668,2453
24.5,2451
24.583333333333332,2452
24.666666666666668,2462
24.75,2460
24.833333333333332,2467
24.916666666666668,2467
25,2476
25.083333333333332,2475
25.166666666666668,2476
25.25,2480
25.333333333333332,2487
25.416666666666668,2484
25.5,2488
25.583333333333332,2487
25.666666666666668,2489
25.75,2491
25.833333333333332,2496
25.916666666666668,2496
26,2497
26.083333333333332,2502
26.166666666666668,2496
26.25,2496
26.333333333333332,2501
26.416666666666668,2504
26.5,2502
26.583333333333332,2511
26.666666666666668,2506
26.75,2507
26.833333333333332,2510
26.916666666666668,2515
27,2517
27.083333333333332,2515
27.166666666666668,2520
27.25,2528
27.333333333333332,2523
27.416666666666668,2522
27.5,2523
27.583333333333332,2533
27.666666666666668,2528
27.75,2525
27.833333333333332,2534
27.916666666666668,2533
28,2531
28.083333333333332,2541
28.166666666666668,2535
28.25,2537
28.333333333333332,2544
28.416666666666668,2542
28.5,2544
28.583333333333332,2544
28.666666666666668,2545
28.75,2548
28.833333333333332,2545
28.916666666666668,2555
29,2548
29.083333333333332,2554
29.166666666666668,2549
29.25,2555
29.333333333333332,2554
29.416666666666668,2550
29.5,2553
29.583333333333332,2555
29.666666666666668,2555
29.75,2556
29.833333333333332,2564
29.916666666666668,2563
30,2559
30.083333333333332,2561
30.166666666666668,2558
30.25,2562
30.333333333333332,2569
30.416666666666668,2567
30.5,2565
30.583333333333332,2569
30.666666666666668,2570
30.75,2574
30.833333333333332,2567
30.916666666666668,2568
31,2576
31.083333333333332,2574
31.166666666666668,2574
31.25,2575
31.333333333333332,2573
31.416666666666668,2579
31.5,2580
31.583333333333332,2578
31.666666666666668,2577
31.75,2579
31.833333333333332,2578
31.916666666666668,2574
32,2581
32.083333333333336,2582
32.166666666666664,2580
32.25,2582
32.333333333333336,2587
32.416666666666664,2587
32.5,2589
32.583333333333336,2588
32.666666666666664,2588
32.75,2588
32.833333333333336,2590
32.916666666666664,2592
33,2592
33.083333333333336,2594
33.166666666666664,2594
33.25,2595
33.333333333333336,2596
33.416666666666664,2592
33.5,2597
33.583333333333336,2593
33.666666666666664,2593
33.75,2599
33.833333333333336,2596
33.916666666666664,2593
34,2602
34.083333333333336,2603
34.166666666666664,2601
34.25,2599
34.333333333333336,2596
34.416666666666664,2606
34.5,2611
34.583333333333336,2609
34.666666666666664,2612
34.75,2606
34.833333333333336,2608
34.916666666666664,2610
35,2613
35.083333333333336,2611
35.166666666666664,2611
35.25,2616
35.333333333333336,2613
35.416666666666664,2612
35.5,2612
35.583333333333336,2618
35.666666666666664,2616
35.75,2614
35.833333333333336,2615
35.916666666666664,2617
36,2622
36.083333333333336,2615
36.166666666666664,2616
36.25,2618
36.333333333333336,2627
36.416666666666664,2620
36.5,2627
36.583333333333336,2628
36.666666666666664,2630
36.75,2624
36.833333333333336,2628
36.916666666666664,2630
37,2627
37.083333333333336,2631
37.166666666666664,2623
37.25,2629
37.333333333333336,2629
37.416666666666664,2631
37.5,2636
37.583333333333336,2635
37.666666666666664,2633
37.75,2632
37.833333333333336,2636
37.916666666666664,2632
38,2633
38.083333333333336,2638
38.166666666666664,2637
38.25,2633
38.333333333333336,2633
38.416666666666664,2638
38.5,2645
38.583333333333336,2637
38.666666666666664,2635
38.75,2641
38.833333333333336,2635
38.916666666666664,2637
39,2643
39.083333333333336,2648
39.166666666666664,2641
39.25,2637
39.333333333333336,2642
39.416666666666664,2647
39.5,2641
39.583333333333336,2647
39.666666666666664,2643
39.75,2644
39.833333333333336,2647
39.916666666666664,2646
40,2644
40.083333333333336,2646
40.166666666666664,2648
40.25,2654
40.333333333333336,2648
40.416666666666664,2649
40.5,2645
40.583333333333336,2645
40.666666666666664,2648
40.75,2649
40.833333333333336,2651
40.916666666666664,2652
41,2645
41.083333333333336,2651
41.166666666666664,2655
41.25,2656
41.333333333333336,2657
41.416666666666664,2658
41.5,2653
41.583333333333336,2655
41.666666666666664,2651
41.75,2655
41.833333333333336,2653
41.916666666666664,2657
42,2651
42.083333333333336,2649
42.166666666666664,2658
42.25,2654
42.333333333333336,2656
42.416666666666664,2656
42.5,2657
42.583333333333336,2657
42.666666666666664,2653
42.75,2657
42.833333333333336,2657
42.916666666666664,2657
43,2653
43.083333333333336,2659
43.166666666666664,2658
43.25,2660
43.333333333333336,2660
43.416666666666664,2658
43.5,2666
43.583333333333336,2659
43.666666666666664,2661
43.75,2659
43.833333333333336,2666
43.916666666666664,2662
44,2668
44.083333333333336,2664
44.166666666666664,2658
44.25,2667
44.333333333333336,2657
44.416666666666664,2667
44.5,2660
44.583333333333336,2666
44.666666666666664,2657
44.75,2664
44.833333333333336,2661
44.916666666666664,2669
45,2668
45.083333333333336,2663
45.166666666666664,2663
45.25,2666
45.333333333333336,2661
45.416666666666664,2668
45.5,2671
45.583333333333336,2667
45.666666666666664,2667
45.75,2669
45.833333333333336,2665
45.916666666666664,2664
46,2663
46.083333333333336,2671
46.166666666666664,2672
46.25,2667
46.333333333333336,2672
46.416666666666664,2672
46.5,2668
46.583333333333336,2668
46.666666666666664,2662
46.75,2667
46.833333333333336,2669
46.916666666666664,2667
47,2670
47.083333333333336,2664
47.166666666666664,2662
47.25,2668
47.333333333333336,2667
47.416666666666664,2671
47.5,2670
47.583333333333336,2669
47.666666666666664,2665
47.75,2670
47.833333333333336,2667
47.916666666666664,2671
