"Hours since thread went live","Ao no Exorcist Shimane Illuminati-hen • Blue Exorcist -Shimane Illuminati Saga- - Episode 11 discussion"
0,1
0.08333333333333333,0
0.16666666666666666,2
0.25,5
0.3333333333333333,4
0.4166666666666667,5
0.5,7
0.5833333333333334,9
0.6666666666666666,11
0.75,13
0.8333333333333334,14
0.9166666666666666,17
1,19
1.0833333333333333,19
1.1666666666666667,19
1.25,20
1.3333333333333333,23
1.4166666666666667,25
1.5,26
1.5833333333333333,27
1.6666666666666667,28
1.75,30
1.8333333333333333,31
1.9166666666666667,30
2,33
2.0833333333333335,37
2.1666666666666665,36
2.25,37
2.3333333333333335,38
2.4166666666666665,38
2.5,37
2.5833333333333335,38
2.6666666666666665,42
2.75,41
2.8333333333333335,43
2.9166666666666665,43
3,41
3.0833333333333335,43
3.1666666666666665,47
3.25,48
3.3333333333333335,50
3.4166666666666665,50
3.5,50
3.5833333333333335,54
3.6666666666666665,51
3.75,53
3.8333333333333335,54
3.9166666666666665,51
4,51
4.083333333333333,54
4.166666666666667,56
4.25,54
4.333333333333333,59
4.416666666666667,56
4.5,57
4.583333333333333,59
4.666666666666667,61
4.75,60
4.833333333333333,60
4.916666666666667,64
5,67
5.083333333333333,65
5.166666666666667,66
5.25,68
5.333333333333333,69
5.416666666666667,68
5.5,68
5.583333333333333,68
5.666666666666667,73
5.75,76
5.833333333333333,74
5.916666666666667,72
6,75
6.083333333333333,78
6.166666666666667,76
6.25,78
6.333333333333333,74
6.416666666666667,75
6.5,80
6.583333333333333,77
6.666666666666667,76
6.75,75
6.833333333333333,78
6.916666666666667,79
7,82
7.083333333333333,82
7.166666666666667,83
7.25,80
7.333333333333333,84
7.416666666666667,81
7.5,85
7.583333333333333,87
7.666666666666667,84
7.75,86
7.833333333333333,90
7.916666666666667,86
8,88
8.083333333333334,83
8.166666666666666,86
8.25,91
8.333333333333334,86
8.416666666666666,89
8.5,90
8.583333333333334,90
8.666666666666666,88
8.75,86
8.833333333333334,88
8.916666666666666,90
9,87
9.083333333333334,91
9.166666666666666,94
9.25,95
9.333333333333334,90
9.416666666666666,91
9.5,94
9.583333333333334,91
9.666666666666666,91
9.75,89
9.833333333333334,89
9.916666666666666,92
10,95
10.083333333333334,91
10.166666666666666,90
10.25,87
10.333333333333334,89
10.416666666666666,91
10.5,90
10.583333333333334,92
10.666666666666666,90
10.75,92
10.833333333333334,94
10.916666666666666,97
11,95
11.083333333333334,94
11.166666666666666,96
11.25,99
11.333333333333334,97
11.416666666666666,96
11.5,100
11.583333333333334,97
11.666666666666666,95
11.75,96
11.833333333333334,98
11.916666666666666,98
12,96
12.083333333333334,98
12.166666666666666,100
12.25,101
12.333333333333334,96
12.416666666666666,96
12.5,104
12.583333333333334,101
12.666666666666666,98
12.75,104
12.833333333333334,99
12.916666666666666,101
13,101
13.083333333333334,104
13.166666666666666,103
13.25,101
13.333333333333334,103
13.416666666666666,105
13.5,104
13.583333333333334,105
13.666666666666666,103
13.75,106
13.833333333333334,104
13.916666666666666,105
14,104
14.083333333333334,104
14.166666666666666,105
14.25,107
14.333333333333334,107
14.416666666666666,107
14.5,109
14.583333333333334,105
14.666666666666666,109
14.75,111
14.833333333333334,110
14.916666666666666,110
15,111
15.083333333333334,109
15.166666666666666,110
15.25,112
15.333333333333334,108
15.416666666666666,108
15.5,113
15.583333333333334,109
15.666666666666666,115
15.75,114
15.833333333333334,114
15.916666666666666,113
16,110
16.083333333333332,113
16.166666666666668,114
16.25,115
16.333333333333332,112
16.416666666666668,111
16.5,115
16.583333333333332,115
16.666666666666668,114
16.75,119
16.833333333333332,115
16.916666666666668,116
17,119
17.083333333333332,116
17.166666666666668,114
17.25,118
17.333333333333332,115
17.416666666666668,116
17.5,113
17.583333333333332,118
17.666666666666668,117
17.75,121
17.833333333333332,119
17.916666666666668,121
18,119
18.083333333333332,114
18.166666666666668,115
18.25,116
18.333333333333332,116
18.416666666666668,118
18.5,119
18.583333333333332,119
18.666666666666668,118
18.75,119
18.833333333333332,119
18.916666666666668,117
19,118
19.083333333333332,119
19.166666666666668,118
19.25,119
19.333333333333332,117
19.416666666666668,119
19.5,120
19.583333333333332,118
19.666666666666668,120
19.75,120
19.833333333333332,117
19.916666666666668,122
20,117
20.083333333333332,117
20.166666666666668,119
20.25,117
20.333333333333332,122
20.416666666666668,125
20.5,125
20.583333333333332,122
20.666666666666668,121
20.75,122
20.833333333333332,125
20.916666666666668,122
21,127
21.083333333333332,124
21.166666666666668,119
21.25,121
21.333333333333332,123
21.416666666666668,124
21.5,121
21.583333333333332,121
21.666666666666668,122
21.75,119
21.833333333333332,124
21.916666666666668,124
22,121
22.083333333333332,122
22.166666666666668,120
22.25,120
22.333333333333332,122
22.416666666666668,120
22.5,125
22.583333333333332,121
22.666666666666668,122
22.75,125
22.833333333333332,119
22.916666666666668,121
23,119
23.083333333333332,123
23.166666666666668,125
23.25,120
23.333333333333332,123
23.416666666666668,121
23.5,123
23.583333333333332,122
23.666666666666668,123
23.75,122
23.833333333333332,124
23.916666666666668,123
24,125
24.083333333333332,123
24.166666666666668,124
24.25,125
24.333333333333332,120
24.416666666666668,127
24.5,124
24.583333333333332,127
24.666666666666668,126
24.75,127
24.833333333333332,125
24.916666666666668,129
25,127
25.083333333333332,125
25.166666666666668,125
25.25,122
25.333333333333332,124
25.416666666666668,124
25.5,124
25.583333333333332,123
25.666666666666668,125
25.75,127
25.833333333333332,126
25.916666666666668,129
26,130
26.083333333333332,130
26.166666666666668,131
26.25,125
26.333333333333332,126
26.416666666666668,129
26.5,128
26.583333333333332,128
26.666666666666668,128
26.75,130
26.833333333333332,131
26.916666666666668,126
27,125
27.083333333333332,131
27.166666666666668,128
27.25,128
27.333333333333332,133
27.416666666666668,128
27.5,129
27.583333333333332,128
27.666666666666668,128
27.75,128
27.833333333333332,130
27.916666666666668,129
28,126
28.083333333333332,132
28.166666666666668,128
28.25,126
28.333333333333332,130
28.416666666666668,130
28.5,126
28.583333333333332,130
28.666666666666668,132
28.75,132
28.833333333333332,129
28.916666666666668,125
29,129
29.083333333333332,130
29.166666666666668,125
29.25,130
29.333333333333332,125
29.416666666666668,128
29.5,128
29.583333333333332,125
29.666666666666668,127
29.75,125
29.833333333333332,128
29.916666666666668,134
30,128
30.083333333333332,128
30.166666666666668,132
30.25,133
30.333333333333332,128
30.416666666666668,133
30.5,136
30.583333333333332,133
30.666666666666668,131
30.75,135
30.833333333333332,129
30.916666666666668,132
31,134
31.083333333333332,132
31.166666666666668,134
31.25,129
31.333333333333332,132
31.416666666666668,129
31.5,133
31.583333333333332,129
31.666666666666668,135
31.75,129
31.833333333333332,132
31.916666666666668,134
32,135
32.083333333333336,130
32.166666666666664,134
32.25,130
32.333333333333336,131
32.416666666666664,133
32.5,133
32.583333333333336,133
32.666666666666664,132
32.75,129
32.833333333333336,135
32.916666666666664,132
33,137
33.083333333333336,135
33.166666666666664,133
33.25,131
33.333333333333336,134
33.416666666666664,129
33.5,130
33.583333333333336,132
33.666666666666664,133
33.75,131
33.833333333333336,129
33.916666666666664,137
34,130
34.083333333333336,130
34.166666666666664,134
34.25,134
34.333333333333336,134
34.416666666666664,133
34.5,135
34.583333333333336,134
34.666666666666664,133
34.75,133
34.833333333333336,133
34.916666666666664,135
35,132
35.083333333333336,134
35.166666666666664,137
35.25,132
35.333333333333336,137
35.416666666666664,136
35.5,135
35.583333333333336,135
35.666666666666664,134
35.75,137
35.833333333333336,135
35.916666666666664,135
36,134
36.083333333333336,135
36.166666666666664,137
36.25,138
36.333333333333336,135
36.416666666666664,134
36.5,133
36.583333333333336,135
36.666666666666664,134
36.75,137
36.833333333333336,134
36.916666666666664,137
37,137
37.083333333333336,135
37.166666666666664,136
37.25,138
37.333333333333336,137
37.416666666666664,138
37.5,135
37.583333333333336,140
37.666666666666664,136
37.75,138
37.833333333333336,132
37.916666666666664,139
38,137
38.083333333333336,136
38.166666666666664,136
38.25,137
38.333333333333336,136
38.416666666666664,137
38.5,139
38.583333333333336,139
38.666666666666664,134
38.75,134
38.833333333333336,135
38.916666666666664,136
39,136
39.083333333333336,140
39.166666666666664,135
39.25,136
39.333333333333336,136
39.416666666666664,139
39.5,133
39.583333333333336,133
39.666666666666664,136
39.75,141
39.833333333333336,139
39.916666666666664,135
40,134
40.083333333333336,134
40.166666666666664,136
40.25,136
40.333333333333336,135
40.416666666666664,136
40.5,136
40.583333333333336,139
40.666666666666664,134
40.75,138
40.833333333333336,138
40.916666666666664,140
41,138
41.083333333333336,140
41.166666666666664,139
41.25,141
41.333333333333336,137
41.416666666666664,136
41.5,137
41.583333333333336,139
41.666666666666664,135
41.75,137
41.833333333333336,136
41.916666666666664,134
42,136
42.083333333333336,137
42.166666666666664,133
42.25,140
42.333333333333336,137
42.416666666666664,136
42.5,139
42.583333333333336,137
42.666666666666664,137
42.75,139
42.833333333333336,134
42.916666666666664,136
43,137
43.083333333333336,137
43.166666666666664,140
43.25,136
43.333333333333336,135
43.416666666666664,134
43.5,139
43.583333333333336,138
43.666666666666664,137
43.75,138
43.833333333333336,138
43.916666666666664,138
44,133
44.083333333333336,140
44.166666666666664,134
44.25,136
44.333333333333336,134
44.416666666666664,138
44.5,136
44.583333333333336,135
44.666666666666664,134
44.75,139
44.833333333333336,140
44.916666666666664,137
45,136
45.083333333333336,138
45.166666666666664,137
45.25,133
45.333333333333336,140
45.416666666666664,135
45.5,136
45.583333333333336,134
45.666666666666664,138
45.75,135
45.833333333333336,138
45.916666666666664,138
46,134
46.083333333333336,137
46.166666666666664,139
46.25,135
46.333333333333336,135
46.416666666666664,140
46.5,140
46.583333333333336,137
46.666666666666664,139
46.75,137
46.833333333333336,136
46.916666666666664,136
47,136
47.083333333333336,137
47.166666666666664,138
47.25,138
47.333333333333336,142
47.416666666666664,141
47.5,138
47.583333333333336,140
47.666666666666664,137
47.75,138
47.833333333333336,134
47.916666666666664,134
