"Hours since thread went live","Ishura - Episode 9 discussion"
39.333333333333336,279
39.416666666666664,277
39.5,279
39.583333333333336,276
39.666666666666664,281
39.75,275
39.833333333333336,277
39.916666666666664,275
40,279
40.083333333333336,277
40.166666666666664,279
40.25,278
40.333333333333336,278
40.416666666666664,278
40.5,274
40.583333333333336,282
40.666666666666664,277
40.75,278
40.833333333333336,278
40.916666666666664,281
41,279
41.083333333333336,279
41.166666666666664,275
41.25,280
41.333333333333336,276
41.416666666666664,279
41.5,278
41.583333333333336,279
41.666666666666664,275
41.75,281
41.833333333333336,280
41.916666666666664,279
42,282
42.083333333333336,278
42.166666666666664,275
42.25,280
42.333333333333336,279
42.416666666666664,281
42.5,279
42.583333333333336,276
42.666666666666664,282
42.75,279
42.833333333333336,275
42.916666666666664,276
43,281
43.083333333333336,279
43.166666666666664,277
43.25,277
43.333333333333336,281
43.416666666666664,279
43.5,280
43.583333333333336,280
43.666666666666664,281
43.75,276
43.833333333333336,279
43.916666666666664,281
44,279
44.083333333333336,279
44.166666666666664,280
44.25,284
44.333333333333336,281
44.416666666666664,280
44.5,283
44.583333333333336,284
44.666666666666664,280
44.75,277
44.833333333333336,281
44.916666666666664,279
45,279
45.083333333333336,279
45.166666666666664,279
45.25,283
45.333333333333336,281
45.416666666666664,277
45.5,277
45.583333333333336,283
45.666666666666664,280
45.75,281
45.833333333333336,283
45.916666666666664,280
46,279
46.083333333333336,276
46.166666666666664,279
46.25,280
46.333333333333336,284
46.416666666666664,282
46.5,277
46.583333333333336,281
46.666666666666664,281
46.75,278
46.833333333333336,279
46.916666666666664,278
47,283
47.083333333333336,279
47.166666666666664,278
47.25,277
47.333333333333336,277
47.416666666666664,282
47.5,280
47.583333333333336,276
47.666666666666664,280
47.75,280
47.833333333333336,276
47.916666666666664,282
