"Hours since thread went live","Kaijuu 8-gou • Kaiju No. 8 - Episode 5 discussion"
0,2
0,7
0.08333333333333333,11
0.16666666666666666,16
0.25,27
0.3333333333333333,34
0.4166666666666667,39
0.5,47
0.5833333333333334,63
0.6666666666666666,75
0.75,92
0.8333333333333334,109
0.9166666666666666,130
1,144
1.0833333333333333,157
1.1666666666666667,171
1.25,185
1.3333333333333333,203
1.4166666666666667,219
1.5,234
1.5833333333333333,255
1.6666666666666667,273
1.75,287
1.8333333333333333,300
1.9166666666666667,309
2,322
2.0833333333333335,341
2.1666666666666665,354
2.25,365
2.3333333333333335,393
2.4166666666666665,400
2.5,414
2.5833333333333335,436
2.6666666666666665,454
2.75,469
2.8333333333333335,478
2.9166666666666665,494
3,514
3.0833333333333335,530
3.1666666666666665,536
3.25,549
3.3333333333333335,566
3.4166666666666665,581
3.5,596
3.5833333333333335,599
3.6666666666666665,606
3.75,617
3.8333333333333335,626
3.9166666666666665,639
4,653
4.083333333333333,660
4.166666666666667,670
4.25,688
4.333333333333333,706
4.416666666666667,719
4.5,726
4.583333333333333,745
4.666666666666667,758
4.75,767
4.833333333333333,781
4.916666666666667,781
5,798
5.083333333333333,805
5.166666666666667,817
5.25,817
5.333333333333333,834
5.416666666666667,839
5.5,854
5.583333333333333,868
5.666666666666667,883
5.75,898
5.833333333333333,905
5.916666666666667,918
6,929
6.083333333333333,938
6.166666666666667,946
6.25,961
6.333333333333333,962
6.416666666666667,974
6.5,979
6.583333333333333,986
6.666666666666667,1000
6.75,1002
6.833333333333333,1010
6.916666666666667,1015
7,1026
7.083333333333333,1026
7.166666666666667,1042
7.25,1049
7.333333333333333,1054
7.416666666666667,1060
7.5,1073
7.583333333333333,1079
7.666666666666667,1075
7.75,1091
7.833333333333333,1095
7.916666666666667,1111
8,1113
8.083333333333334,1118
8.166666666666666,1129
8.25,1137
8.333333333333334,1139
8.416666666666666,1145
8.5,1148
8.583333333333334,1157
8.666666666666666,1166
8.75,1175
8.833333333333334,1178
8.916666666666666,1186
9,1193
9.083333333333334,1205
9.166666666666666,1205
9.25,1217
9.333333333333334,1215
9.416666666666666,1228
9.5,1232
9.583333333333334,1237
9.666666666666666,1247
9.75,1256
9.833333333333334,1254
9.916666666666666,1258
10,1272
10.083333333333334,1275
10.166666666666666,1281
10.25,1275
10.333333333333334,1288
10.416666666666666,1292
10.5,1302
10.583333333333334,1306
10.666666666666666,1300
10.75,1313
10.833333333333334,1313
10.916666666666666,1321
11,1330
11.083333333333334,1333
11.166666666666666,1327
11.25,1344
11.333333333333334,1345
11.416666666666666,1350
11.5,1351
11.583333333333334,1359
11.666666666666666,1361
11.75,1370
11.833333333333334,1375
11.916666666666666,1379
12,1382
12.083333333333334,1385
12.166666666666666,1387
12.25,1396
12.333333333333334,1395
12.416666666666666,1404
12.5,1409
12.583333333333334,1411
12.666666666666666,1419
12.75,1421
12.833333333333334,1425
12.916666666666666,1427
13,1435
13.083333333333334,1436
13.166666666666666,1441
13.25,1443
13.333333333333334,1442
13.416666666666666,1455
13.5,1451
13.583333333333334,1462
13.666666666666666,1465
13.75,1467
13.833333333333334,1477
13.916666666666666,1475
14,1484
14.083333333333334,1485
14.166666666666666,1493
14.25,1486
14.333333333333334,1490
14.416666666666666,1500
14.5,1494
14.583333333333334,1499
14.666666666666666,1502
14.75,1500
14.833333333333334,1511
14.916666666666666,1514
15,1517
15.083333333333334,1521
15.166666666666666,1521
15.25,1523
15.333333333333334,1523
15.416666666666666,1529
15.5,1532
15.583333333333334,1542
15.666666666666666,1542
15.75,1548
15.833333333333334,1559
