"Hours since thread went live","Kekkon Yubiwa Monogatari • Tales of Wedding Rings - Episode 10 discussion"
0,0
0,0
0.08333333333333333,0
0.16666666666666666,0
0.25,0
0.3333333333333333,2
0.4166666666666667,2
0.5,3
0.5833333333333334,5
0.6666666666666666,5
0.75,6
0.8333333333333334,6
0.9166666666666666,6
1,5
1.0833333333333333,8
1.1666666666666667,7
1.25,9
1.3333333333333333,12
1.4166666666666667,15
1.5,17
1.5833333333333333,18
1.6666666666666667,21
1.75,24
1.8333333333333333,29
1.9166666666666667,31
2,29
2.0833333333333335,32
2.1666666666666665,32
2.25,31
2.3333333333333335,35
2.4166666666666665,37
2.5,39
2.5833333333333335,38
2.6666666666666665,43
2.75,42
2.8333333333333335,45
2.9166666666666665,51
3,52
3.0833333333333335,54
3.1666666666666665,55
3.25,58
3.3333333333333335,59
3.4166666666666665,62
3.5,62
3.5833333333333335,62
3.6666666666666665,64
3.75,68
3.8333333333333335,67
3.9166666666666665,72
4,76
4.083333333333333,74
4.166666666666667,76
4.25,78
4.333333333333333,81
4.416666666666667,78
4.5,77
4.583333333333333,84
4.666666666666667,79
4.75,82
4.833333333333333,78
4.916666666666667,79
5,79
5.083333333333333,79
5.166666666666667,82
5.25,84
5.333333333333333,90
5.416666666666667,87
5.5,90
5.583333333333333,93
5.666666666666667,93
5.75,93
5.833333333333333,94
5.916666666666667,91
6,97
6.083333333333333,95
6.166666666666667,94
6.25,93
6.333333333333333,97
6.416666666666667,95
6.5,97
6.583333333333333,96
6.666666666666667,97
6.75,97
6.833333333333333,100
6.916666666666667,102
7,100
7.083333333333333,102
7.166666666666667,101
7.25,107
7.333333333333333,109
7.416666666666667,106
7.5,108
7.583333333333333,110
7.666666666666667,108
7.75,109
7.833333333333333,105
7.916666666666667,110
8,114
8.083333333333334,110
8.166666666666666,112
8.25,113
8.333333333333334,116
8.416666666666666,113
8.5,114
8.583333333333334,116
8.666666666666666,119
8.75,113
8.833333333333334,116
8.916666666666666,117
9,116
9.083333333333334,120
9.166666666666666,120
9.25,122
9.333333333333334,125
9.416666666666666,127
9.5,123
9.583333333333334,126
9.666666666666666,125
9.75,127
9.833333333333334,126
9.916666666666666,125
10,126
10.083333333333334,126
10.166666666666666,130
10.25,129
10.333333333333334,128
10.416666666666666,124
10.5,129
10.583333333333334,125
10.666666666666666,128
10.75,131
10.833333333333334,126
10.916666666666666,128
11,132
11.083333333333334,129
11.166666666666666,132
11.25,131
11.333333333333334,132
11.416666666666666,135
11.5,133
11.583333333333334,133
11.666666666666666,136
11.75,133
11.833333333333334,134
11.916666666666666,132
12,135
12.083333333333334,135
12.166666666666666,137
12.25,132
12.333333333333334,138
