"Hours since thread went live","Tonari no Youkai-san - Episode 9 discussion"
0,1
0.08333333333333333,4
0.16666666666666666,5
0.25,8
0.3333333333333333,11
0.4166666666666667,13
0.5,16
0.5833333333333334,17
0.6666666666666666,18
0.75,18
0.8333333333333334,21
0.9166666666666666,21
1,22
1.0833333333333333,25
1.1666666666666667,27
1.25,31
1.3333333333333333,31
1.4166666666666667,32
1.5,32
1.5833333333333333,31
1.6666666666666667,33
1.75,31
1.8333333333333333,34
1.9166666666666667,32
2,33
2.0833333333333335,33
2.1666666666666665,35
2.25,37
2.3333333333333335,39
2.4166666666666665,42
2.5,45
2.5833333333333335,46
2.6666666666666665,46
2.75,46
2.8333333333333335,46
2.9166666666666665,46
3,50
3.0833333333333335,47
3.1666666666666665,47
3.25,51
3.3333333333333335,50
3.4166666666666665,47
3.5,53
3.5833333333333335,56
3.6666666666666665,61
3.75,55
3.8333333333333335,58
3.9166666666666665,64
4,62
4.083333333333333,63
4.166666666666667,65
4.25,61
4.333333333333333,63
4.416666666666667,67
4.5,68
4.583333333333333,66
4.666666666666667,68
4.75,70
4.833333333333333,72
4.916666666666667,69
5,71
5.083333333333333,69
5.166666666666667,69
5.25,71
5.333333333333333,73
5.416666666666667,75
5.5,75
5.583333333333333,72
5.666666666666667,75
5.75,71
5.833333333333333,75
5.916666666666667,73
6,72
6.083333333333333,70
6.166666666666667,75
6.25,75
6.333333333333333,75
6.416666666666667,76
6.5,76
6.583333333333333,74
6.666666666666667,75
6.75,78
6.833333333333333,74
6.916666666666667,72
7,76
7.083333333333333,75
7.166666666666667,75
7.25,80
7.333333333333333,80
7.416666666666667,78
7.5,80
7.583333333333333,81
7.666666666666667,80
7.75,83
7.833333333333333,83
7.916666666666667,80
8,83
8.083333333333334,82
8.166666666666666,80
8.25,84
8.333333333333334,86
8.416666666666666,85
8.5,84
8.583333333333334,86
8.666666666666666,91
8.75,90
8.833333333333334,91
8.916666666666666,93
9,90
9.083333333333334,92
9.166666666666666,93
9.25,88
9.333333333333334,89
9.416666666666666,94
9.5,92
9.583333333333334,93
9.666666666666666,92
9.75,97
9.833333333333334,89
9.916666666666666,90
10,90
10.083333333333334,94
10.166666666666666,92
10.25,94
10.333333333333334,90
10.416666666666666,96
10.5,95
10.583333333333334,92
10.666666666666666,94
10.75,93
10.833333333333334,98
10.916666666666666,94
11,92
11.083333333333334,91
11.166666666666666,94
11.25,96
11.333333333333334,95
11.416666666666666,96
11.5,95
11.583333333333334,95
11.666666666666666,99
11.75,98
11.833333333333334,95
11.916666666666666,99
12,96
12.083333333333334,97
12.166666666666666,98
12.25,101
12.333333333333334,101
12.416666666666666,99
