"Hours since thread went live","Spy x Family Season 2 - Episode 8 discussion"
0,1
0.08333333333333333,4
0.16666666666666666,15
0.25,26
0.3333333333333333,40
0.4166666666666667,51
0.5,66
0.5833333333333334,72
0.6666666666666666,94
0.75,112
0.8333333333333334,133
0.9166666666666666,148
1,164
1.0833333333333333,182
1.1666666666666667,195
1.25,208
1.3333333333333333,223
1.4166666666666667,239
1.5,254
1.5833333333333333,264
1.6666666666666667,284
1.75,300
1.8333333333333333,318
1.9166666666666667,332
2,350
2.0833333333333335,364
2.1666666666666665,385
2.25,405
2.3333333333333335,423
2.4166666666666665,442
2.5,469
2.5833333333333335,486
2.6666666666666665,501
2.75,529
2.8333333333333335,542
2.9166666666666665,557
3,568
3.0833333333333335,576
3.1666666666666665,588
3.25,607
3.3333333333333335,630
3.4166666666666665,631
3.5,650
3.5833333333333335,667
3.6666666666666665,675
3.75,695
3.8333333333333335,699
3.9166666666666665,717
4,742
4.083333333333333,753
4.166666666666667,762
4.25,780
4.333333333333333,791
4.416666666666667,803
4.5,816
4.583333333333333,824
4.666666666666667,846
4.75,861
4.833333333333333,869
4.916666666666667,877
5,894
5.083333333333333,902
5.166666666666667,920
5.25,934
5.333333333333333,953
5.416666666666667,965
5.5,975
5.583333333333333,989
5.666666666666667,994
5.75,1005
5.833333333333333,1017
5.916666666666667,1024
6,1038
6.083333333333333,1044
6.166666666666667,1051
6.25,1059
6.333333333333333,1081
6.416666666666667,1091
6.5,1098
6.583333333333333,1112
6.666666666666667,1123
6.75,1128
6.833333333333333,1133
6.916666666666667,1145
7,1153
7.083333333333333,1154
7.166666666666667,1160
7.25,1170
7.333333333333333,1177
7.416666666666667,1184
7.5,1191
7.583333333333333,1195
7.666666666666667,1211
7.75,1211
7.833333333333333,1224
7.916666666666667,1226
8,1233
8.083333333333334,1243
8.166666666666666,1255
8.25,1262
8.333333333333334,1267
8.416666666666666,1278
8.5,1285
8.583333333333334,1298
8.666666666666666,1300
8.75,1309
8.833333333333334,1320
8.916666666666666,1322
9,1334
9.083333333333334,1335
9.166666666666666,1345
9.25,1355
9.333333333333334,1354
9.416666666666666,1369
9.5,1379
9.583333333333334,1381
9.666666666666666,1380
9.75,1386
9.833333333333334,1399
9.916666666666666,1411
10,1415
10.083333333333334,1422
10.166666666666666,1433
10.25,1433
10.333333333333334,1440
10.416666666666666,1444
10.5,1449
10.583333333333334,1459
10.666666666666666,1457
10.75,1461
10.833333333333334,1467
10.916666666666666,1471
11,1477
11.083333333333334,1485
11.166666666666666,1487
11.25,1493
11.333333333333334,1489
11.416666666666666,1507
11.5,1513
11.583333333333334,1515
11.666666666666666,1518
