"Hours since thread went live","The New Gate - Episode 3 discussion"
26.75,255
26.833333333333332,253
26.916666666666668,251
27,254
27.083333333333332,258
27.166666666666668,253
27.25,256
27.333333333333332,254
27.416666666666668,256
27.5,256
27.583333333333332,254
27.666666666666668,259
27.75,257
27.833333333333332,255
27.916666666666668,255
28,257
28.083333333333332,259
28.166666666666668,258
28.25,256
28.333333333333332,258
28.416666666666668,255
28.5,256
28.583333333333332,252
28.666666666666668,259
28.75,256
28.833333333333332,258
28.916666666666668,253
29,257
29.083333333333332,256
29.166666666666668,256
29.25,252
29.333333333333332,258
29.416666666666668,255
29.5,255
29.583333333333332,255
29.666666666666668,253
29.75,256
29.833333333333332,259
29.916666666666668,254
30,257
30.083333333333332,257
30.166666666666668,255
30.25,254
30.333333333333332,255
30.416666666666668,259
30.5,255
30.583333333333332,254
30.666666666666668,258
30.75,256
30.833333333333332,254
30.916666666666668,258
31,259
31.083333333333332,259
31.166666666666668,261
31.25,261
31.333333333333332,260
31.416666666666668,261
31.5,259
31.583333333333332,262
31.666666666666668,261
31.75,261
31.833333333333332,264
31.916666666666668,262
32,259
32.083333333333336,260
32.166666666666664,261
32.25,262
32.333333333333336,262
32.416666666666664,257
32.5,261
32.583333333333336,258
32.666666666666664,261
32.75,262
32.833333333333336,263
32.916666666666664,258
33,258
33.083333333333336,264
33.166666666666664,259
33.25,260
33.333333333333336,260
33.416666666666664,260
33.5,263
33.583333333333336,263
33.666666666666664,263
33.75,262
33.833333333333336,261
33.916666666666664,260
34,264
34.083333333333336,261
34.166666666666664,258
34.25,262
34.333333333333336,263
34.416666666666664,259
34.5,262
34.583333333333336,264
34.666666666666664,265
34.75,263
34.833333333333336,259
34.916666666666664,259
35,259
35.083333333333336,262
35.166666666666664,261
35.25,260
35.333333333333336,264
35.416666666666664,265
35.5,264
35.583333333333336,263
35.666666666666664,263
35.75,261
35.833333333333336,265
35.916666666666664,263
36,265
36.083333333333336,266
36.166666666666664,261
36.25,266
36.333333333333336,260
36.416666666666664,263
36.5,266
36.583333333333336,262
36.666666666666664,265
36.75,262
36.833333333333336,261
36.916666666666664,262
37,262
37.083333333333336,260
37.166666666666664,266
37.25,267
37.333333333333336,263
37.416666666666664,264
37.5,265
37.583333333333336,264
37.666666666666664,264
37.75,262
37.833333333333336,264
37.916666666666664,266
38,262
38.083333333333336,264
38.166666666666664,262
38.25,261
38.333333333333336,265
38.416666666666664,267
38.5,261
38.583333333333336,260
38.666666666666664,263
38.75,267
38.833333333333336,265
38.916666666666664,260
39,265
39.083333333333336,262
39.166666666666664,263
39.25,267
39.333333333333336,261
39.416666666666664,264
39.5,263
39.583333333333336,263
39.666666666666664,263
39.75,265
39.833333333333336,263
39.916666666666664,266
40,263
40.083333333333336,263
40.166666666666664,267
40.25,263
40.333333333333336,263
40.416666666666664,260
40.5,268
40.583333333333336,263
40.666666666666664,263
40.75,265
40.833333333333336,266
40.916666666666664,264
41,262
41.083333333333336,267
41.166666666666664,262
41.25,267
41.333333333333336,263
41.416666666666664,262
41.5,267
41.583333333333336,268
41.666666666666664,265
41.75,268
41.833333333333336,263
41.916666666666664,267
42,261
42.083333333333336,266
42.166666666666664,261
42.25,265
42.333333333333336,262
42.416666666666664,261
42.5,267
42.583333333333336,263
42.666666666666664,266
42.75,262
42.833333333333336,268
42.916666666666664,264
43,264
43.083333333333336,267
43.166666666666664,262
43.25,265
43.333333333333336,265
43.416666666666664,266
43.5,266
43.583333333333336,266
43.666666666666664,265
43.75,263
43.833333333333336,264
43.916666666666664,262
44,265
44.083333333333336,263
44.166666666666664,265
44.25,266
44.333333333333336,268
44.416666666666664,267
44.5,270
44.583333333333336,262
44.666666666666664,263
44.75,266
44.833333333333336,267
44.916666666666664,263
45,269
45.083333333333336,262
45.166666666666664,266
45.25,265
45.333333333333336,269
45.416666666666664,265
45.5,263
45.583333333333336,268
45.666666666666664,263
45.75,265
45.833333333333336,267
45.916666666666664,268
46,269
46.083333333333336,265
46.166666666666664,267
46.25,264
46.333333333333336,266
46.416666666666664,266
46.5,264
46.583333333333336,263
46.666666666666664,265
46.75,264
46.833333333333336,266
46.916666666666664,264
47,262
47.083333333333336,265
47.166666666666664,268
47.25,268
47.333333333333336,265
47.416666666666664,264
47.5,264
47.583333333333336,266
47.666666666666664,264
47.75,263
47.833333333333336,265
47.916666666666664,270
