"Hours since thread went live","Kage no Jitsuryokusha ni Naritakute! Season 2 • The Eminence in Shadow Season 2 - Episode 11 discussion"
0,1
0,4
0.08333333333333333,12
0.16666666666666666,17
0.25,20
0.3333333333333333,22
0.4166666666666667,39
0.5,50
0.5833333333333334,60
0.6666666666666666,77
0.75,89
0.8333333333333334,100
0.9166666666666666,120
1,137
1.0833333333333333,146
1.1666666666666667,173
1.25,200
1.3333333333333333,209
1.4166666666666667,232
1.5,257
1.5833333333333333,270
1.6666666666666667,300
1.75,321
1.8333333333333333,343
1.9166666666666667,358
2,382
2.0833333333333335,402
2.1666666666666665,433
2.25,447
2.3333333333333335,464
2.4166666666666665,486
2.5,502
2.5833333333333335,521
2.6666666666666665,537
2.75,555
2.8333333333333335,567
2.9166666666666665,588
3,599
3.0833333333333335,624
3.1666666666666665,643
3.25,657
3.3333333333333335,677
3.4166666666666665,695
3.5,716
3.5833333333333335,724
3.6666666666666665,739
3.75,756
3.8333333333333335,771
3.9166666666666665,799
4,819
4.083333333333333,842
4.166666666666667,860
4.25,881
4.333333333333333,897
4.416666666666667,916
4.5,919
4.583333333333333,935
4.666666666666667,946
4.75,968
4.833333333333333,976
4.916666666666667,987
5,1001
5.083333333333333,1014
5.166666666666667,1022
5.25,1055
5.333333333333333,1072
5.416666666666667,1089
5.5,1110
5.583333333333333,1135
5.666666666666667,1157
5.75,1185
5.833333333333333,1198
5.916666666666667,1211
6,1226
6.083333333333333,1234
6.166666666666667,1249
6.25,1261
6.333333333333333,1279
6.416666666666667,1293
6.5,1305
6.583333333333333,1316
6.666666666666667,1327
6.75,1342
6.833333333333333,1353
6.916666666666667,1356
7,1369
7.083333333333333,1385
7.166666666666667,1393
7.25,1402
7.333333333333333,1404
7.416666666666667,1415
7.5,1423
7.583333333333333,1427
7.666666666666667,1431
7.75,1434
7.833333333333333,1447
7.916666666666667,1455
8,1467
8.083333333333334,1475
8.166666666666666,1489
8.25,1491
8.333333333333334,1500
8.416666666666666,1502
8.5,1519
8.583333333333334,1521
8.666666666666666,1541
8.75,1541
8.833333333333334,1548
8.916666666666666,1571
9,1576
9.083333333333334,1584
9.166666666666666,1592
9.25,1607
9.333333333333334,1617
9.416666666666666,1631
9.5,1638
9.583333333333334,1641
9.666666666666666,1648
9.75,1655
9.833333333333334,1658
9.916666666666666,1669
10,1682
10.083333333333334,1685
10.166666666666666,1680
10.25,1695
10.333333333333334,1702
10.416666666666666,1714
10.5,1719
10.583333333333334,1720
10.666666666666666,1734
10.75,1735
10.833333333333334,1737
10.916666666666666,1746
11,1757
11.083333333333334,1768
11.166666666666666,1776
11.25,1781
11.333333333333334,1786
11.416666666666666,1790
11.5,1788
11.583333333333334,1802
11.666666666666666,1808
11.75,1816
11.833333333333334,1819
11.916666666666666,1822
12,1831
12.083333333333334,1833
12.166666666666666,1836
12.25,1847
12.333333333333334,1850
12.416666666666666,1865
12.5,1869
12.583333333333334,1881
12.666666666666666,1876
12.75,1884
12.833333333333334,1889
12.916666666666666,1903
13,1900
13.083333333333334,1907
13.166666666666666,1908
13.25,1924
13.333333333333334,1921
13.416666666666666,1929
13.5,1944
13.583333333333334,1946
13.666666666666666,1949
13.75,1960
13.833333333333334,1958
13.916666666666666,1966
14,1973
14.083333333333334,1973
14.166666666666666,1983
14.25,1988
14.333333333333334,1993
14.416666666666666,2002
14.5,2010
14.583333333333334,2013
14.666666666666666,2016
14.75,2025
14.833333333333334,2031
14.916666666666666,2033
15,2034
15.083333333333334,2042
15.166666666666666,2037
15.25,2040
15.333333333333334,2042
15.416666666666666,2046
15.5,2049
15.583333333333334,2055
15.666666666666666,2065
15.75,2066
15.833333333333334,2066
15.916666666666666,2071
16,2071
16.083333333333332,2076
16.166666666666668,2078
16.25,2083
16.333333333333332,2092
16.416666666666668,2087
16.5,2098
16.583333333333332,2104
16.666666666666668,2104
16.75,2106
16.833333333333332,2113
16.916666666666668,2118
17,2120
17.083333333333332,2123
17.166666666666668,2118
17.25,2128
17.333333333333332,2130
17.416666666666668,2138
17.5,2143
17.583333333333332,2148
17.666666666666668,2156
17.75,2154
17.833333333333332,2160
17.916666666666668,2151
18,2157
18.083333333333332,2162
18.166666666666668,2166
18.25,2169
18.333333333333332,2174
18.416666666666668,2172
18.5,2169
18.583333333333332,2177
18.666666666666668,2180
18.75,2185
18.833333333333332,2189
18.916666666666668,2187
19,2196
19.083333333333332,2194
19.166666666666668,2206
19.25,2205
19.333333333333332,2207
19.416666666666668,2202
19.5,2210
19.583333333333332,2210
19.666666666666668,2214
19.75,2214
19.833333333333332,2222
19.916666666666668,2220
20,2219
20.083333333333332,2221
20.166666666666668,2219
20.25,2225
20.333333333333332,2231
20.416666666666668,2230
20.5,2230
20.583333333333332,2233
20.666666666666668,2241
20.75,2233
20.833333333333332,2233
20.916666666666668,2239
21,2247
21.083333333333332,2243
21.166666666666668,2246
21.25,2245
