"Hours since thread went live","Jujutsu Kaisen - Episode 19 discussion"
0,1
0,27
0.08333333333333333,81
0.16666666666666666,121
0.25,181
0.3333333333333333,258
0.4166666666666667,346
0.5,431
0.5833333333333334,551
0.6666666666666666,686
0.75,809
0.8333333333333334,959
0.9166666666666666,1117
1,1259
1.0833333333333333,1402
1.1666666666666667,1537
1.25,1655
1.3333333333333333,1770
1.4166666666666667,1895
1.5,2041
1.5833333333333333,2160
1.6666666666666667,2274
1.75,2394
1.8333333333333333,2489
1.9166666666666667,2584
2,2669
2.0833333333333335,2761
2.1666666666666665,2853
2.25,2927
2.3333333333333335,3016
2.4166666666666665,3097
2.5,3194
2.5833333333333335,3271
2.6666666666666665,3360
2.75,3444
2.8333333333333335,3530
2.9166666666666665,3622
3,3694
3.0833333333333335,3785
3.1666666666666665,3861
3.25,3956
3.3333333333333335,4045
3.4166666666666665,4131
3.5,4211
3.5833333333333335,4298
3.6666666666666665,4373
3.75,4450
3.8333333333333335,4519
3.9166666666666665,4546
4,4618
4.083333333333333,4730
4.166666666666667,4802
4.25,4872
4.333333333333333,4938
4.416666666666667,5006
4.5,5087
4.583333333333333,5153
4.666666666666667,5207
4.75,5267
4.833333333333333,5343
4.916666666666667,5414
5,5466
5.083333333333333,5535
5.166666666666667,5604
5.25,5669
5.333333333333333,5730
5.416666666666667,5776
5.5,5846
5.583333333333333,5906
5.666666666666667,5967
5.75,6017
5.833333333333333,6072
5.916666666666667,6144
6,6195
6.083333333333333,6242
6.166666666666667,6289
6.25,6341
6.333333333333333,6395
6.416666666666667,6443
6.5,6491
6.583333333333333,6526
6.666666666666667,6580
6.75,6631
6.833333333333333,6678
6.916666666666667,6723
7,6775
7.083333333333333,6814
7.166666666666667,6874
7.25,6924
7.333333333333333,6969
7.416666666666667,6998
7.5,7062
7.583333333333333,7117
7.666666666666667,7163
7.75,7217
7.833333333333333,7242
7.916666666666667,7280
8,7324
8.083333333333334,7362
8.166666666666666,7392
8.25,7425
8.333333333333334,7477
8.416666666666666,7518
8.5,7558
8.583333333333334,7596
8.666666666666666,7623
8.75,7670
8.833333333333334,7701
8.916666666666666,7744
9,7782
9.083333333333334,7821
9.166666666666666,7863
9.25,7887
9.333333333333334,7937
9.416666666666666,7962
9.5,7994
9.583333333333334,8036
9.666666666666666,8071
9.75,8106
9.833333333333334,8146
9.916666666666666,8189
10,8219
10.083333333333334,8251
10.166666666666666,8294
10.25,8315
10.333333333333334,8355
10.416666666666666,8378
10.5,8408
10.583333333333334,8457
10.666666666666666,8479
10.75,8511
10.833333333333334,8546
10.916666666666666,8576
11,8606
11.083333333333334,8640
11.166666666666666,8664
11.25,8692
11.333333333333334,8730
11.416666666666666,8758
11.5,8799
11.583333333333334,8839
11.666666666666666,8856
11.75,8882
11.833333333333334,8910
11.916666666666666,8932
12,8957
12.083333333333334,8983
12.166666666666666,9002
12.25,9030
12.333333333333334,9058
12.416666666666666,9110
12.5,9122
12.583333333333334,9145
12.666666666666666,9178
12.75,9197
12.833333333333334,9215
12.916666666666666,9236
13,9272
13.083333333333334,9294
13.166666666666666,9316
13.25,9342
13.333333333333334,9363
13.416666666666666,9401
13.5,9425
13.583333333333334,9449
13.666666666666666,9471
13.75,9504
13.833333333333334,9528
13.916666666666666,9544
14,9585
14.083333333333334,9601
14.166666666666666,9626
14.25,9632
14.333333333333334,9661
14.416666666666666,9687
14.5,9714
14.583333333333334,9723
14.666666666666666,9747
14.75,9768
14.833333333333334,9785
14.916666666666666,9810
15,9836
15.083333333333334,9863
15.166666666666666,9874
15.25,9890
15.333333333333334,9919
15.416666666666666,9931
15.5,9958
15.583333333333334,9977
15.666666666666666,9992
15.75,10014
15.833333333333334,10032
15.916666666666666,10047
16,10074
16.083333333333332,10088
16.166666666666668,10107
16.25,10115
16.333333333333332,10131
16.416666666666668,10156
16.5,10168
16.583333333333332,10191
16.666666666666668,10204
16.75,10219
16.833333333333332,10221
16.916666666666668,10237
17,10257
17.083333333333332,10255
17.166666666666668,10265
17.25,10284
17.333333333333332,10290
17.416666666666668,10289
17.5,10298
17.583333333333332,10311
17.666666666666668,10310
17.75,10322
17.833333333333332,10334
17.916666666666668,10336
18,10341
18.083333333333332,10352
18.166666666666668,10361
18.25,10366
18.333333333333332,10373
18.416666666666668,10380
18.5,10390
18.583333333333332,10390
18.666666666666668,10399
18.75,10412
18.833333333333332,10413
18.916666666666668,10416
19,10415
19.083333333333332,10431
19.166666666666668,10427
19.25,10432
19.333333333333332,10445
19.416666666666668,10451
19.5,10464
19.583333333333332,10469
19.666666666666668,10474
19.75,10478
19.833333333333332,10491
19.916666666666668,10502
20,10517
20.083333333333332,10516
20.166666666666668,10527
20.25,10529
20.333333333333332,10535
20.416666666666668,10552
20.5,10555
20.583333333333332,10562
20.666666666666668,10564
20.75,10576
20.833333333333332,10586
20.916666666666668,10591
21,10599
21.083333333333332,10599
21.166666666666668,10616
21.25,10617
21.333333333333332,10614
21.416666666666668,10628
21.5,10630
21.583333333333332,10629
21.666666666666668,10647
21.75,10640
21.833333333333332,10649
21.916666666666668,10667
22,10673
22.083333333333332,10688
22.166666666666668,10689
22.25,10704
22.333333333333332,10702
22.416666666666668,10720
22.5,10724
22.583333333333332,10726
22.666666666666668,10728
22.75,10735
22.833333333333332,10748
22.916666666666668,10757
23,10766
23.083333333333332,10764
23.166666666666668,10783
23.25,10784
23.333333333333332,10796
23.416666666666668,10803
23.5,10806
23.583333333333332,10810
23.666666666666668,10820
23.75,10832
23.833333333333332,10831
23.916666666666668,10835
24,10847
24.083333333333332,10859
24.166666666666668,10859
24.25,10880
24.333333333333332,10886
24.416666666666668,10885
24.5,10907
24.583333333333332,10908
24.666666666666668,10917
24.75,10925
24.833333333333332,10930
24.916666666666668,10935
25,10942
25.083333333333332,10947
25.166666666666668,10953
25.25,10959
25.333333333333332,10973
25.416666666666668,10976
25.5,10984
25.583333333333332,10989
25.666666666666668,10997
25.75,11005
25.833333333333332,11007
25.916666666666668,11008
26,11010
26.083333333333332,11028
26.166666666666668,11026
26.25,11037
26.333333333333332,11041
26.416666666666668,11044
26.5,11050
26.583333333333332,11059
26.666666666666668,11073
26.75,11083
26.833333333333332,11077
26.916666666666668,11082
27,11092
27.083333333333332,11093
27.166666666666668,11103
27.25,11114
27.333333333333332,11111
27.416666666666668,11119
27.5,11126
27.583333333333332,11123
