"Hours since thread went live","Gekai Elise • Doctor Elise: The Royal Lady with the Lamp - Episode 11 discussion"
39,158
39.083333333333336,159
39.166666666666664,157
39.25,159
39.333333333333336,162
39.416666666666664,159
39.5,158
39.583333333333336,158
39.666666666666664,160
39.75,156
39.833333333333336,156
39.916666666666664,158
40,158
40.083333333333336,162
40.166666666666664,159
40.25,162
40.333333333333336,159
40.416666666666664,158
40.5,158
40.583333333333336,160
40.666666666666664,157
40.75,156
40.833333333333336,161
40.916666666666664,155
41,159
41.083333333333336,158
41.166666666666664,156
41.25,156
41.333333333333336,160
41.416666666666664,155
41.5,160
41.583333333333336,163
41.666666666666664,157
41.75,159
41.833333333333336,157
41.916666666666664,156
42.083333333333336,161
42.166666666666664,157
42.25,159
42.333333333333336,160
42.416666666666664,159
42.5,157
42.583333333333336,158
42.666666666666664,163
42.75,159
42.833333333333336,158
42.916666666666664,162
43,158
43.083333333333336,158
43.166666666666664,160
43.25,159
43.333333333333336,158
43.416666666666664,159
43.5,162
43.583333333333336,155
43.666666666666664,157
43.75,156
43.833333333333336,162
43.916666666666664,158
44,160
44.083333333333336,161
44.166666666666664,162
44.25,160
44.333333333333336,156
44.416666666666664,157
44.5,156
44.583333333333336,161
44.666666666666664,159
44.75,158
44.833333333333336,158
44.916666666666664,157
45,158
45.083333333333336,159
45.166666666666664,162
45.25,160
45.333333333333336,158
45.416666666666664,160
45.5,160
45.583333333333336,162
45.666666666666664,159
45.75,160
45.833333333333336,161
45.916666666666664,157
46,158
46.083333333333336,162
46.166666666666664,159
46.25,161
46.333333333333336,163
46.416666666666664,158
46.5,157
46.583333333333336,158
46.666666666666664,162
46.75,160
46.833333333333336,160
46.916666666666664,162
47,159
47.083333333333336,163
47.166666666666664,159
47.25,160
47.333333333333336,162
47.416666666666664,159
47.5,158
47.583333333333336,161
47.666666666666664,161
47.75,161
47.833333333333336,159
47.916666666666664,163
