"Hours since thread went live","Sengoku Youko - Episode 11 discussion"
0,1
0,1
0.08333333333333333,1
0.16666666666666666,4
0.25,11
0.3333333333333333,13
0.4166666666666667,16
0.5,18
0.5833333333333334,20
0.6666666666666666,27
0.75,31
0.8333333333333334,36
0.9166666666666666,41
1,46
1.0833333333333333,50
1.1666666666666667,55
1.25,54
1.3333333333333333,64
1.4166666666666667,67
1.5,71
1.5833333333333333,75
1.6666666666666667,76
1.75,75
1.8333333333333333,81
1.9166666666666667,82
2,85
2.0833333333333335,86
2.1666666666666665,90
2.25,87
2.3333333333333335,92
2.4166666666666665,92
2.5,93
2.5833333333333335,95
2.6666666666666665,98
2.75,98
2.8333333333333335,101
2.9166666666666665,104
3,105
3.0833333333333335,108
3.1666666666666665,108
3.25,110
3.3333333333333335,111
3.4166666666666665,113
3.5,114
3.5833333333333335,115
3.6666666666666665,122
3.75,124
3.8333333333333335,127
3.9166666666666665,128
4,129
4.083333333333333,132
4.166666666666667,139
4.25,137
4.333333333333333,140
4.416666666666667,141
4.5,141
4.583333333333333,145
4.666666666666667,148
4.75,148
4.833333333333333,154
4.916666666666667,157
5,155
5.083333333333333,155
5.166666666666667,163
5.25,163
5.333333333333333,163
5.416666666666667,162
5.5,163
5.583333333333333,168
5.666666666666667,173
5.75,169
5.833333333333333,173
5.916666666666667,171
6,174
6.083333333333333,175
6.166666666666667,178
6.25,179
6.333333333333333,185
6.416666666666667,190
6.5,189
6.583333333333333,192
6.666666666666667,193
6.75,194
6.833333333333333,194
6.916666666666667,192
7,194
7.083333333333333,195
7.166666666666667,192
7.25,195
7.333333333333333,194
7.416666666666667,202
7.5,201
7.583333333333333,205
7.666666666666667,206
7.75,206
7.833333333333333,203
7.916666666666667,206
8,207
8.083333333333334,208
8.166666666666666,212
8.25,215
8.333333333333334,216
8.416666666666666,216
8.5,219
8.583333333333334,219
8.666666666666666,217
8.75,218
8.833333333333334,218
8.916666666666666,224
9,222
9.083333333333334,227
9.166666666666666,224
9.25,230
9.333333333333334,231
9.416666666666666,228
9.5,234
9.583333333333334,236
9.666666666666666,235
9.75,235
9.833333333333334,238
9.916666666666666,243
10,241
10.083333333333334,243
10.166666666666666,247
10.25,248
10.333333333333334,247
10.416666666666666,246
10.5,251
10.583333333333334,250
10.666666666666666,250
10.75,252
10.833333333333334,253
10.916666666666666,252
11,251
11.083333333333334,258
11.166666666666666,252
11.25,255
11.333333333333334,253
11.416666666666666,254
11.5,253
11.583333333333334,251
11.666666666666666,254
11.75,257
11.833333333333334,254
11.916666666666666,257
12,259
12.083333333333334,260
12.166666666666666,257
12.25,255
12.333333333333334,258
12.416666666666666,259
12.5,260
12.583333333333334,258
12.666666666666666,264
12.75,259
12.833333333333334,263
12.916666666666666,260
13,266
13.083333333333334,260
13.166666666666666,265
13.25,264
13.333333333333334,260
13.416666666666666,262
13.5,261
13.583333333333334,260
13.666666666666666,259
13.75,262
13.833333333333334,261
13.916666666666666,259
14,262
14.083333333333334,260
14.166666666666666,263
14.25,266
14.333333333333334,265
14.416666666666666,264
14.5,265
14.583333333333334,266
14.666666666666666,265
14.75,269
14.833333333333334,264
14.916666666666666,267
15,262
15.083333333333334,265
15.166666666666666,268
15.25,263
15.333333333333334,268
15.416666666666666,267
15.5,268
15.583333333333334,267
15.666666666666666,269
15.75,267
15.833333333333334,264
15.916666666666666,269
16,268
16.083333333333332,270
16.166666666666668,263
16.25,273
16.333333333333332,269
16.416666666666668,269
16.5,271
16.583333333333332,270
16.666666666666668,272
16.75,268
16.833333333333332,267
16.916666666666668,271
17,273
17.083333333333332,272
17.166666666666668,273
17.25,273
17.333333333333332,276
17.416666666666668,278
17.5,274
17.583333333333332,273
17.666666666666668,277
17.75,273
17.833333333333332,272
17.916666666666668,270
18,276
18.083333333333332,280
18.166666666666668,275
18.25,280
18.333333333333332,278
18.416666666666668,278
18.5,279
18.583333333333332,279
18.666666666666668,279
18.75,276
18.833333333333332,281
18.916666666666668,278
19,279
19.083333333333332,277
19.166666666666668,281
19.25,281
19.333333333333332,283
19.416666666666668,284
19.5,280
19.583333333333332,281
19.666666666666668,282
19.75,282
19.833333333333332,282
19.916666666666668,286
20,285
20.083333333333332,288
20.166666666666668,285
20.25,282
20.333333333333332,284
20.416666666666668,285
20.5,286
20.583333333333332,284
20.666666666666668,286
20.75,285
20.833333333333332,287
20.916666666666668,288
21,290
21.083333333333332,290
21.166666666666668,291
21.25,287
21.333333333333332,285
21.416666666666668,286
21.5,285
21.583333333333332,288
21.666666666666668,286
21.75,290
21.833333333333332,288
21.916666666666668,295
22,293
22.083333333333332,291
22.166666666666668,296
22.25,292
22.333333333333332,292
22.416666666666668,292
22.5,298
22.583333333333332,295
22.666666666666668,296
22.75,294
22.833333333333332,291
22.916666666666668,290
23,293
23.083333333333332,296
23.166666666666668,294
23.25,295
23.333333333333332,293
23.416666666666668,294
23.5,296
23.583333333333332,296
23.666666666666668,296
23.75,298
23.833333333333332,292
23.916666666666668,297
24,295
24.083333333333332,295
24.166666666666668,293
24.25,299
24.333333333333332,296
24.416666666666668,298
24.5,292
24.583333333333332,297
24.666666666666668,297
24.75,297
24.833333333333332,300
24.916666666666668,295
25,294
25.083333333333332,296
25.166666666666668,295
25.25,299
25.333333333333332,295
25.416666666666668,300
25.5,294
25.583333333333332,298
25.666666666666668,298
25.75,296
25.833333333333332,300
25.916666666666668,296
26,299
26.083333333333332,296
26.166666666666668,296
26.25,298
26.333333333333332,295
26.416666666666668,303
26.5,299
26.583333333333332,297
26.666666666666668,300
26.75,300
26.833333333333332,296
26.916666666666668,303
27,299
27.083333333333332,302
27.166666666666668,301
27.25,300
27.333333333333332,298
27.416666666666668,301
27.5,304
27.583333333333332,304
27.666666666666668,298
27.75,295
27.833333333333332,299
27.916666666666668,300
28,295
28.083333333333332,300
28.166666666666668,297
28.25,299
28.333333333333332,297
28.416666666666668,299
28.5,302
28.583333333333332,297
28.666666666666668,302
28.75,296
28.833333333333332,299
28.916666666666668,299
29,304
29.083333333333332,300
29.166666666666668,299
29.25,300
29.333333333333332,299
29.416666666666668,302
29.5,300
29.583333333333332,300
29.666666666666668,298
29.75,298
29.833333333333332,299
29.916666666666668,299
30,301
30.083333333333332,302
30.166666666666668,298
30.25,301
30.333333333333332,304
30.416666666666668,304
30.5,301
30.583333333333332,304
30.666666666666668,298
30.75,300
30.833333333333332,298
30.916666666666668,297
31,302
31.083333333333332,300
31.166666666666668,303
31.25,305
31.333333333333332,303
31.416666666666668,300
31.5,304
31.583333333333332,305
31.666666666666668,301
31.75,304
31.833333333333332,302
31.916666666666668,305
32,303
32.083333333333336,301
32.166666666666664,302
32.25,300
32.333333333333336,303
32.416666666666664,301
32.5,304
32.583333333333336,303
32.666666666666664,304
32.75,300
32.833333333333336,301
32.916666666666664,302
33,306
33.083333333333336,303
33.166666666666664,305
33.25,305
33.333333333333336,304
33.416666666666664,303
33.5,306
33.583333333333336,302
33.666666666666664,304
33.75,305
33.833333333333336,301
33.916666666666664,301
34,303
34.083333333333336,306
34.166666666666664,307
34.25,307
34.333333333333336,305
34.416666666666664,305
34.5,307
34.583333333333336,308
34.666666666666664,308
34.75,311
34.833333333333336,309
34.916666666666664,310
35,306
35.083333333333336,308
35.166666666666664,309
35.25,311
35.333333333333336,310
35.416666666666664,303
35.5,310
35.583333333333336,308
35.666666666666664,306
35.75,315
35.833333333333336,307
35.916666666666664,310
36,308
36.083333333333336,306
36.166666666666664,308
36.25,306
36.333333333333336,304
36.416666666666664,309
36.5,311
36.583333333333336,312
36.666666666666664,309
36.75,311
36.833333333333336,305
36.916666666666664,312
37,307
37.083333333333336,311
37.166666666666664,307
37.25,308
37.333333333333336,308
37.416666666666664,310
37.5,310
37.583333333333336,310
37.666666666666664,315
37.75,311
37.833333333333336,312
37.916666666666664,310
38,307
38.083333333333336,314
38.166666666666664,309
38.25,307
38.333333333333336,310
38.416666666666664,311
38.5,308
38.583333333333336,305
38.666666666666664,310
38.75,309
38.833333333333336,307
38.916666666666664,308
39,311
39.083333333333336,308
