"Hours since thread went live","Snack Basue - Episode 8 discussion"
0,1
0,2
0.08333333333333333,3
0.16666666666666666,4
0.25,3
0.3333333333333333,4
0.4166666666666667,4
0.5,4
0.5833333333333334,4
0.6666666666666666,5
0.75,5
0.8333333333333334,5
0.9166666666666666,5
1,6
1.0833333333333333,7
1.1666666666666667,7
1.25,7
1.3333333333333333,6
1.4166666666666667,8
1.5,8
1.5833333333333333,9
1.6666666666666667,8
1.75,10
1.8333333333333333,10
1.9166666666666667,9
2,9
2.0833333333333335,9
2.1666666666666665,9
2.25,9
2.3333333333333335,11
2.4166666666666665,12
2.5,12
2.5833333333333335,11
2.6666666666666665,11
2.75,11
2.8333333333333335,11
2.9166666666666665,11
3,13
3.0833333333333335,12
3.1666666666666665,12
3.25,13
3.3333333333333335,13
3.4166666666666665,13
3.5,14
3.5833333333333335,13
3.6666666666666665,12
3.75,12
3.8333333333333335,12
3.9166666666666665,13
4,14
4.083333333333333,15
4.166666666666667,13
4.25,13
4.333333333333333,15
4.416666666666667,14
4.5,14
4.583333333333333,14
4.666666666666667,15
4.75,16
4.833333333333333,15
4.916666666666667,13
5,16
5.083333333333333,14
5.166666666666667,14
5.25,15
5.333333333333333,13
5.416666666666667,14
5.5,15
5.583333333333333,14
5.666666666666667,12
5.75,13
5.833333333333333,14
5.916666666666667,14
6,14
6.083333333333333,13
6.166666666666667,16
6.25,17
6.333333333333333,13
6.416666666666667,18
6.5,16
6.583333333333333,16
6.666666666666667,16
6.75,19
6.833333333333333,18
6.916666666666667,19
7,19
7.083333333333333,18
7.166666666666667,18
7.25,18
7.333333333333333,16
7.416666666666667,18
7.5,21
7.583333333333333,18
7.666666666666667,20
7.75,20
7.833333333333333,19
7.916666666666667,19
8,21
8.083333333333334,20
8.166666666666666,22
8.25,19
8.333333333333334,22
8.416666666666666,23
8.5,21
8.583333333333334,21
8.666666666666666,19
8.75,19
8.833333333333334,22
8.916666666666666,21
9,21
9.083333333333334,21
9.166666666666666,23
9.25,23
9.333333333333334,22
9.416666666666666,21
9.5,22
9.583333333333334,20
9.666666666666666,23
9.75,22
9.833333333333334,24
9.916666666666666,21
10,23
10.083333333333334,21
10.166666666666666,23
10.25,21
10.333333333333334,24
10.416666666666666,22
10.5,24
10.583333333333334,22
10.666666666666666,25
10.75,24
10.833333333333334,24
10.916666666666666,24
11,24
11.083333333333334,25
11.166666666666666,26
11.25,23
11.333333333333334,23
11.416666666666666,23
11.5,26
11.583333333333334,25
11.666666666666666,22
11.75,24
11.833333333333334,23
11.916666666666666,25
12,25
12.083333333333334,26
12.166666666666666,25
12.25,25
12.333333333333334,26
12.416666666666666,27
12.5,26
12.583333333333334,26
12.666666666666666,27
12.75,29
12.833333333333334,27
12.916666666666666,25
13,25
13.083333333333334,28
13.166666666666666,29
13.25,28
13.333333333333334,28
13.416666666666666,29
13.5,27
13.583333333333334,28
13.666666666666666,29
13.75,25
13.833333333333334,25
13.916666666666666,26
14,28
14.083333333333334,28
14.166666666666666,28
14.25,27
14.333333333333334,26
14.416666666666666,29
14.5,27
14.583333333333334,25
14.666666666666666,26
14.75,27
14.833333333333334,26
14.916666666666666,26
15,28
15.083333333333334,26
15.166666666666666,29
15.25,27
15.333333333333334,26
15.416666666666666,25
15.5,27
15.583333333333334,27
15.666666666666666,27
15.75,27
15.833333333333334,26
15.916666666666666,26
16,27
16.083333333333332,25
16.166666666666668,28
16.25,26
16.333333333333332,26
16.416666666666668,27
16.5,27
16.583333333333332,26
16.666666666666668,28
16.75,27
16.833333333333332,27
16.916666666666668,25
17,27
17.083333333333332,28
17.166666666666668,28
17.25,25
17.333333333333332,27
17.416666666666668,27
17.5,27
17.583333333333332,25
17.666666666666668,27
17.75,27
17.833333333333332,29
17.916666666666668,28
18,27
18.083333333333332,29
18.166666666666668,27
18.25,29
18.333333333333332,29
18.416666666666668,28
18.5,28
18.583333333333332,27
18.666666666666668,28
18.75,26
18.833333333333332,27
18.916666666666668,27
19,28
19.083333333333332,27
19.166666666666668,29
19.25,28
19.333333333333332,26
19.416666666666668,28
19.5,27
19.583333333333332,30
19.666666666666668,27
19.75,26
19.833333333333332,28
19.916666666666668,26
20,28
20.083333333333332,27
20.166666666666668,26
20.25,28
20.333333333333332,29
20.416666666666668,30
20.5,28
20.583333333333332,30
20.666666666666668,27
20.75,28
20.833333333333332,26
20.916666666666668,29
21,34
21.083333333333332,29
21.166666666666668,27
21.25,29
21.333333333333332,30
21.416666666666668,30
21.5,28
21.583333333333332,31
21.666666666666668,30
21.75,28
21.833333333333332,32
21.916666666666668,33
22,31
22.083333333333332,28
22.166666666666668,28
22.25,33
22.333333333333332,28
22.416666666666668,28
22.5,28
22.583333333333332,31
22.666666666666668,30
22.75,32
22.833333333333332,30
22.916666666666668,27
23,27
23.083333333333332,30
23.166666666666668,31
23.25,30
23.333333333333332,32
23.416666666666668,28
23.5,31
23.583333333333332,32
23.666666666666668,33
23.75,32
23.833333333333332,33
23.916666666666668,29
24,32
24.083333333333332,28
24.166666666666668,29
24.25,28
24.333333333333332,31
24.416666666666668,33
24.5,27
24.583333333333332,25
24.666666666666668,29
24.75,28
24.833333333333332,29
24.916666666666668,29
25,29
25.083333333333332,29
25.166666666666668,30
25.25,28
25.333333333333332,30
25.416666666666668,27
25.5,26
25.583333333333332,28
25.666666666666668,27
25.75,28
25.833333333333332,28
25.916666666666668,29
26,27
26.083333333333332,28
26.166666666666668,30
26.25,27
26.333333333333332,29
26.416666666666668,32
26.5,27
26.583333333333332,27
26.666666666666668,29
26.75,32
26.833333333333332,27
26.916666666666668,31
27,32
27.083333333333332,27
27.166666666666668,33
27.25,28
27.333333333333332,32
27.416666666666668,30
27.5,30
27.583333333333332,30
27.666666666666668,30
27.75,30
27.833333333333332,28
27.916666666666668,27
28,31
28.083333333333332,30
28.166666666666668,27
28.25,27
28.333333333333332,32
28.416666666666668,31
28.5,33
28.583333333333332,31
28.666666666666668,29
28.75,32
28.833333333333332,32
28.916666666666668,31
29,33
29.083333333333332,28
29.166666666666668,29
29.25,33
29.333333333333332,31
29.416666666666668,27
29.5,29
29.583333333333332,31
29.666666666666668,32
29.75,27
29.833333333333332,28
29.916666666666668,31
30,29
30.083333333333332,31
30.166666666666668,30
30.25,34
30.333333333333332,28
30.416666666666668,33
30.5,31
30.583333333333332,33
30.666666666666668,33
30.75,30
30.833333333333332,33
30.916666666666668,34
31,33
31.083333333333332,27
31.166666666666668,32
31.25,32
31.333333333333332,32
31.416666666666668,32
31.5,28
31.583333333333332,34
31.666666666666668,34
31.75,30
31.833333333333332,28
31.916666666666668,29
32,32
32.083333333333336,32
32.166666666666664,31
32.25,34
32.333333333333336,34
32.416666666666664,30
32.5,29
32.583333333333336,33
32.666666666666664,30
32.75,31
32.833333333333336,32
32.916666666666664,29
33,29
33.083333333333336,29
33.166666666666664,30
33.25,32
33.333333333333336,33
33.416666666666664,28
33.5,27
33.583333333333336,29
33.666666666666664,30
