"Hours since thread went live","The iDOLM@STER Shiny Colors - Episode 5 discussion"
39.333333333333336,31
39.416666666666664,31
39.5,35
39.583333333333336,31
39.666666666666664,28
39.75,30
39.833333333333336,36
39.916666666666664,33
40,33
40.083333333333336,35
40.166666666666664,32
40.25,35
40.333333333333336,35
40.416666666666664,34
40.5,33
40.583333333333336,31
40.666666666666664,34
40.75,35
40.833333333333336,31
40.916666666666664,32
41,34
41.083333333333336,32
41.166666666666664,34
41.25,34
41.333333333333336,33
41.416666666666664,28
41.5,32
41.583333333333336,32
41.666666666666664,30
41.75,30
41.833333333333336,32
41.916666666666664,33
42,36
42.083333333333336,33
42.166666666666664,31
42.25,31
42.333333333333336,36
42.416666666666664,30
42.5,30
42.583333333333336,31
42.666666666666664,32
42.75,30
42.833333333333336,33
42.916666666666664,34
43,35
43.083333333333336,29
43.166666666666664,32
43.25,35
43.333333333333336,30
43.416666666666664,33
43.5,30
43.583333333333336,30
43.666666666666664,33
43.75,29
43.833333333333336,33
43.916666666666664,33
44,34
44.083333333333336,29
44.166666666666664,32
44.25,30
44.333333333333336,31
44.416666666666664,35
44.5,33
44.583333333333336,31
44.666666666666664,34
44.75,32
44.833333333333336,31
44.916666666666664,34
45,29
45.083333333333336,33
45.166666666666664,30
45.25,33
45.333333333333336,30
45.416666666666664,35
45.5,35
45.583333333333336,36
45.666666666666664,34
45.75,31
45.833333333333336,30
45.916666666666664,33
46,30
46.083333333333336,30
46.166666666666664,34
46.25,31
46.333333333333336,33
46.416666666666664,33
46.5,32
46.583333333333336,30
46.666666666666664,31
46.75,30
46.833333333333336,32
46.916666666666664,31
47,30
47.083333333333336,33
47.166666666666664,33
47.25,33
47.333333333333336,31
47.416666666666664,33
47.5,32
47.583333333333336,36
47.666666666666664,32
47.75,31
47.833333333333336,37
47.916666666666664,34
