"Hours since thread went live","Bartender: Kami no Glass • Bartender: Glass of God - Episode 1 discussion"
0,3
0.08333333333333333,9
0.16666666666666666,10
0.25,13
0.3333333333333333,22
0.4166666666666667,25
0.5,27
0.5833333333333334,30
0.6666666666666666,31
0.75,42
0.8333333333333334,48
0.9166666666666666,54
1,59
1.0833333333333333,60
1.1666666666666667,64
1.25,71
1.3333333333333333,73
1.4166666666666667,74
1.5,82
1.5833333333333333,87
1.6666666666666667,92
1.75,98
1.8333333333333333,100
1.9166666666666667,106
2,108
2.0833333333333335,108
2.1666666666666665,114
2.25,118
2.3333333333333335,123
2.4166666666666665,124
2.5,129
2.5833333333333335,137
2.6666666666666665,144
2.75,149
2.8333333333333335,150
2.9166666666666665,159
3,163
3.0833333333333335,168
3.1666666666666665,173
3.25,181
3.3333333333333335,182
3.4166666666666665,186
3.5,189
3.5833333333333335,192
3.6666666666666665,194
3.75,200
3.8333333333333335,204
3.9166666666666665,209
4,209
4.083333333333333,210
4.166666666666667,213
4.25,213
4.333333333333333,218
4.416666666666667,220
4.5,221
4.583333333333333,224
4.666666666666667,230
4.75,232
4.833333333333333,240
4.916666666666667,244
5,247
5.083333333333333,252
5.166666666666667,251
5.25,253
5.333333333333333,257
5.416666666666667,260
5.5,267
5.583333333333333,268
5.666666666666667,277
5.75,283
5.833333333333333,283
5.916666666666667,285
6,293
6.083333333333333,295
6.166666666666667,298
6.25,303
6.333333333333333,307
6.416666666666667,306
6.5,309
6.583333333333333,310
6.666666666666667,319
6.75,309
6.833333333333333,314
6.916666666666667,319
7,317
7.083333333333333,321
7.166666666666667,322
7.25,321
7.333333333333333,323
7.416666666666667,330
7.5,334
7.583333333333333,336
7.666666666666667,336
7.75,338
7.833333333333333,349
7.916666666666667,354
8,354
8.083333333333334,355
8.166666666666666,358
8.25,363
8.333333333333334,362
8.416666666666666,364
8.5,372
8.583333333333334,369
8.666666666666666,374
8.75,371
8.833333333333334,382
8.916666666666666,383
9,386
9.083333333333334,383
9.166666666666666,384
9.25,380
9.333333333333334,391
9.416666666666666,391
9.5,403
9.583333333333334,395
9.666666666666666,399
9.75,404
9.833333333333334,409
9.916666666666666,413
10,417
10.083333333333334,417
10.166666666666666,412
10.25,420
10.333333333333334,416
10.416666666666666,416
10.5,416
10.583333333333334,423
10.666666666666666,430
10.75,429
10.833333333333334,435
10.916666666666666,433
11,437
11.083333333333334,433
11.166666666666666,444
11.25,444
11.333333333333334,448
11.416666666666666,446
11.5,450
11.583333333333334,455
11.666666666666666,458
11.75,455
11.833333333333334,461
11.916666666666666,459
12,458
12.083333333333334,462
12.166666666666666,472
12.25,468
12.333333333333334,472
12.416666666666666,472
12.5,478
12.583333333333334,477
12.666666666666666,469
12.75,475
12.833333333333334,481
12.916666666666666,482
13,483
13.083333333333334,478
13.166666666666666,489
13.25,486
13.333333333333334,481
13.416666666666666,485
13.5,488
13.583333333333334,492
13.666666666666666,490
13.75,493
13.833333333333334,495
13.916666666666666,496
14,497
14.083333333333334,495
14.166666666666666,499
14.25,495
14.333333333333334,495
14.416666666666666,496
14.5,505
14.583333333333334,503
14.666666666666666,501
14.75,501
14.833333333333334,506
14.916666666666666,507
15,504
15.083333333333334,507
