"Hours since thread went live","Shingeki no Kyojin: The Final Season • Attack on Titan Final Season THE FINAL CHAPTERS - Special Episode 1"
17.166666666666668,8279
17.25,8300
17.333333333333332,8330
17.416666666666668,8357
17.5,8380
17.583333333333332,8400
17.666666666666668,8423
17.75,8443
17.833333333333332,8463
17.916666666666668,8482
18,8508
18.083333333333332,8522
18.166666666666668,8541
18.25,8561
18.333333333333332,8575
18.416666666666668,8595
18.5,8611
18.583333333333332,8644
18.666666666666668,8655
18.75,8669
18.833333333333332,8694
18.916666666666668,8713
19,8720
19.083333333333332,8725
19.166666666666668,8741
19.25,8754
19.333333333333332,8779
19.416666666666668,8794
19.5,8810
19.583333333333332,8835
19.666666666666668,8847
19.75,8864
19.833333333333332,8882
19.916666666666668,8904
20,8906
20.083333333333332,8930
20.166666666666668,8953
20.25,8952
20.333333333333332,8970
20.416666666666668,8975
20.5,8991
20.583333333333332,9016
20.666666666666668,9027
20.75,9047
20.833333333333332,9056
20.916666666666668,9067
21,9080
21.083333333333332,9093
21.166666666666668,9109
21.25,9121
21.333333333333332,9129
21.416666666666668,9155
21.5,9156
21.583333333333332,9178
21.666666666666668,9184
21.75,9188
21.833333333333332,9208
21.916666666666668,9218
22,9230
22.083333333333332,9240
22.166666666666668,9255
22.25,9274
22.333333333333332,9283
22.416666666666668,9293
22.5,9299
22.583333333333332,9311
22.666666666666668,9324
22.75,9327
22.833333333333332,9343
22.916666666666668,9369
23,9378
23.083333333333332,9385
23.166666666666668,9392
23.25,9408
23.333333333333332,9414
23.416666666666668,9434
23.5,9445
23.583333333333332,9450
23.666666666666668,9465
23.75,9472
23.833333333333332,9489
23.916666666666668,9493
24,9509
24.083333333333332,9512
24.166666666666668,9527
24.25,9531
24.333333333333332,9536
24.416666666666668,9542
24.5,9557
24.583333333333332,9564
24.666666666666668,9556
24.75,9567
24.833333333333332,9578
24.916666666666668,9588
25,9597
25.083333333333332,9593
25.166666666666668,9604
25.25,9613
25.333333333333332,9623
25.416666666666668,9629
25.5,9641
25.583333333333332,9643
25.666666666666668,9647
25.75,9656
25.833333333333332,9656
25.916666666666668,9662
26,9671
26.083333333333332,9686
26.166666666666668,9690
26.25,9691
26.333333333333332,9708
26.416666666666668,9706
26.5,9712
26.583333333333332,9719
26.666666666666668,9730
26.75,9740
26.833333333333332,9744
26.916666666666668,9747
27,9761
27.083333333333332,9758
27.166666666666668,9757
27.25,9776
27.333333333333332,9777
27.416666666666668,9779
27.5,9787
27.583333333333332,9797
27.666666666666668,9804
27.75,9804
27.833333333333332,9816
27.916666666666668,9820
28,9827
28.083333333333332,9832
28.166666666666668,9851
28.25,9854
28.333333333333332,9857
28.416666666666668,9860
28.5,9865
28.583333333333332,9868
28.666666666666668,9875
28.75,9871
28.833333333333332,9874
28.916666666666668,9883
29,9897
29.083333333333332,9894
29.166666666666668,9904
29.25,9916
29.333333333333332,9910
29.416666666666668,9927
29.5,9936
29.583333333333332,9945
29.666666666666668,9943
29.75,9956
29.833333333333332,9956
29.916666666666668,9968
30,9971
30.083333333333332,9967
30.166666666666668,9982
30.25,9983
30.333333333333332,9990
30.416666666666668,10000
30.5,9997
30.583333333333332,10006
30.666666666666668,10004
30.75,10011
30.833333333333332,10021
30.916666666666668,10035
31,10034
31.083333333333332,10030
31.166666666666668,10040
31.25,10048
31.333333333333332,10051
31.416666666666668,10055
31.5,10061
31.583333333333332,10068
31.666666666666668,10069
31.75,10070
31.833333333333332,10069
31.916666666666668,10074
32,10088
32.083333333333336,10091
32.166666666666664,10090
32.25,10100
32.333333333333336,10097
32.416666666666664,10106
32.5,10121
32.583333333333336,10121
32.666666666666664,10117
32.75,10134
32.833333333333336,10132
32.916666666666664,10138
33,10133
33.083333333333336,10150
33.166666666666664,10144
33.25,10151
33.333333333333336,10149
33.416666666666664,10147
33.5,10160
33.583333333333336,10159
33.666666666666664,10176
33.75,10174
33.833333333333336,10172
33.916666666666664,10177
34,10179
34.083333333333336,10187
34.166666666666664,10182
34.25,10196
34.333333333333336,10200
34.416666666666664,10198
34.5,10200
34.583333333333336,10213
34.666666666666664,10213
34.75,10217
34.833333333333336,10215
34.916666666666664,10226
35,10224
35.083333333333336,10228
35.166666666666664,10229
35.25,10230
35.333333333333336,10234
35.416666666666664,10237
35.5,10229
35.583333333333336,10235
35.666666666666664,10238
35.75,10246
35.833333333333336,10244
35.916666666666664,10237
36,10251
36.083333333333336,10254
36.166666666666664,10252
36.25,10261
36.333333333333336,10261
36.416666666666664,10269
36.5,10266
36.583333333333336,10266
36.666666666666664,10277
36.75,10278
36.833333333333336,10281
36.916666666666664,10280
37,10290
37.083333333333336,10283
37.166666666666664,10289
37.25,10295
37.333333333333336,10299
37.416666666666664,10297
37.5,10289
37.583333333333336,10297
37.666666666666664,10296
37.75,10307
37.833333333333336,10305
37.916666666666664,10311
38,10307
38.083333333333336,10309
38.166666666666664,10315
38.25,10319
38.333333333333336,10324
38.416666666666664,10326
38.5,10324
38.583333333333336,10328
38.666666666666664,10325
38.75,10331
38.833333333333336,10334
38.916666666666664,10336
39,10343
39.083333333333336,10337
39.166666666666664,10343
39.25,10355
39.333333333333336,10349
39.416666666666664,10359
39.5,10362
39.583333333333336,10363
39.666666666666664,10366
39.75,10360
39.833333333333336,10368
39.916666666666664,10375
40,10375
40.083333333333336,10373
40.166666666666664,10373
40.25,10376
40.333333333333336,10385
40.416666666666664,10391
40.5,10386
40.583333333333336,10393
40.666666666666664,10400
40.75,10404
40.833333333333336,10406
40.916666666666664,10405
41,10406
41.083333333333336,10401
41.166666666666664,10405
41.25,10417
41.333333333333336,10419
41.416666666666664,10429
41.5,10424
41.583333333333336,10430
41.666666666666664,10429
41.75,10430
41.833333333333336,10430
41.916666666666664,10432
42,10443
42.083333333333336,10446
42.166666666666664,10439
42.25,10451
42.333333333333336,10447
42.416666666666664,10460
42.5,10461
42.583333333333336,10462
42.666666666666664,10462
42.75,10466
42.833333333333336,10471
42.916666666666664,10472
43,10481
43.083333333333336,10480
43.166666666666664,10474
43.25,10477
43.333333333333336,10491
43.416666666666664,10496
43.5,10494
43.583333333333336,10503
43.666666666666664,10494
43.75,10506
43.833333333333336,10507
43.916666666666664,10508
44,10507
44.083333333333336,10515
44.166666666666664,10513
44.25,10518
44.333333333333336,10523
44.416666666666664,10541
44.5,10533
44.583333333333336,10539
44.666666666666664,10539
44.75,10544
44.833333333333336,10537
44.916666666666664,10545
45,10548
45.083333333333336,10543
45.166666666666664,10543
45.25,10549
45.333333333333336,10555
45.416666666666664,10555
45.5,10551
45.583333333333336,10558
45.666666666666664,10563
45.75,10569
45.833333333333336,10563
45.916666666666664,10569
46,10578
46.083333333333336,10578
46.166666666666664,10581
46.25,10585
46.333333333333336,10590
46.416666666666664,10591
46.5,10591
46.583333333333336,10599
46.666666666666664,10597
46.75,10597
46.833333333333336,10600
46.916666666666664,10606
47,10611
47.083333333333336,10610
47.166666666666664,10613
47.25,10615
47.333333333333336,10613
47.416666666666664,10622
47.5,10617
47.583333333333336,10614
47.666666666666664,10622
47.75,10623
47.833333333333336,10627
47.916666666666664,10624
