"Hours since thread went live","BLEACH: Sennen Kessen-hen - Ketsubetsu-tan - - Episode 14 discussion"
0,3
0,16
0.08333333333333333,49
0.16666666666666666,85
0.25,107
0.3333333333333333,141
0.4166666666666667,170
0.5,195
0.5833333333333334,240
0.6666666666666666,283
0.75,315
0.8333333333333334,346
0.9166666666666666,381
1,410
1.0833333333333333,432
1.1666666666666667,466
1.25,492
1.3333333333333333,519
1.4166666666666667,546
1.5,579
1.5833333333333333,607
1.6666666666666667,631
1.75,654
1.8333333333333333,684
1.9166666666666667,702
2,731
2.0833333333333335,741
2.1666666666666665,774
2.25,793
2.3333333333333335,813
2.4166666666666665,828
2.5,854
2.5833333333333335,876
2.6666666666666665,902
2.75,926
2.8333333333333335,945
2.9166666666666665,962
3,964
3.0833333333333335,985
3.1666666666666665,1002
3.25,1025
3.3333333333333335,1043
3.4166666666666665,1058
3.5,1070
3.5833333333333335,1080
3.6666666666666665,1088
3.75,1106
3.8333333333333335,1128
3.9166666666666665,1141
4,1160
4.083333333333333,1182
4.166666666666667,1194
4.25,1210
4.333333333333333,1220
4.416666666666667,1235
4.5,1239
4.583333333333333,1260
4.666666666666667,1265
4.75,1281
4.833333333333333,1294
4.916666666666667,1306
5,1321
5.083333333333333,1325
5.166666666666667,1335
5.25,1356
5.333333333333333,1359
5.416666666666667,1390
5.5,1399
5.583333333333333,1410
5.666666666666667,1419
5.75,1420
5.833333333333333,1432
5.916666666666667,1446
6,1463
6.083333333333333,1474
6.166666666666667,1478
6.25,1494
6.333333333333333,1508
6.416666666666667,1518
6.5,1533
6.583333333333333,1539
6.666666666666667,1554
6.75,1560
6.833333333333333,1568
6.916666666666667,1583
7,1598
7.083333333333333,1608
7.166666666666667,1618
7.25,1625
7.333333333333333,1630
7.416666666666667,1635
7.5,1643
7.583333333333333,1661
7.666666666666667,1670
7.75,1682
7.833333333333333,1696
7.916666666666667,1700
8,1712
8.083333333333334,1716
8.166666666666666,1728
8.25,1728
8.333333333333334,1744
8.416666666666666,1747
8.5,1758
8.583333333333334,1763
8.666666666666666,1779
8.75,1787
8.833333333333334,1792
8.916666666666666,1802
9,1816
9.083333333333334,1822
9.166666666666666,1830
9.25,1840
9.333333333333334,1849
9.416666666666666,1855
9.5,1862
9.583333333333334,1871
9.666666666666666,1879
9.75,1881
9.833333333333334,1890
9.916666666666666,1900
10,1904
10.083333333333334,1912
10.166666666666666,1920
10.25,1928
10.333333333333334,1927
10.416666666666666,1933
10.5,1945
10.583333333333334,1948
10.666666666666666,1957
10.75,1955
10.833333333333334,1960
10.916666666666666,1970
11,1976
11.083333333333334,1983
11.166666666666666,1992
11.25,1999
11.333333333333334,2003
11.416666666666666,2004
11.5,2012
11.583333333333334,2018
11.666666666666666,2027
11.75,2025
11.833333333333334,2029
11.916666666666666,2038
12,2043
12.083333333333334,2057
12.166666666666666,2067
12.25,2071
12.333333333333334,2076
12.416666666666666,2077
12.5,2085
12.583333333333334,2094
12.666666666666666,2089
12.75,2099
12.833333333333334,2105
12.916666666666666,2114
13,2111
13.083333333333334,2119
13.166666666666666,2120
13.25,2124
13.333333333333334,2129
13.416666666666666,2135
13.5,2137
13.583333333333334,2151
13.666666666666666,2157
13.75,2165
13.833333333333334,2165
13.916666666666666,2171
14,2173
14.083333333333334,2179
14.166666666666666,2185
14.25,2190
14.333333333333334,2187
14.416666666666666,2191
14.5,2206
14.583333333333334,2209
14.666666666666666,2213
14.75,2214
14.833333333333334,2222
14.916666666666666,2227
15,2235
15.083333333333334,2242
15.166666666666666,2243
15.25,2244
15.333333333333334,2244
15.416666666666666,2251
15.5,2252
15.583333333333334,2251
15.666666666666666,2262
15.75,2267
15.833333333333334,2273
15.916666666666666,2274
16,2274
16.083333333333332,2273
16.166666666666668,2282
16.25,2283
16.333333333333332,2280
16.416666666666668,2285
16.5,2288
16.583333333333332,2291
16.666666666666668,2289
16.75,2288
16.833333333333332,2299
16.916666666666668,2300
17,2298
17.083333333333332,2302
17.166666666666668,2305
17.25,2306
17.333333333333332,2313
17.416666666666668,2314
17.5,2315
17.583333333333332,2316
17.666666666666668,2318
17.75,2317
17.833333333333332,2321
17.916666666666668,2327
18,2330
18.083333333333332,2329
18.166666666666668,2330
18.25,2339
18.333333333333332,2338
18.416666666666668,2336
18.5,2343
18.583333333333332,2345
18.666666666666668,2345
18.75,2354
18.833333333333332,2351
18.916666666666668,2356
19,2364
19.083333333333332,2357
19.166666666666668,2356
19.25,2361
19.333333333333332,2368
19.416666666666668,2363
19.5,2375
19.583333333333332,2370
19.666666666666668,2373
19.75,2381
19.833333333333332,2382
19.916666666666668,2389
20,2387
20.083333333333332,2390
20.166666666666668,2392
20.25,2395
20.333333333333332,2397
20.416666666666668,2401
20.5,2402
20.583333333333332,2408
20.666666666666668,2410
20.75,2415
20.833333333333332,2421
20.916666666666668,2422
21,2422
21.083333333333332,2424
21.166666666666668,2429
21.25,2429
21.333333333333332,2437
21.416666666666668,2439
21.5,2439
21.583333333333332,2444
21.666666666666668,2444
21.75,2446
21.833333333333332,2451
21.916666666666668,2450
22,2454
22.083333333333332,2452
22.166666666666668,2453
22.25,2462
22.333333333333332,2459
22.416666666666668,2459
22.5,2466
22.583333333333332,2467
22.666666666666668,2467
22.75,2471
22.833333333333332,2469
22.916666666666668,2476
23,2477
23.083333333333332,2481
23.166666666666668,2485
23.25,2479
23.333333333333332,2483
23.416666666666668,2490
23.5,2493
23.583333333333332,2489
23.666666666666668,2491
23.75,2497
23.833333333333332,2501
23.916666666666668,2499
24,2507
24.083333333333332,2505
24.166666666666668,2503
24.25,2510
24.333333333333332,2513
24.416666666666668,2516
24.5,2522
24.583333333333332,2519
24.666666666666668,2527
24.75,2525
24.833333333333332,2523
24.916666666666668,2523
25,2524
25.083333333333332,2528
25.166666666666668,2525
25.25,2529
25.333333333333332,2535
25.416666666666668,2541
25.5,2537
25.583333333333332,2539
25.666666666666668,2536
25.75,2541
25.833333333333332,2544
25.916666666666668,2539
26,2546
26.083333333333332,2547
26.166666666666668,2551
26.25,2547
26.333333333333332,2548
26.416666666666668,2545
26.5,2553
26.583333333333332,2554
26.666666666666668,2558
26.75,2555
26.833333333333332,2555
26.916666666666668,2560
27,2554
27.083333333333332,2562
27.166666666666668,2559
27.25,2563
27.333333333333332,2559
27.416666666666668,2569
27.5,2568
27.583333333333332,2569
27.666666666666668,2567
27.75,2576
27.833333333333332,2576
27.916666666666668,2575
28,2577
28.083333333333332,2576
28.166666666666668,2579
28.25,2576
28.333333333333332,2582
28.416666666666668,2580
28.5,2581
28.583333333333332,2585
28.666666666666668,2586
28.75,2584
28.833333333333332,2586
28.916666666666668,2584
29,2592
29.083333333333332,2589
29.166666666666668,2590
29.25,2594
29.333333333333332,2596
29.416666666666668,2596
29.5,2601
29.583333333333332,2596
29.666666666666668,2599
29.75,2602
29.833333333333332,2595
29.916666666666668,2598
30,2597
30.083333333333332,2602
30.166666666666668,2607
30.25,2608
30.333333333333332,2605
30.416666666666668,2608
30.5,2611
30.583333333333332,2612
30.666666666666668,2610
30.75,2610
30.833333333333332,2614
30.916666666666668,2612
31,2614
31.083333333333332,2607
31.166666666666668,2613
31.25,2610
31.333333333333332,2606
31.416666666666668,2613
31.5,2615
31.583333333333332,2617
31.666666666666668,2617
31.75,2618
31.833333333333332,2622
31.916666666666668,2618
32,2622
32.083333333333336,2626
32.166666666666664,2622
32.25,2630
32.333333333333336,2620
32.416666666666664,2630
32.5,2626
32.583333333333336,2624
32.666666666666664,2629
32.75,2629
32.833333333333336,2628
32.916666666666664,2628
33,2632
33.083333333333336,2629
33.166666666666664,2636
33.25,2632
33.333333333333336,2632
33.416666666666664,2634
33.5,2638
33.583333333333336,2628
33.666666666666664,2628
33.75,2636
33.833333333333336,2636
33.916666666666664,2640
34,2638
34.083333333333336,2641
34.166666666666664,2644
34.25,2644
34.333333333333336,2648
34.416666666666664,2647
34.5,2642
34.583333333333336,2645
34.666666666666664,2646
34.75,2649
34.833333333333336,2646
34.916666666666664,2650
35,2651
35.083333333333336,2655
35.166666666666664,2653
35.25,2656
35.333333333333336,2657
35.416666666666664,2656
35.5,2663
35.583333333333336,2658
35.666666666666664,2654
35.75,2664
35.833333333333336,2662
35.916666666666664,2659
36,2659
36.083333333333336,2657
36.166666666666664,2664
36.25,2661
36.333333333333336,2657
36.416666666666664,2667
36.5,2664
36.583333333333336,2666
36.666666666666664,2663
36.75,2663
36.833333333333336,2663
36.916666666666664,2665
37,2672
37.083333333333336,2668
37.166666666666664,2670
37.25,2669
37.333333333333336,2670
37.416666666666664,2667
37.5,2666
37.583333333333336,2674
37.666666666666664,2665
37.75,2669
37.833333333333336,2674
37.916666666666664,2676
38,2668
38.083333333333336,2668
38.166666666666664,2670
38.25,2674
38.333333333333336,2674
38.416666666666664,2678
38.5,2670
38.583333333333336,2673
38.666666666666664,2673
38.75,2678
38.833333333333336,2678
38.916666666666664,2676
39,2677
39.083333333333336,2678
39.166666666666664,2681
39.25,2677
39.333333333333336,2679
39.416666666666664,2680
39.5,2675
39.583333333333336,2677
39.666666666666664,2679
39.75,2677
39.833333333333336,2683
39.916666666666664,2685
40,2683
40.083333333333336,2682
40.166666666666664,2686
40.25,2683
40.333333333333336,2678
40.416666666666664,2683
40.5,2678
40.583333333333336,2684
40.666666666666664,2679
40.75,2688
40.833333333333336,2682
40.916666666666664,2682
41,2690
41.083333333333336,2684
41.166666666666664,2681
41.25,2689
41.333333333333336,2687
41.416666666666664,2691
