"Hours since thread went live","Shingeki no Kyojin: The Final Season - Episode 69 discussion"
31.333333333333332,16457
31.416666666666668,16458
31.5,16467
31.583333333333332,16462
31.666666666666668,16462
31.75,16466
31.833333333333332,16466
31.916666666666668,16470
32,16472
32.083333333333336,16478
32.166666666666664,16481
32.25,16479
32.333333333333336,16478
32.416666666666664,16494
32.5,16497
32.583333333333336,16496
32.666666666666664,16493
32.75,16495
32.833333333333336,16499
32.916666666666664,16501
33,16497
33.083333333333336,16502
33.166666666666664,16515
33.25,16513
33.333333333333336,16517
33.416666666666664,16521
33.5,16522
33.583333333333336,16531
33.666666666666664,16528
33.75,16531
33.833333333333336,16541
33.916666666666664,16536
34,16540
34.083333333333336,16542
34.166666666666664,16542
34.25,16546
34.333333333333336,16549
34.416666666666664,16546
34.5,16548
34.583333333333336,16542
34.666666666666664,16544
34.75,16553
34.833333333333336,16556
34.916666666666664,16552
35,16560
35.083333333333336,16561
35.166666666666664,16562
35.25,16561
35.333333333333336,16563
35.416666666666664,16571
35.5,16563
35.583333333333336,16563
35.666666666666664,16566
35.75,16568
35.833333333333336,16571
35.916666666666664,16567
36,16562
36.083333333333336,16569
36.166666666666664,16578
36.25,16578
36.333333333333336,16577
36.416666666666664,16583
36.5,16576
36.583333333333336,16578
36.666666666666664,16581
36.75,16583
36.833333333333336,16584
36.916666666666664,16585
37,16591
37.083333333333336,16594
37.166666666666664,16588
37.25,16592
37.333333333333336,16596
37.416666666666664,16598
37.5,16598
37.583333333333336,16600
37.666666666666664,16604
37.75,16593
37.833333333333336,16596
37.916666666666664,16596
38,16598
38.083333333333336,16602
38.166666666666664,16610
38.25,16604
38.333333333333336,16609
38.416666666666664,16605
38.5,16606
38.583333333333336,16609
38.666666666666664,16601
38.75,16610
38.833333333333336,16617
38.916666666666664,16615
39,16616
39.083333333333336,16612
39.166666666666664,16612
39.25,16615
39.333333333333336,16617
39.416666666666664,16621
39.5,16623
39.583333333333336,16624
39.666666666666664,16627
39.75,16629
39.833333333333336,16621
39.916666666666664,16628
40,16623
40.083333333333336,16630
40.166666666666664,16621
40.25,16621
40.333333333333336,16624
40.416666666666664,16626
40.5,16628
40.583333333333336,16632
40.666666666666664,16634
40.75,16621
40.833333333333336,16629
40.916666666666664,16628
41,16629
41.083333333333336,16629
41.166666666666664,16628
41.25,16630
41.333333333333336,16636
41.416666666666664,16630
41.5,16630
41.583333333333336,16632
41.666666666666664,16632
41.75,16637
41.833333333333336,16637
41.916666666666664,16631
42,16633
42.083333333333336,16636
42.166666666666664,16639
42.25,16637
42.333333333333336,16641
42.416666666666664,16636
42.5,16638
42.583333333333336,16636
42.666666666666664,16646
42.75,16642
42.833333333333336,16635
42.916666666666664,16640
43,16646
43.083333333333336,16647
43.166666666666664,16646
43.25,16650
43.333333333333336,16648
43.416666666666664,16654
43.5,16652
43.583333333333336,16645
43.666666666666664,16650
43.75,16651
43.833333333333336,16647
43.916666666666664,16659
44,16654
44.083333333333336,16664
44.166666666666664,16653
44.25,16662
44.333333333333336,16661
44.416666666666664,16664
44.5,16661
44.583333333333336,16668
44.666666666666664,16664
44.75,16667
44.833333333333336,16665
44.916666666666664,16669
45,16673
45.083333333333336,16678
45.166666666666664,16675
45.25,16680
45.333333333333336,16680
45.416666666666664,16688
45.5,16686
45.583333333333336,16687
45.666666666666664,16677
45.75,16689
45.833333333333336,16692
45.916666666666664,16690
46,16692
46.083333333333336,16689
46.166666666666664,16691
46.25,16696
46.333333333333336,16686
46.416666666666664,16690
46.5,16693
46.583333333333336,16687
46.666666666666664,16695
46.75,16697
46.833333333333336,16699
46.916666666666664,16703
47,16697
47.083333333333336,16706
47.166666666666664,16703
47.25,16696
47.333333333333336,16698
47.416666666666664,16699
47.5,16711
47.583333333333336,16707
47.666666666666664,16714
47.75,16709
47.833333333333336,16711
47.916666666666664,16713
