"Hours since thread went live","Kage no Jitsuryokusha ni Naritakute! Season 2 • The Eminence in Shadow Season 2 - Episode 12 discussion - FINAL"
0,1
0.08333333333333333,4
0.16666666666666666,9
0.25,19
0.3333333333333333,34
0.4166666666666667,56
0.5,71
0.5833333333333334,94
0.6666666666666666,122
0.75,149
0.8333333333333334,173
0.9166666666666666,193
1,206
1.0833333333333333,227
1.1666666666666667,262
1.25,299
1.3333333333333333,320
1.4166666666666667,355
1.5,382
1.5833333333333333,412
1.6666666666666667,433
1.75,455
1.8333333333333333,474
1.9166666666666667,498
2,518
2.0833333333333335,549
2.1666666666666665,574
2.25,597
2.3333333333333335,622
2.4166666666666665,643
2.5,668
2.5833333333333335,692
2.6666666666666665,719
2.75,740
2.8333333333333335,758
2.9166666666666665,786
3,810
3.0833333333333335,828
3.1666666666666665,853
3.25,871
3.3333333333333335,895
3.4166666666666665,918
3.5,936
3.5833333333333335,950
3.6666666666666665,967
3.75,996
3.8333333333333335,1009
3.9166666666666665,1034
4,1047
4.083333333333333,1065
4.166666666666667,1091
4.25,1099
4.333333333333333,1118
4.416666666666667,1135
4.5,1159
4.583333333333333,1177
4.666666666666667,1194
4.75,1208
4.833333333333333,1213
4.916666666666667,1227
5,1251
5.083333333333333,1266
5.166666666666667,1280
5.25,1290
5.333333333333333,1311
5.416666666666667,1327
5.5,1338
5.583333333333333,1351
5.666666666666667,1368
5.75,1385
5.833333333333333,1398
5.916666666666667,1412
6,1425
6.083333333333333,1443
6.166666666666667,1447
6.25,1466
6.333333333333333,1476
6.416666666666667,1494
6.5,1504
6.583333333333333,1522
6.666666666666667,1528
6.75,1548
6.833333333333333,1555
6.916666666666667,1564
7,1573
7.083333333333333,1587
7.166666666666667,1607
7.25,1616
7.333333333333333,1631
7.416666666666667,1642
7.5,1652
7.583333333333333,1670
7.666666666666667,1682
7.75,1688
7.833333333333333,1711
7.916666666666667,1718
8,1734
8.083333333333334,1741
8.166666666666666,1755
8.25,1775
8.333333333333334,1788
8.416666666666666,1798
8.5,1802
8.583333333333334,1809
8.666666666666666,1815
8.75,1841
8.833333333333334,1855
8.916666666666666,1853
9,1867
9.083333333333334,1876
9.166666666666666,1892
9.25,1920
9.333333333333334,1923
9.416666666666666,1934
9.5,1946
9.583333333333334,1949
9.666666666666666,1962
9.75,1974
9.833333333333334,1982
9.916666666666666,1994
10,1992
10.083333333333334,2003
10.166666666666666,2011
10.25,2020
10.333333333333334,2032
10.416666666666666,2048
10.5,2057
10.583333333333334,2062
10.666666666666666,2070
10.75,2081
10.833333333333334,2084
10.916666666666666,2091
11,2112
11.083333333333334,2120
11.166666666666666,2124
