"Hours since thread went live","Kage no Jitsuryokusha ni Naritakute! Season 2 • The Eminence in Shadow Season 2 - Episode 12 discussion - FINAL"
11.25,2135
11.333333333333334,2148
11.416666666666666,2152
11.5,2172
11.583333333333334,2174
11.666666666666666,2189
11.75,2193
11.833333333333334,2206
11.916666666666666,2203
12,2212
12.083333333333334,2219
12.166666666666666,2235
12.25,2245
12.333333333333334,2248
12.416666666666666,2259
12.5,2271
12.583333333333334,2270
12.666666666666666,2276
12.75,2289
12.833333333333334,2301
12.916666666666666,2302
13,2309
13.083333333333334,2315
13.166666666666666,2314
13.25,2321
13.333333333333334,2331
13.416666666666666,2345
13.5,2349
13.583333333333334,2350
13.666666666666666,2357
13.75,2356
13.833333333333334,2366
13.916666666666666,2371
14,2384
14.083333333333334,2393
14.166666666666666,2399
14.25,2407
14.333333333333334,2415
14.416666666666666,2423
14.5,2431
14.583333333333334,2436
14.666666666666666,2443
14.75,2451
14.833333333333334,2455
14.916666666666666,2462
15,2473
15.083333333333334,2480
15.166666666666666,2486
15.25,2494
15.333333333333334,2496
15.416666666666666,2507
15.5,2516
15.583333333333334,2514
15.666666666666666,2526
15.75,2528
15.833333333333334,2536
15.916666666666666,2536
16,2541
16.083333333333332,2547
16.166666666666668,2552
16.25,2549
16.333333333333332,2565
16.416666666666668,2572
16.5,2578
16.583333333333332,2579
16.666666666666668,2581
16.75,2590
16.833333333333332,2589
16.916666666666668,2600
17,2599
17.083333333333332,2596
17.166666666666668,2604
17.25,2613
17.333333333333332,2615
17.416666666666668,2624
17.5,2628
17.583333333333332,2633
17.666666666666668,2637
17.75,2646
17.833333333333332,2658
17.916666666666668,2659
18,2664
18.083333333333332,2665
18.166666666666668,2670
18.25,2674
18.333333333333332,2676
18.416666666666668,2679
18.5,2685
18.583333333333332,2693
18.666666666666668,2693
18.75,2697
18.833333333333332,2696
18.916666666666668,2704
19,2713
19.083333333333332,2716
19.166666666666668,2724
19.25,2728
19.333333333333332,2730
19.416666666666668,2731
19.5,2738
19.583333333333332,2745
19.666666666666668,2749
19.75,2749
19.833333333333332,2750
19.916666666666668,2758
20,2761
20.083333333333332,2766
20.166666666666668,2764
20.25,2769
20.333333333333332,2774
20.416666666666668,2774
20.5,2783
20.583333333333332,2783
20.666666666666668,2783
20.75,2791
20.833333333333332,2796
20.916666666666668,2800
21,2800
21.083333333333332,2803
21.166666666666668,2803
21.25,2806
21.416666666666668,2812
21.5,2816
21.583333333333332,2821
21.666666666666668,2827
21.75,2830
21.833333333333332,2830
21.916666666666668,2833
22,2839
22.083333333333332,2845
22.166666666666668,2851
22.25,2848
22.333333333333332,2849
22.416666666666668,2849
22.5,2863
22.583333333333332,2857
22.666666666666668,2858
22.75,2866
22.833333333333332,2870
22.916666666666668,2881
23,2884
23.083333333333332,2889
23.166666666666668,2896
23.25,2897
23.333333333333332,2903
23.416666666666668,2905
23.5,2906
23.583333333333332,2903
23.666666666666668,2907
23.75,2912
23.833333333333332,2912
23.916666666666668,2916
24,2921
24.083333333333332,2918
24.166666666666668,2923
24.25,2916
24.333333333333332,2926
24.416666666666668,2925
24.5,2926
24.583333333333332,2925
24.666666666666668,2926
24.75,2922
24.833333333333332,2927
24.916666666666668,2936
25,2935
25.083333333333332,2938
25.166666666666668,2936
25.25,2942
25.333333333333332,2941
25.416666666666668,2942
25.5,2939
25.583333333333332,2946
25.666666666666668,2947
25.75,2945
25.833333333333332,2956
25.916666666666668,2952
26,2950
26.083333333333332,2961
26.166666666666668,2961
26.25,2968
26.333333333333332,2966
26.416666666666668,2972
26.5,2970
26.583333333333332,2976
26.666666666666668,2981
26.75,2983
26.833333333333332,2988
26.916666666666668,2989
27,2986
27.083333333333332,2987
27.166666666666668,2988
27.25,2994
27.333333333333332,2991
27.416666666666668,2999
27.5,3000
27.583333333333332,3005
27.666666666666668,3000
27.75,3005
27.833333333333332,3008
27.916666666666668,3004
28,3015
28.083333333333332,3015
28.166666666666668,3012
28.25,3013
28.333333333333332,3012
28.416666666666668,3016
28.5,3013
28.583333333333332,3015
28.666666666666668,3025
28.75,3019
28.833333333333332,3023
28.916666666666668,3025
29,3023
29.083333333333332,3025
29.166666666666668,3030
29.25,3033
29.333333333333332,3030
29.416666666666668,3034
29.5,3031
29.583333333333332,3041
29.666666666666668,3039
29.75,3039
29.833333333333332,3041
29.916666666666668,3046
30,3047
30.083333333333332,3046
30.166666666666668,3045
30.25,3046
30.333333333333332,3043
30.416666666666668,3049
30.5,3049
30.583333333333332,3052
30.666666666666668,3055
30.75,3058
30.833333333333332,3054
30.916666666666668,3056
31,3057
31.083333333333332,3059
31.166666666666668,3064
31.25,3061
31.333333333333332,3061
31.416666666666668,3063
31.5,3069
31.583333333333332,3061
31.666666666666668,3066
31.75,3065
31.833333333333332,3069
31.916666666666668,3069
32,3066
32.083333333333336,3075
32.166666666666664,3074
32.25,3074
32.333333333333336,3080
32.416666666666664,3080
32.5,3081
32.583333333333336,3080
32.666666666666664,3077
32.75,3083
32.833333333333336,3084
32.916666666666664,3085
33,3087
33.083333333333336,3082
33.166666666666664,3088
33.25,3085
33.333333333333336,3092
33.416666666666664,3089
33.5,3086
33.583333333333336,3088
33.666666666666664,3093
33.75,3093
33.833333333333336,3098
33.916666666666664,3092
34,3098
34.083333333333336,3099
34.166666666666664,3102
34.25,3101
34.333333333333336,3103
34.416666666666664,3102
34.5,3104
34.583333333333336,3105
34.666666666666664,3105
34.75,3106
34.833333333333336,3102
34.916666666666664,3111
35,3105
35.083333333333336,3109
35.166666666666664,3106
35.25,3106
35.333333333333336,3113
35.416666666666664,3109
35.5,3109
35.583333333333336,3115
35.666666666666664,3113
35.75,3118
35.833333333333336,3112
35.916666666666664,3118
36,3115
36.083333333333336,3118
36.166666666666664,3119
36.25,3116
36.333333333333336,3126
36.416666666666664,3118
36.5,3118
36.583333333333336,3122
36.666666666666664,3124
36.75,3123
36.833333333333336,3130
36.916666666666664,3129
37,3129
37.083333333333336,3126
37.166666666666664,3129
37.25,3129
37.333333333333336,3128
37.416666666666664,3126
37.5,3123
37.583333333333336,3128
37.666666666666664,3134
37.75,3128
37.833333333333336,3131
37.916666666666664,3134
38,3133
38.083333333333336,3130
38.166666666666664,3131
38.25,3134
38.333333333333336,3134
38.416666666666664,3131
38.5,3137
38.583333333333336,3131
38.666666666666664,3133
38.75,3134
38.833333333333336,3135
38.916666666666664,3138
39,3137
39.083333333333336,3137
39.166666666666664,3139
39.25,3145
39.333333333333336,3139
39.416666666666664,3149
39.5,3148
39.583333333333336,3145
39.666666666666664,3143
39.75,3150
39.833333333333336,3154
39.916666666666664,3147
40,3155
40.083333333333336,3158
40.166666666666664,3155
40.25,3156
40.333333333333336,3150
40.416666666666664,3158
40.5,3162
40.583333333333336,3159
40.666666666666664,3157
40.75,3155
40.833333333333336,3161
40.916666666666664,3153
41,3157
41.083333333333336,3160
41.166666666666664,3161
41.25,3159
41.333333333333336,3157
41.416666666666664,3163
41.5,3160
41.583333333333336,3160
41.666666666666664,3160
41.75,3163
41.833333333333336,3161
41.916666666666664,3160
42,3157
42.083333333333336,3159
42.166666666666664,3156
42.25,3169
42.333333333333336,3163
42.416666666666664,3165
42.5,3161
42.583333333333336,3166
42.666666666666664,3174
42.75,3175
42.833333333333336,3171
42.916666666666664,3175
43,3177
43.083333333333336,3172
43.166666666666664,3174
43.25,3171
43.333333333333336,3175
43.416666666666664,3179
43.5,3175
43.583333333333336,3176
43.666666666666664,3179
43.75,3173
43.833333333333336,3177
43.916666666666664,3175
44,3182
44.083333333333336,3174
44.166666666666664,3176
44.25,3184
44.333333333333336,3180
44.416666666666664,3176
44.5,3174
44.583333333333336,3181
44.666666666666664,3180
44.75,3175
44.833333333333336,3180
44.916666666666664,3180
45,3178
45.083333333333336,3187
45.166666666666664,3181
45.25,3180
45.333333333333336,3182
45.416666666666664,3190
45.5,3190
45.583333333333336,3187
45.666666666666664,3181
45.75,3186
45.833333333333336,3182
45.916666666666664,3189
46,3187
46.083333333333336,3185
46.166666666666664,3189
46.25,3192
46.333333333333336,3190
46.416666666666664,3193
46.5,3193
46.583333333333336,3187
46.666666666666664,3188
46.75,3192
46.833333333333336,3196
46.916666666666664,3192
47,3199
47.083333333333336,3196
47.166666666666664,3191
47.25,3199
47.333333333333336,3196
47.416666666666664,3197
47.5,3197
47.583333333333336,3199
47.666666666666664,3195
47.75,3196
47.833333333333336,3191
47.916666666666664,3196
