"Hours since thread went live","Chainsaw Man - Episode 12 discussion - FINAL"
0,1
0,17
0.08333333333333333,54
0.16666666666666666,104
0.25,178
0.3333333333333333,247
0.4166666666666667,324
0.5,396
0.5833333333333334,464
0.6666666666666666,551
0.75,646
0.8333333333333334,729
0.9166666666666666,832
1,944
1.0833333333333333,1049
1.1666666666666667,1143
1.25,1272
1.3333333333333333,1408
1.4166666666666667,1566
1.5,1710
1.5833333333333333,1876
1.6666666666666667,1999
1.75,2117
1.8333333333333333,2247
1.9166666666666667,2371
2,2483
2.0833333333333335,2612
2.1666666666666665,2722
2.25,2878
2.3333333333333335,2989
2.4166666666666665,3105
2.5,3208
2.5833333333333335,3330
2.6666666666666665,3422
2.75,3509
2.8333333333333335,3601
2.9166666666666665,3728
3,3825
3.0833333333333335,3912
3.1666666666666665,4014
3.25,4113
3.3333333333333335,4180
3.4166666666666665,4262
3.5,4339
3.5833333333333335,4419
3.6666666666666665,4507
3.75,4591
3.8333333333333335,4680
3.9166666666666665,4746
4,4816
4.083333333333333,4895
4.166666666666667,4946
4.25,5036
4.333333333333333,5100
4.416666666666667,5141
4.5,5207
4.583333333333333,5257
4.666666666666667,5322
4.75,5381
4.833333333333333,5448
4.916666666666667,5510
5,5565
5.083333333333333,5618
5.166666666666667,5693
5.25,5757
5.333333333333333,5817
5.416666666666667,5871
5.5,5920
5.583333333333333,5975
5.666666666666667,6044
5.75,6103
5.833333333333333,6159
5.916666666666667,6218
6,6270
6.083333333333333,6320
6.166666666666667,6370
6.25,6420
6.333333333333333,6484
6.416666666666667,6534
6.5,6590
6.583333333333333,6626
6.666666666666667,6690
6.75,6747
6.833333333333333,6781
6.916666666666667,6841
7,6905
7.083333333333333,6951
7.166666666666667,7003
7.25,7043
7.333333333333333,7093
7.416666666666667,7153
7.5,7195
7.583333333333333,7254
7.666666666666667,7277
7.75,7325
7.833333333333333,7381
7.916666666666667,7426
8,7470
8.083333333333334,7526
8.166666666666666,7566
8.25,7609
8.333333333333334,7649
8.416666666666666,7697
8.5,7738
8.583333333333334,7779
8.666666666666666,7823
8.75,7858
8.833333333333334,7904
8.916666666666666,7942
9,7982
9.083333333333334,8010
9.166666666666666,8051
9.25,8077
9.333333333333334,8107
9.416666666666666,8140
9.5,8170
9.583333333333334,8201
9.666666666666666,8233
9.75,8263
9.833333333333334,8297
9.916666666666666,8335
10,8364
10.083333333333334,8400
10.166666666666666,8427
10.25,8453
10.333333333333334,8486
10.416666666666666,8514
10.5,8554
10.583333333333334,8582
10.666666666666666,8637
10.75,8647
10.833333333333334,8683
10.916666666666666,8721
11,8742
11.083333333333334,8776
11.166666666666666,8814
11.25,8843
11.333333333333334,8883
11.416666666666666,8915
11.5,8932
11.583333333333334,8962
11.666666666666666,8991
11.75,9029
11.833333333333334,9048
11.916666666666666,9082
12,9107
12.083333333333334,9138
12.166666666666666,9157
12.25,9189
12.333333333333334,9210
12.416666666666666,9241
12.5,9268
12.583333333333334,9292
12.666666666666666,9310
12.75,9328
12.833333333333334,9360
12.916666666666666,9395
13,9416
13.083333333333334,9446
13.166666666666666,9462
13.25,9496
13.333333333333334,9522
13.416666666666666,9547
13.5,9571
13.583333333333334,9605
13.666666666666666,9625
13.75,9656
13.833333333333334,9682
13.916666666666666,9699
14,9718
14.083333333333334,9734
14.166666666666666,9752
14.25,9774
14.333333333333334,9779
14.416666666666666,9799
14.5,9828
14.583333333333334,9835
14.666666666666666,9851
14.75,9860
14.833333333333334,9871
14.916666666666666,9894
15,9903
15.083333333333334,9931
15.166666666666666,9949
15.25,9970
15.333333333333334,9981
15.416666666666666,10004
15.5,10022
15.583333333333334,10025
15.666666666666666,10055
15.75,10084
15.833333333333334,10089
15.916666666666666,10108
16,10120
16.083333333333332,10128
16.166666666666668,10154
16.25,10162
16.333333333333332,10174
16.416666666666668,10190
16.5,10205
16.583333333333332,10214
16.666666666666668,10237
16.75,10249
16.833333333333332,10262
16.916666666666668,10276
17,10289
17.083333333333332,10314
17.166666666666668,10321
17.25,10333
17.333333333333332,10334
17.416666666666668,10360
17.5,10376
17.583333333333332,10389
17.666666666666668,10403
17.75,10411
17.833333333333332,10420
17.916666666666668,10435
18,10448
18.083333333333332,10466
18.166666666666668,10484
18.25,10494
18.333333333333332,10515
18.416666666666668,10520
18.5,10537
18.583333333333332,10555
18.666666666666668,10561
18.75,10581
18.833333333333332,10582
18.916666666666668,10593
19,10608
19.083333333333332,10612
19.166666666666668,10638
19.25,10639
