"Hours since thread went live","Chainsaw Man - Episode 12 discussion - FINAL"
19.333333333333332,10660
19.416666666666668,10669
19.5,10681
19.583333333333332,10703
19.666666666666668,10711
19.75,10726
19.833333333333332,10746
19.916666666666668,10757
20,10766
20.083333333333332,10787
20.166666666666668,10793
20.25,10806
20.333333333333332,10826
20.416666666666668,10837
20.5,10844
20.583333333333332,10854
20.666666666666668,10871
20.75,10886
20.833333333333332,10910
20.916666666666668,10918
21,10925
21.083333333333332,10944
21.166666666666668,10950
21.25,10966
21.333333333333332,10976
21.416666666666668,10986
21.5,10995
21.583333333333332,10998
21.666666666666668,11010
21.75,11016
21.833333333333332,11026
21.916666666666668,11032
22,11055
22.083333333333332,11058
22.166666666666668,11065
22.25,11082
22.333333333333332,11091
22.416666666666668,11108
22.5,11107
22.583333333333332,11128
22.666666666666668,11138
22.75,11148
22.833333333333332,11143
22.916666666666668,11156
23,11166
23.083333333333332,11166
23.166666666666668,11180
23.25,11188
23.333333333333332,11202
23.416666666666668,11194
23.5,11214
23.583333333333332,11220
23.666666666666668,11232
23.75,11251
23.833333333333332,11255
23.916666666666668,11259
24,11275
24.083333333333332,11281
24.166666666666668,11292
24.25,11302
24.333333333333332,11309
24.416666666666668,11311
24.5,11321
24.583333333333332,11326
24.666666666666668,11324
24.75,11331
24.833333333333332,11342
24.916666666666668,11354
25,11353
25.083333333333332,11361
25.166666666666668,11367
25.25,11369
25.333333333333332,11374
25.416666666666668,11384
25.5,11389
25.583333333333332,11393
25.666666666666668,11396
25.75,11402
25.833333333333332,11406
25.916666666666668,11407
26,11431
26.083333333333332,11426
26.166666666666668,11425
26.25,11436
26.333333333333332,11447
26.416666666666668,11453
26.5,11460
26.583333333333332,11465
26.666666666666668,11466
26.75,11467
26.833333333333332,11485
26.916666666666668,11481
27,11493
27.083333333333332,11492
27.166666666666668,11501
27.25,11504
27.333333333333332,11505
27.416666666666668,11509
27.5,11508
27.583333333333332,11508
27.666666666666668,11524
27.75,11526
27.833333333333332,11530
27.916666666666668,11534
28,11543
28.083333333333332,11539
28.166666666666668,11552
28.25,11546
28.333333333333332,11557
28.416666666666668,11560
28.5,11569
28.583333333333332,11573
28.666666666666668,11577
28.75,11578
28.833333333333332,11593
28.916666666666668,11597
29,11598
29.083333333333332,11603
29.166666666666668,11608
29.25,11612
29.333333333333332,11609
29.416666666666668,11609
29.5,11616
29.583333333333332,11616
29.666666666666668,11624
29.75,11621
29.833333333333332,11620
29.916666666666668,11629
30,11627
30.083333333333332,11633
30.166666666666668,11637
30.25,11638
30.333333333333332,11637
30.416666666666668,11639
30.5,11642
30.583333333333332,11653
30.666666666666668,11652
30.75,11657
30.833333333333332,11663
30.916666666666668,11661
31,11671
31.083333333333332,11665
31.166666666666668,11671
31.25,11685
31.333333333333332,11677
31.416666666666668,11692
31.5,11692
31.583333333333332,11692
31.666666666666668,11695
31.75,11699
31.833333333333332,11705
31.916666666666668,11711
32,11719
32.083333333333336,11723
32.166666666666664,11727
32.25,11720
32.333333333333336,11728
32.416666666666664,11729
32.5,11737
32.583333333333336,11744
32.666666666666664,11736
32.75,11738
32.833333333333336,11737
32.916666666666664,11742
33,11754
33.083333333333336,11745
33.166666666666664,11757
33.25,11761
33.333333333333336,11763
33.416666666666664,11776
33.5,11773
33.583333333333336,11776
33.666666666666664,11780
33.75,11776
33.833333333333336,11775
33.916666666666664,11781
34,11787
34.083333333333336,11787
34.166666666666664,11790
34.25,11797
34.333333333333336,11797
34.416666666666664,11798
34.5,11809
34.583333333333336,11805
34.666666666666664,11806
34.75,11805
34.833333333333336,11812
34.916666666666664,11816
35,11815
35.083333333333336,11819
35.166666666666664,11823
35.25,11824
35.333333333333336,11820
35.416666666666664,11829
35.5,11840
35.583333333333336,11831
35.666666666666664,11846
35.75,11843
35.833333333333336,11848
35.916666666666664,11841
36,11844
36.083333333333336,11851
36.166666666666664,11848
36.25,11857
36.333333333333336,11850
36.416666666666664,11861
36.5,11861
36.583333333333336,11863
36.666666666666664,11860
36.75,11874
36.833333333333336,11866
36.916666666666664,11871
37,11870
37.083333333333336,11876
37.166666666666664,11872
37.25,11883
37.333333333333336,11886
37.416666666666664,11894
37.5,11895
37.583333333333336,11886
37.666666666666664,11886
37.75,11895
37.833333333333336,11895
37.916666666666664,11902
38,11901
38.083333333333336,11910
38.166666666666664,11904
38.25,11910
38.333333333333336,11911
38.416666666666664,11916
38.5,11918
38.583333333333336,11913
38.666666666666664,11925
38.75,11922
38.833333333333336,11928
38.916666666666664,11923
39,11921
39.083333333333336,11923
39.166666666666664,11927
39.25,11928
39.333333333333336,11931
39.416666666666664,11929
39.5,11933
39.583333333333336,11938
39.666666666666664,11947
39.75,11948
39.833333333333336,11944
39.916666666666664,11949
40,11956
40.083333333333336,11948
40.166666666666664,11955
40.25,11961
40.333333333333336,11957
40.416666666666664,11956
40.5,11951
40.583333333333336,11963
40.666666666666664,11958
40.75,11960
40.833333333333336,11960
40.916666666666664,11964
41,11969
41.083333333333336,11971
41.166666666666664,11975
41.25,11969
41.333333333333336,11972
41.416666666666664,11977
41.5,11972
41.583333333333336,11977
41.666666666666664,11976
41.75,11979
41.833333333333336,11974
41.916666666666664,11984
42,11978
42.083333333333336,11978
42.166666666666664,11978
42.25,11985
42.333333333333336,11990
42.416666666666664,11985
42.5,11980
42.583333333333336,11991
42.666666666666664,11987
42.75,11988
42.833333333333336,11990
42.916666666666664,11988
43,11991
43.083333333333336,11993
43.166666666666664,12001
43.25,11995
43.333333333333336,11990
43.416666666666664,12003
43.5,11999
43.583333333333336,12004
43.666666666666664,11999
43.75,12005
43.833333333333336,11999
43.916666666666664,11995
44,12008
44.083333333333336,12007
44.166666666666664,12015
44.25,12013
44.333333333333336,12014
44.416666666666664,12017
44.5,12020
44.583333333333336,12018
44.666666666666664,12016
44.75,12018
44.833333333333336,12021
44.916666666666664,12023
45,12023
45.083333333333336,12020
45.166666666666664,12026
45.25,12029
45.333333333333336,12016
45.416666666666664,12025
45.5,12028
45.583333333333336,12026
45.666666666666664,12027
45.75,12032
45.833333333333336,12031
45.916666666666664,12030
46,12037
46.083333333333336,12040
46.166666666666664,12037
46.25,12033
46.333333333333336,12041
46.416666666666664,12035
46.5,12041
46.583333333333336,12049
46.666666666666664,12047
46.75,12048
46.833333333333336,12044
46.916666666666664,12055
47,12050
47.083333333333336,12051
47.166666666666664,12049
47.25,12050
47.333333333333336,12056
47.416666666666664,12052
47.5,12059
47.583333333333336,12059
47.666666666666664,12059
47.75,12056
47.833333333333336,12062
47.916666666666664,12057
