"Hours since thread went live","Yuuki Bakuhatsu Bang Bravern • Brave Bang Bravern! - Episode 9 discussion"
0,1
0.08333333333333333,2
0.16666666666666666,2
0.25,3
0.3333333333333333,7
0.4166666666666667,11
0.5,12
0.5833333333333334,16
0.6666666666666666,15
0.75,18
0.8333333333333334,19
0.9166666666666666,21
1,24
1.0833333333333333,27
1.1666666666666667,28
1.25,30
1.3333333333333333,34
1.4166666666666667,35
1.5,39
1.5833333333333333,38
1.6666666666666667,41
1.75,42
1.8333333333333333,40
1.9166666666666667,43
2,45
2.0833333333333335,51
2.1666666666666665,51
2.25,55
2.3333333333333335,56
2.4166666666666665,60
2.5,58
2.5833333333333335,61
2.6666666666666665,63
2.75,66
2.8333333333333335,67
2.9166666666666665,67
3,69
3.0833333333333335,72
3.1666666666666665,77
3.25,79
3.3333333333333335,79
3.4166666666666665,84
3.5,86
3.5833333333333335,87
3.6666666666666665,89
3.75,91
3.8333333333333335,90
3.9166666666666665,95
4,96
4.083333333333333,97
4.166666666666667,98
4.25,100
4.333333333333333,102
4.416666666666667,104
4.5,102
4.583333333333333,109
4.666666666666667,108
4.75,113
4.833333333333333,109
4.916666666666667,109
5,113
5.083333333333333,114
5.166666666666667,113
5.25,119
5.333333333333333,119
5.416666666666667,119
5.5,121
5.583333333333333,118
5.666666666666667,125
5.75,125
5.833333333333333,130
5.916666666666667,130
6,130
6.083333333333333,134
6.166666666666667,131
6.25,132
6.333333333333333,132
6.416666666666667,136
6.5,135
6.583333333333333,131
6.666666666666667,135
6.75,139
6.833333333333333,136
6.916666666666667,144
7,143
7.083333333333333,141
7.166666666666667,146
7.25,147
7.333333333333333,143
7.416666666666667,149
7.5,148
7.583333333333333,151
7.666666666666667,150
7.75,151
7.833333333333333,152
7.916666666666667,158
8,156
8.083333333333334,160
8.166666666666666,164
8.25,166
8.333333333333334,165
8.416666666666666,167
8.5,169
8.583333333333334,169
8.666666666666666,177
8.75,176
8.833333333333334,173
8.916666666666666,180
9,183
9.083333333333334,176
9.166666666666666,179
9.25,182
9.333333333333334,183
9.416666666666666,189
9.5,186
9.583333333333334,185
9.666666666666666,188
9.75,187
9.833333333333334,186
9.916666666666666,190
10,187
10.083333333333334,190
10.166666666666666,188
10.25,188
10.333333333333334,191
10.416666666666666,193
10.5,195
10.583333333333334,195
10.666666666666666,200
10.75,201
10.833333333333334,205
10.916666666666666,199
11,208
11.083333333333334,204
11.166666666666666,208
11.25,203
11.333333333333334,207
11.416666666666666,207
11.5,205
11.583333333333334,209
11.666666666666666,209
11.75,213
11.833333333333334,206
11.916666666666666,209
12,212
12.083333333333334,214
12.166666666666666,213
12.25,211
12.333333333333334,213
12.416666666666666,216
12.5,217
12.583333333333334,216
12.666666666666666,213
12.75,214
12.833333333333334,221
12.916666666666666,220
13,215
13.083333333333334,224
13.166666666666666,226
13.25,224
13.333333333333334,224
13.416666666666666,225
13.5,230
13.583333333333334,227
13.666666666666666,224
13.75,229
13.833333333333334,232
13.916666666666666,230
14,230
14.083333333333334,229
14.166666666666666,235
14.25,233
14.333333333333334,236
14.416666666666666,236
14.5,238
14.583333333333334,235
14.666666666666666,236
14.75,233
14.833333333333334,235
14.916666666666666,237
15,237
15.083333333333334,234
15.166666666666666,235
15.25,234
15.333333333333334,240
15.416666666666666,234
15.5,237
15.583333333333334,239
15.666666666666666,239
15.75,238
15.833333333333334,238
15.916666666666666,238
16,238
16.083333333333332,242
16.166666666666668,244
16.25,241
16.333333333333332,243
16.416666666666668,243
16.5,243
16.583333333333332,247
16.666666666666668,243
16.75,241
16.833333333333332,244
16.916666666666668,245
17,246
17.083333333333332,245
17.166666666666668,249
17.25,245
17.333333333333332,250
17.416666666666668,247
17.5,252
17.583333333333332,249
17.666666666666668,250
17.75,248
17.833333333333332,250
17.916666666666668,251
18,250
18.083333333333332,248
18.166666666666668,248
18.25,250
18.333333333333332,250
18.416666666666668,251
18.5,250
18.583333333333332,250
18.666666666666668,253
18.75,251
18.833333333333332,250
18.916666666666668,251
19,253
19.083333333333332,247
19.166666666666668,252
19.25,256
19.333333333333332,256
19.416666666666668,253
19.5,254
19.583333333333332,256
19.666666666666668,254
19.75,254
19.833333333333332,253
19.916666666666668,255
20,253
20.083333333333332,255
20.166666666666668,254
20.25,256
20.333333333333332,257
20.416666666666668,255
20.5,253
20.583333333333332,252
20.666666666666668,257
20.75,255
20.833333333333332,256
20.916666666666668,260
21,257
21.083333333333332,259
21.166666666666668,264
21.25,260
21.333333333333332,258
21.416666666666668,263
21.5,260
21.583333333333332,265
