"Hours since thread went live","Tonari no Youkai-san - Episode 2 discussion"
21.916666666666668,158
22,163
22.083333333333332,162
22.166666666666668,162
22.25,162
22.333333333333332,163
22.416666666666668,161
22.5,161
22.583333333333332,162
22.666666666666668,164
22.75,164
22.833333333333332,162
22.916666666666668,162
23,163
23.083333333333332,162
23.166666666666668,159
23.25,164
23.333333333333332,164
23.416666666666668,163
23.5,159
23.583333333333332,163
23.666666666666668,167
23.75,165
23.833333333333332,171
23.916666666666668,168
24,167
24.083333333333332,165
24.166666666666668,168
24.25,167
24.333333333333332,165
24.416666666666668,167
24.5,169
24.583333333333332,166
24.666666666666668,169
24.75,169
24.833333333333332,169
24.916666666666668,170
25,169
25.083333333333332,166
25.166666666666668,168
25.25,167
25.333333333333332,171
25.416666666666668,167
25.5,168
25.583333333333332,166
25.666666666666668,168
25.75,170
25.833333333333332,172
25.916666666666668,167
26,174
26.083333333333332,170
26.166666666666668,171
26.25,171
26.333333333333332,167
26.416666666666668,168
26.5,169
26.583333333333332,174
26.666666666666668,169
26.75,169
26.833333333333332,166
26.916666666666668,169
27,170
27.083333333333332,169
27.166666666666668,170
27.25,170
27.333333333333332,173
27.416666666666668,172
27.5,169
27.583333333333332,172
27.666666666666668,168
27.75,171
27.833333333333332,172
27.916666666666668,168
28,172
28.083333333333332,172
28.166666666666668,170
28.25,169
28.333333333333332,167
28.416666666666668,171
28.5,169
28.583333333333332,168
28.666666666666668,175
28.75,172
28.833333333333332,170
28.916666666666668,173
29,173
29.083333333333332,169
29.166666666666668,172
29.25,175
29.333333333333332,170
29.416666666666668,170
29.5,171
29.583333333333332,172
29.666666666666668,170
29.75,170
29.833333333333332,172
29.916666666666668,171
30,171
30.083333333333332,173
30.166666666666668,178
30.25,175
30.333333333333332,174
30.416666666666668,171
30.5,174
30.583333333333332,177
30.666666666666668,172
30.75,177
30.833333333333332,171
30.916666666666668,170
31,172
31.083333333333332,178
31.166666666666668,176
31.25,175
31.333333333333332,174
31.416666666666668,173
31.5,176
31.583333333333332,175
31.666666666666668,173
31.75,173
31.833333333333332,173
31.916666666666668,174
32,172
32.083333333333336,175
32.166666666666664,178
32.25,173
32.333333333333336,176
32.416666666666664,175
32.5,177
32.583333333333336,175
32.666666666666664,178
32.75,173
32.833333333333336,173
32.916666666666664,174
33,174
33.083333333333336,175
33.166666666666664,178
33.25,173
33.333333333333336,172
33.416666666666664,176
33.5,178
33.583333333333336,173
33.666666666666664,176
33.75,179
33.833333333333336,176
33.916666666666664,175
34,178
34.083333333333336,178
34.166666666666664,179
34.25,177
34.333333333333336,179
34.416666666666664,176
34.5,177
34.583333333333336,174
34.666666666666664,175
34.75,180
34.833333333333336,175
34.916666666666664,182
35,181
35.083333333333336,174
35.166666666666664,178
35.25,178
35.333333333333336,177
35.416666666666664,179
35.5,176
35.583333333333336,175
35.666666666666664,180
35.75,181
35.833333333333336,178
