"Hours since thread went live","Kaii to Otome to Kamikakushi • Mysterious Disappearances - Episode 2 discussion"
21.75,343
21.833333333333332,343
21.916666666666668,350
22,348
22.083333333333332,349
22.166666666666668,355
22.25,350
22.333333333333332,343
22.416666666666668,349
22.5,345
22.583333333333332,351
22.666666666666668,350
22.75,354
22.833333333333332,352
22.916666666666668,352
23,348
23.083333333333332,355
23.166666666666668,356
23.25,357
23.333333333333332,351
23.416666666666668,357
23.5,356
23.583333333333332,358
23.666666666666668,352
23.75,351
23.833333333333332,355
23.916666666666668,349
24,351
24.083333333333332,354
24.166666666666668,354
24.25,357
24.333333333333332,353
24.416666666666668,351
24.5,356
24.583333333333332,360
24.666666666666668,356
24.75,361
24.833333333333332,360
24.916666666666668,357
25,358
25.083333333333332,352
25.166666666666668,358
25.25,355
25.333333333333332,364
25.416666666666668,360
25.5,361
25.583333333333332,360
25.666666666666668,362
25.75,361
25.833333333333332,358
25.916666666666668,365
26,360
26.083333333333332,363
26.166666666666668,357
26.25,367
26.333333333333332,364
26.416666666666668,363
26.5,361
26.583333333333332,360
26.666666666666668,359
26.75,367
26.833333333333332,361
26.916666666666668,363
27,365
27.083333333333332,367
27.166666666666668,368
27.25,363
27.333333333333332,368
27.416666666666668,363
27.5,363
27.583333333333332,369
27.666666666666668,367
27.75,375
27.833333333333332,369
27.916666666666668,369
28,371
28.083333333333332,370
28.166666666666668,372
28.25,372
28.333333333333332,366
28.416666666666668,372
28.5,370
28.583333333333332,375
28.666666666666668,372
28.75,371
28.833333333333332,377
28.916666666666668,372
29,369
29.083333333333332,369
29.166666666666668,372
29.25,369
29.333333333333332,370
29.416666666666668,377
29.5,372
29.583333333333332,371
29.666666666666668,373
29.75,378
29.833333333333332,375
29.916666666666668,375
30,378
30.083333333333332,376
30.166666666666668,374
30.25,378
30.333333333333332,371
30.416666666666668,376
30.5,380
30.583333333333332,371
30.666666666666668,374
30.75,373
30.833333333333332,377
30.916666666666668,373
31,375
31.083333333333332,382
31.166666666666668,385
31.25,385
31.333333333333332,386
31.416666666666668,381
31.5,384
31.583333333333332,379
31.666666666666668,381
31.75,382
31.833333333333332,381
31.916666666666668,388
32,378
32.083333333333336,383
32.166666666666664,383
32.25,383
32.333333333333336,381
32.416666666666664,389
32.5,380
32.583333333333336,385
32.666666666666664,388
32.75,384
32.833333333333336,379
32.916666666666664,385
33,382
33.083333333333336,385
33.166666666666664,382
33.25,382
33.333333333333336,388
33.416666666666664,388
33.5,382
33.583333333333336,382
33.666666666666664,383
33.75,387
33.833333333333336,385
33.916666666666664,387
34,381
34.083333333333336,384
34.166666666666664,388
34.25,381
34.333333333333336,390
34.416666666666664,382
34.5,384
34.583333333333336,382
34.666666666666664,389
34.75,383
34.833333333333336,387
34.916666666666664,388
35,383
35.083333333333336,383
35.166666666666664,387
35.25,386
35.333333333333336,389
35.416666666666664,390
35.5,392
35.583333333333336,393
35.666666666666664,386
35.75,389
35.833333333333336,384
35.916666666666664,389
36,389
36.083333333333336,385
36.166666666666664,384
36.25,392
36.333333333333336,387
36.416666666666664,393
36.5,394
36.583333333333336,392
36.666666666666664,389
36.75,389
36.833333333333336,391
36.916666666666664,385
37,393
37.083333333333336,385
37.166666666666664,391
37.25,389
37.333333333333336,389
37.416666666666664,386
37.5,387
37.583333333333336,395
37.666666666666664,388
37.75,391
37.833333333333336,394
37.916666666666664,391
38,387
38.083333333333336,389
38.166666666666664,392
38.25,395
38.333333333333336,394
38.416666666666664,386
38.5,395
38.583333333333336,388
38.666666666666664,388
38.75,390
38.833333333333336,387
38.916666666666664,396
39,388
39.083333333333336,391
39.166666666666664,389
39.25,390
39.333333333333336,388
39.416666666666664,390
39.5,388
39.583333333333336,389
39.666666666666664,394
39.75,387
39.833333333333336,389
39.916666666666664,392
40,394
40.083333333333336,392
40.166666666666664,394
40.25,390
40.333333333333336,391
40.416666666666664,387
40.5,389
40.583333333333336,389
40.666666666666664,388
40.75,392
40.833333333333336,389
40.916666666666664,391
41,393
41.083333333333336,395
41.166666666666664,386
41.25,392
41.333333333333336,386
41.416666666666664,398
41.5,393
41.583333333333336,394
41.666666666666664,391
41.75,392
41.833333333333336,389
41.916666666666664,391
42,394
42.083333333333336,393
42.166666666666664,389
42.25,390
42.333333333333336,389
42.416666666666664,388
42.5,394
42.583333333333336,392
42.666666666666664,389
42.75,392
42.833333333333336,387
42.916666666666664,392
43,394
43.083333333333336,392
43.166666666666664,394
43.25,397
43.333333333333336,397
43.416666666666664,393
43.5,394
43.583333333333336,392
43.666666666666664,392
43.75,397
43.833333333333336,393
43.916666666666664,394
44,390
44.083333333333336,394
44.166666666666664,399
44.25,394
44.333333333333336,391
44.416666666666664,387
44.5,395
44.583333333333336,396
44.666666666666664,395
44.75,387
44.833333333333336,393
44.916666666666664,396
45,394
45.083333333333336,388
45.166666666666664,392
45.25,390
45.333333333333336,391
45.416666666666664,394
45.5,392
45.583333333333336,399
45.666666666666664,396
45.75,393
45.833333333333336,389
45.916666666666664,395
46,387
46.083333333333336,392
46.166666666666664,394
46.25,393
46.333333333333336,393
46.416666666666664,392
46.5,395
46.583333333333336,397
46.666666666666664,395
46.75,392
46.833333333333336,391
46.916666666666664,396
47,400
47.083333333333336,394
47.166666666666664,390
47.25,393
47.333333333333336,391
47.416666666666664,395
47.5,397
47.583333333333336,397
47.666666666666664,396
47.75,399
47.833333333333336,395
47.916666666666664,397
