"Hours since thread went live","The Fable - Episode 3 discussion"
24.416666666666668,219
24.5,218
24.583333333333332,216
24.666666666666668,219
24.75,216
24.833333333333332,217
24.916666666666668,220
25,218
25.083333333333332,219
25.166666666666668,221
25.25,222
25.333333333333332,218
25.416666666666668,217
25.5,220
25.583333333333332,218
25.666666666666668,217
25.75,218
25.833333333333332,217
25.916666666666668,217
26,220
26.083333333333332,220
26.166666666666668,220
26.25,219
26.333333333333332,221
26.416666666666668,218
26.5,218
26.583333333333332,221
26.666666666666668,220
26.75,224
26.833333333333332,222
26.916666666666668,221
27,221
27.083333333333332,219
27.166666666666668,221
27.25,220
27.333333333333332,222
27.416666666666668,221
27.5,219
27.583333333333332,219
27.666666666666668,222
27.75,222
27.833333333333332,223
27.916666666666668,220
28,221
28.083333333333332,223
28.166666666666668,221
28.25,225
28.333333333333332,226
28.416666666666668,224
28.5,221
28.583333333333332,222
28.666666666666668,221
28.75,219
28.833333333333332,224
28.916666666666668,224
29,223
29.083333333333332,226
29.166666666666668,224
29.333333333333332,220
29.416666666666668,221
29.5,221
29.583333333333332,224
29.666666666666668,224
29.75,225
29.833333333333332,223
29.916666666666668,227
30,227
30.083333333333332,225
30.166666666666668,229
30.25,223
30.333333333333332,227
30.416666666666668,224
30.5,224
30.583333333333332,227
30.666666666666668,226
30.75,225
30.833333333333332,228
30.916666666666668,225
31,228
31.083333333333332,230
31.166666666666668,228
31.25,228
31.333333333333332,228
31.416666666666668,227
31.5,231
31.583333333333332,232
31.666666666666668,232
31.75,230
31.833333333333332,229
31.916666666666668,231
32,227
32.083333333333336,232
32.166666666666664,232
32.25,232
32.333333333333336,232
32.416666666666664,233
32.5,230
32.583333333333336,228
32.666666666666664,230
32.75,229
32.833333333333336,229
32.916666666666664,233
33,232
33.083333333333336,231
33.166666666666664,229
33.25,232
33.333333333333336,230
33.416666666666664,233
33.5,228
33.583333333333336,230
33.666666666666664,232
33.75,233
33.833333333333336,230
33.916666666666664,232
34,232
34.083333333333336,232
34.166666666666664,232
34.25,228
34.333333333333336,230
34.416666666666664,234
34.5,228
34.583333333333336,233
34.666666666666664,232
34.75,232
34.833333333333336,233
34.916666666666664,235
35,233
35.083333333333336,234
35.166666666666664,234
35.25,234
35.333333333333336,230
35.416666666666664,230
35.5,235
35.583333333333336,234
35.666666666666664,232
35.75,232
35.833333333333336,231
35.916666666666664,235
36,236
36.083333333333336,233
36.166666666666664,231
36.25,234
36.333333333333336,232
36.416666666666664,236
36.5,230
36.583333333333336,233
36.666666666666664,233
36.75,235
36.833333333333336,232
36.916666666666664,231
37,232
37.083333333333336,234
37.166666666666664,231
37.25,234
37.333333333333336,232
37.416666666666664,232
37.5,233
37.583333333333336,229
37.666666666666664,232
37.75,232
37.833333333333336,232
37.916666666666664,234
38,228
38.083333333333336,234
38.166666666666664,231
38.25,235
38.333333333333336,230
38.416666666666664,234
38.5,233
38.583333333333336,236
38.666666666666664,232
38.75,235
38.833333333333336,235
38.916666666666664,235
39,232
39.083333333333336,231
39.166666666666664,236
39.25,238
39.333333333333336,237
39.416666666666664,235
39.5,235
39.583333333333336,231
39.666666666666664,234
39.75,234
39.833333333333336,232
39.916666666666664,238
40,233
40.083333333333336,235
40.166666666666664,236
40.25,238
40.333333333333336,235
40.416666666666664,234
40.5,233
40.583333333333336,235
40.666666666666664,237
40.75,236
40.833333333333336,234
40.916666666666664,237
41,234
41.083333333333336,233
41.166666666666664,232
41.25,237
41.333333333333336,235
41.416666666666664,235
41.5,236
41.583333333333336,234
41.666666666666664,232
41.75,238
41.833333333333336,232
41.916666666666664,236
42,235
42.083333333333336,234
42.166666666666664,240
42.25,239
42.333333333333336,236
42.416666666666664,235
42.5,235
42.583333333333336,234
42.666666666666664,239
42.75,236
42.833333333333336,237
42.916666666666664,238
43,239
43.083333333333336,240
43.166666666666664,236
43.25,236
43.333333333333336,241
43.416666666666664,236
43.5,239
43.583333333333336,236
43.666666666666664,237
43.75,238
43.833333333333336,238
43.916666666666664,235
44,240
44.083333333333336,237
44.166666666666664,237
44.25,235
44.333333333333336,236
44.416666666666664,239
44.5,237
44.583333333333336,236
44.666666666666664,240
44.75,239
44.833333333333336,240
44.916666666666664,241
45,235
45.083333333333336,240
45.166666666666664,238
45.25,241
45.333333333333336,236
45.416666666666664,239
45.5,240
45.583333333333336,242
45.666666666666664,240
45.75,241
45.833333333333336,236
45.916666666666664,240
46,242
46.083333333333336,237
46.166666666666664,239
46.25,240
46.333333333333336,240
46.416666666666664,238
46.5,237
46.583333333333336,239
46.666666666666664,240
46.75,242
46.833333333333336,239
46.916666666666664,238
47,242
47.083333333333336,241
47.166666666666664,239
47.25,240
47.333333333333336,236
47.416666666666664,237
47.5,239
47.583333333333336,239
47.666666666666664,241
47.75,237
47.833333333333336,239
47.916666666666664,239
