"Hours since thread went live","High Card Season 2 - Episode 22 discussion"
0,1
0,1
0.08333333333333333,1
0.16666666666666666,1
0.25,1
0.3333333333333333,2
0.4166666666666667,2
0.5,1
0.5833333333333334,2
0.6666666666666666,2
0.75,2
0.8333333333333334,2
0.9166666666666666,4
1,4
1.0833333333333333,4
1.1666666666666667,4
1.25,4
1.3333333333333333,5
1.4166666666666667,7
1.5,5
1.5833333333333333,9
1.6666666666666667,10
1.75,10
1.8333333333333333,11
1.9166666666666667,10
2,11
2.0833333333333335,12
2.1666666666666665,14
2.25,16
2.3333333333333335,16
2.4166666666666665,14
2.5,15
2.5833333333333335,16
2.6666666666666665,16
2.75,19
2.8333333333333335,18
2.9166666666666665,16
3,17
3.0833333333333335,18
3.1666666666666665,19
3.25,19
3.3333333333333335,19
3.4166666666666665,21
3.5,20
3.5833333333333335,21
3.6666666666666665,20
3.75,27
3.8333333333333335,24
3.9166666666666665,25
4,27
4.083333333333333,27
4.166666666666667,25
4.25,28
4.333333333333333,27
4.416666666666667,28
4.5,29
4.583333333333333,28
4.666666666666667,29
4.75,29
4.833333333333333,28
4.916666666666667,30
5,28
5.083333333333333,29
5.166666666666667,29
5.25,30
5.333333333333333,32
5.416666666666667,31
5.5,30
5.583333333333333,29
5.666666666666667,29
5.75,29
5.833333333333333,32
5.916666666666667,32
6,32
6.083333333333333,29
6.166666666666667,30
6.25,33
6.333333333333333,28
6.416666666666667,30
6.5,31
6.583333333333333,31
6.666666666666667,32
6.75,36
6.833333333333333,31
6.916666666666667,36
7,32
7.083333333333333,37
7.166666666666667,33
7.25,33
7.333333333333333,36
7.416666666666667,36
7.5,38
7.583333333333333,38
7.666666666666667,42
7.75,39
7.833333333333333,42
7.916666666666667,40
8,40
8.083333333333334,42
8.166666666666666,38
8.25,41
8.333333333333334,43
8.416666666666666,44
8.5,40
8.583333333333334,41
8.666666666666666,41
8.75,41
8.833333333333334,44
8.916666666666666,38
9,40
9.083333333333334,40
9.166666666666666,41
9.25,42
9.333333333333334,43
9.416666666666666,45
9.5,44
9.583333333333334,43
9.666666666666666,43
9.75,44
9.833333333333334,44
9.916666666666666,44
10,42
10.083333333333334,41
10.166666666666666,41
10.25,45
10.333333333333334,48
10.416666666666666,47
10.5,46
10.583333333333334,46
10.666666666666666,44
10.75,51
10.833333333333334,45
10.916666666666666,48
11,47
11.083333333333334,48
11.166666666666666,49
11.25,45
11.333333333333334,46
11.416666666666666,47
11.5,47
11.583333333333334,44
11.666666666666666,50
11.75,46
11.833333333333334,47
11.916666666666666,49
12,53
12.083333333333334,51
12.166666666666666,48
12.25,47
12.333333333333334,55
12.416666666666666,50
12.5,52
12.583333333333334,52
12.666666666666666,54
12.75,50
12.833333333333334,53
12.916666666666666,56
13,57
13.083333333333334,54
13.166666666666666,53
13.25,50
13.333333333333334,53
13.416666666666666,50
13.5,55
13.583333333333334,49
13.666666666666666,50
13.75,52
13.833333333333334,54
13.916666666666666,56
14,54
14.083333333333334,56
14.166666666666666,53
14.25,56
14.333333333333334,56
14.416666666666666,57
14.5,58
14.583333333333334,54
14.666666666666666,58
14.75,55
14.833333333333334,61
14.916666666666666,54
15,58
15.083333333333334,54
15.166666666666666,60
15.25,55
15.333333333333334,61
15.416666666666666,60
15.5,59
15.583333333333334,56
15.666666666666666,59
15.75,56
15.833333333333334,55
15.916666666666666,61
16,62
16.083333333333332,58
16.166666666666668,59
16.25,58
16.333333333333332,59
16.416666666666668,60
16.5,57
16.583333333333332,55
16.666666666666668,55
16.75,59
16.833333333333332,59
16.916666666666668,57
17,59
17.083333333333332,59
17.166666666666668,61
17.25,58
17.333333333333332,61
17.416666666666668,63
17.5,59
17.583333333333332,62
17.666666666666668,61
17.75,62
17.833333333333332,61
17.916666666666668,62
18,58
18.083333333333332,58
18.166666666666668,60
18.25,62
18.333333333333332,57
18.416666666666668,59
18.5,57
18.583333333333332,59
18.666666666666668,59
18.75,61
18.833333333333332,63
18.916666666666668,59
19,64
19.083333333333332,64
19.166666666666668,65
19.25,64
19.333333333333332,63
19.416666666666668,59
19.5,63
19.583333333333332,62
19.666666666666668,60
19.75,62
19.833333333333332,61
19.916666666666668,61
20,62
20.083333333333332,58
20.166666666666668,63
20.25,63
20.333333333333332,60
20.416666666666668,63
20.5,64
20.583333333333332,65
20.666666666666668,64
20.75,63
20.833333333333332,60
20.916666666666668,64
21,65
21.083333333333332,64
21.166666666666668,64
21.25,64
21.333333333333332,67
21.416666666666668,66
21.5,66
21.583333333333332,68
21.666666666666668,65
21.75,64
21.833333333333332,66
21.916666666666668,66
22,68
22.083333333333332,66
22.166666666666668,70
22.25,67
22.333333333333332,66
22.416666666666668,66
22.5,63
22.583333333333332,68
22.666666666666668,70
22.75,66
22.833333333333332,66
22.916666666666668,68
23,65
23.083333333333332,66
23.166666666666668,63
23.25,67
23.333333333333332,68
23.416666666666668,71
23.5,69
23.583333333333332,68
23.666666666666668,68
23.75,65
23.833333333333332,66
23.916666666666668,65
24,69
24.083333333333332,67
24.166666666666668,66
24.25,70
24.333333333333332,68
24.416666666666668,68
24.5,70
24.583333333333332,72
24.666666666666668,67
24.75,69
24.833333333333332,67
24.916666666666668,68
25,70
25.083333333333332,72
25.166666666666668,70
25.25,67
25.333333333333332,72
25.416666666666668,68
25.5,70
25.583333333333332,67
25.666666666666668,69
25.75,68
25.833333333333332,67
25.916666666666668,69
26,73
26.083333333333332,73
26.166666666666668,69
26.25,71
26.333333333333332,67
26.416666666666668,68
26.5,67
26.583333333333332,70
26.666666666666668,69
26.75,66
26.833333333333332,69
26.916666666666668,67
27,72
27.083333333333332,71
27.166666666666668,68
27.25,69
27.333333333333332,73
27.416666666666668,72
27.5,70
27.583333333333332,69
27.666666666666668,68
27.75,68
27.833333333333332,69
27.916666666666668,70
28,69
28.083333333333332,72
28.166666666666668,72
28.25,72
28.333333333333332,76
28.416666666666668,71
28.5,72
28.583333333333332,72
28.666666666666668,74
28.75,73
28.833333333333332,71
28.916666666666668,72
29,75
29.083333333333332,69
29.166666666666668,74
29.25,73
29.333333333333332,68
29.416666666666668,71
29.5,70
29.583333333333332,73
29.666666666666668,74
29.75,72
29.833333333333332,73
29.916666666666668,70
30,75
30.083333333333332,70
30.166666666666668,74
30.25,73
30.333333333333332,71
30.416666666666668,76
30.5,73
30.583333333333332,71
30.666666666666668,75
30.75,71
30.833333333333332,72
30.916666666666668,70
31,71
31.083333333333332,72
31.166666666666668,71
31.25,68
31.333333333333332,70
31.416666666666668,76
31.5,71
31.583333333333332,69
31.666666666666668,71
31.75,72
31.833333333333332,71
31.916666666666668,72
32,70
32.083333333333336,71
32.166666666666664,70
32.25,71
32.333333333333336,71
32.416666666666664,72
32.5,76
32.583333333333336,71
32.666666666666664,75
32.75,72
32.833333333333336,71
32.916666666666664,68
33,70
33.083333333333336,75
33.166666666666664,75
33.25,73
33.333333333333336,71
33.416666666666664,72
33.5,73
33.583333333333336,75
33.666666666666664,73
33.75,72
33.833333333333336,70
33.916666666666664,73
34,76
34.083333333333336,70
34.166666666666664,68
34.25,72
34.333333333333336,76
34.416666666666664,71
34.5,72
34.583333333333336,74
34.666666666666664,73
34.75,72
34.833333333333336,74
34.916666666666664,70
35,72
35.083333333333336,72
35.166666666666664,68
35.25,71
35.333333333333336,70
35.416666666666664,75
35.5,72
35.583333333333336,75
35.666666666666664,73
35.75,69
35.833333333333336,69
35.916666666666664,69
36,73
36.083333333333336,73
36.166666666666664,71
36.25,75
36.333333333333336,74
36.416666666666664,73
36.5,70
36.583333333333336,71
36.666666666666664,71
36.75,70
36.833333333333336,72
36.916666666666664,69
37,73
37.083333333333336,69
37.166666666666664,69
37.25,70
37.333333333333336,75
37.416666666666664,74
37.5,72
37.583333333333336,71
37.666666666666664,72
37.75,74
37.833333333333336,73
37.916666666666664,73
38,72
38.083333333333336,70
38.166666666666664,71
38.25,69
38.333333333333336,75
38.416666666666664,73
38.5,73
38.583333333333336,75
38.666666666666664,76
38.75,72
38.833333333333336,73
38.916666666666664,69
39,72
39.083333333333336,71
