"Hours since thread went live","Nozomanu Fushi no Boukensha • The Unwanted Undead Adventurer - Episode 8 discussion"
0,3
0.08333333333333333,4
0.16666666666666666,5
0.25,10
0.3333333333333333,14
0.4166666666666667,15
0.5,19
0.5833333333333334,27
0.6666666666666666,32
0.75,37
0.8333333333333334,41
0.9166666666666666,47
1,53
1.0833333333333333,60
1.1666666666666667,64
1.25,66
1.3333333333333333,67
1.4166666666666667,74
1.5,75
1.5833333333333333,85
1.6666666666666667,86
1.75,91
1.8333333333333333,95
1.9166666666666667,97
2,102
2.0833333333333335,108
2.1666666666666665,113
2.25,115
2.3333333333333335,117
2.4166666666666665,123
2.5,127
2.5833333333333335,130
2.6666666666666665,140
2.75,145
2.8333333333333335,152
2.9166666666666665,155
3,160
3.0833333333333335,162
3.1666666666666665,165
3.25,168
3.3333333333333335,170
3.4166666666666665,173
3.5,175
3.5833333333333335,180
3.6666666666666665,183
3.75,187
3.8333333333333335,189
3.9166666666666665,191
4,194
4.083333333333333,196
4.166666666666667,196
4.25,203
4.333333333333333,202
4.416666666666667,206
4.5,206
4.583333333333333,209
4.666666666666667,210
4.75,216
4.833333333333333,222
4.916666666666667,221
5,220
5.083333333333333,226
5.166666666666667,230
5.25,229
5.333333333333333,232
5.416666666666667,243
5.5,238
5.583333333333333,241
5.666666666666667,246
5.75,249
5.833333333333333,243
5.916666666666667,249
6,248
6.083333333333333,252
6.166666666666667,257
6.25,257
6.333333333333333,262
6.416666666666667,264
6.5,268
6.583333333333333,268
6.666666666666667,271
6.75,274
6.833333333333333,273
6.916666666666667,282
7,282
7.083333333333333,285
7.166666666666667,289
7.25,285
7.333333333333333,289
7.416666666666667,291
7.5,297
7.583333333333333,298
7.666666666666667,296
7.75,302
7.833333333333333,297
7.916666666666667,298
8,307
8.083333333333334,305
8.166666666666666,309
8.25,316
8.333333333333334,322
8.416666666666666,319
8.5,320
8.583333333333334,325
8.666666666666666,321
8.75,329
8.833333333333334,325
8.916666666666666,329
9,330
9.083333333333334,331
9.166666666666666,338
9.25,334
9.333333333333334,342
9.416666666666666,344
9.5,342
9.583333333333334,343
9.666666666666666,345
9.75,342
9.833333333333334,345
9.916666666666666,345
10,352
10.083333333333334,346
10.166666666666666,352
10.333333333333334,354
10.416666666666666,349
10.5,353
10.583333333333334,350
10.666666666666666,356
10.75,354
10.833333333333334,359
10.916666666666666,362
11,369
11.083333333333334,361
11.166666666666666,367
11.25,359
11.333333333333334,364
11.416666666666666,367
11.5,373
11.583333333333334,377
11.666666666666666,378
11.75,374
11.833333333333334,372
11.916666666666666,377
12,379
12.083333333333334,376
12.166666666666666,387
12.25,385
12.333333333333334,381
12.416666666666666,387
12.5,391
12.583333333333334,385
12.666666666666666,389
12.75,392
12.833333333333334,389
12.916666666666666,394
13,394
13.083333333333334,396
13.166666666666666,399
13.25,399
13.333333333333334,397
13.416666666666666,402
13.5,400
13.583333333333334,405
13.666666666666666,407
13.75,408
13.833333333333334,403
13.916666666666666,409
14,413
14.083333333333334,411
14.166666666666666,410
14.25,412
14.333333333333334,410
14.416666666666666,412
14.5,413
14.583333333333334,412
14.666666666666666,413
14.75,413
14.833333333333334,420
14.916666666666666,420
15,421
15.083333333333334,417
15.166666666666666,417
15.25,423
15.333333333333334,424
15.416666666666666,425
15.5,424
15.583333333333334,424
15.666666666666666,422
15.75,429
15.833333333333334,422
15.916666666666666,426
16,421
16.083333333333332,423
16.166666666666668,423
16.25,430
16.333333333333332,433
16.416666666666668,428
16.5,431
16.583333333333332,425
16.666666666666668,429
16.75,431
16.833333333333332,429
16.916666666666668,429
17,438
17.083333333333332,433
17.166666666666668,437
17.25,434
17.333333333333332,433
17.416666666666668,433
17.5,439
17.583333333333332,435
17.666666666666668,439
17.75,440
17.833333333333332,440
17.916666666666668,440
18,440
18.083333333333332,441
18.166666666666668,446
18.25,440
18.333333333333332,438
18.416666666666668,438
18.5,438
18.583333333333332,446
18.666666666666668,442
18.75,440
18.833333333333332,444
18.916666666666668,444
19,446
19.083333333333332,448
19.166666666666668,451
19.25,443
19.333333333333332,446
19.416666666666668,447
19.5,447
19.583333333333332,443
19.666666666666668,452
19.75,449
19.833333333333332,444
19.916666666666668,454
20,447
20.083333333333332,449
20.166666666666668,449
20.25,455
20.333333333333332,449
20.416666666666668,454
20.5,448
20.583333333333332,453
20.666666666666668,450
20.75,456
20.833333333333332,456
20.916666666666668,453
21,453
21.083333333333332,462
21.166666666666668,453
21.25,453
21.333333333333332,460
21.416666666666668,455
21.5,460
21.583333333333332,457
21.666666666666668,461
21.75,463
21.833333333333332,460
21.916666666666668,469
22,464
22.083333333333332,469
22.166666666666668,469
22.25,462
22.333333333333332,464
22.416666666666668,468
22.5,465
22.583333333333332,465
22.666666666666668,467
22.75,473
22.833333333333332,463
22.916666666666668,465
23,472
23.083333333333332,470
23.166666666666668,469
23.25,467
23.333333333333332,470
23.416666666666668,472
23.5,468
23.583333333333332,464
23.666666666666668,473
23.75,471
23.833333333333332,475
23.916666666666668,468
24,469
24.083333333333332,469
24.166666666666668,474
24.25,468
24.333333333333332,471
24.416666666666668,474
24.5,476
24.583333333333332,479
24.666666666666668,478
24.75,473
24.833333333333332,471
24.916666666666668,474
25,478
25.083333333333332,476
25.166666666666668,472
25.25,479
25.333333333333332,472
25.416666666666668,476
25.5,473
25.583333333333332,482
25.666666666666668,481
25.75,482
25.833333333333332,477
25.916666666666668,482
26,480
26.083333333333332,485
26.166666666666668,480
26.25,481
26.333333333333332,477
26.416666666666668,482
26.5,481
26.583333333333332,481
26.666666666666668,482
26.75,486
26.833333333333332,480
26.916666666666668,482
27,485
27.083333333333332,486
27.166666666666668,483
27.25,485
27.333333333333332,480
27.416666666666668,482
27.5,484
27.583333333333332,488
27.666666666666668,484
27.75,490
27.833333333333332,491
27.916666666666668,482
28,486
28.083333333333332,485
28.166666666666668,481
28.25,485
28.333333333333332,481
28.416666666666668,485
28.5,483
28.583333333333332,486
28.666666666666668,492
28.75,485
28.833333333333332,482
28.916666666666668,490
29,484
29.083333333333332,492
29.166666666666668,488
29.25,485
29.333333333333332,489
29.416666666666668,486
29.5,489
29.583333333333332,485
29.666666666666668,488
29.75,487
29.833333333333332,490
29.916666666666668,490
30,494
30.083333333333332,490
30.166666666666668,489
30.25,491
30.333333333333332,493
30.416666666666668,490
30.5,488
30.583333333333332,491
30.666666666666668,489
30.75,490
30.833333333333332,489
30.916666666666668,496
31,493
31.083333333333332,487
31.166666666666668,493
31.25,496
31.333333333333332,491
31.416666666666668,492
31.5,498
31.583333333333332,495
31.666666666666668,490
31.75,490
31.833333333333332,489
31.916666666666668,494
32,492
32.083333333333336,494
32.166666666666664,496
32.25,498
32.333333333333336,498
32.416666666666664,495
32.5,496
32.583333333333336,495
32.666666666666664,496
32.75,499
32.833333333333336,496
32.916666666666664,491
33,495
33.083333333333336,496
33.166666666666664,494
33.25,499
33.333333333333336,495
33.416666666666664,495
33.5,499
33.583333333333336,495
33.666666666666664,504
33.75,502
33.833333333333336,497
33.916666666666664,501
34,499
34.083333333333336,503
34.166666666666664,496
34.25,494
34.333333333333336,497
34.416666666666664,500
34.5,499
34.583333333333336,495
34.666666666666664,501
34.75,498
34.833333333333336,499
34.916666666666664,500
35,500
35.083333333333336,498
35.166666666666664,494
35.25,500
35.333333333333336,493
35.416666666666664,499
35.5,500
35.583333333333336,504
35.666666666666664,499
35.75,494
35.833333333333336,501
35.916666666666664,494
36,502
36.083333333333336,494
36.166666666666664,499
36.25,503
36.333333333333336,502
36.416666666666664,494
36.5,501
36.583333333333336,494
36.666666666666664,501
36.75,499
36.833333333333336,501
36.916666666666664,503
37,504
37.083333333333336,502
37.166666666666664,499
37.25,500
37.333333333333336,496
37.416666666666664,499
37.5,500
37.583333333333336,503
37.666666666666664,499
37.75,501
37.833333333333336,501
37.916666666666664,505
38,505
38.083333333333336,496
38.166666666666664,500
38.25,498
38.333333333333336,498
38.416666666666664,497
38.5,505
38.583333333333336,499
38.666666666666664,497
38.75,497
38.833333333333336,500
38.916666666666664,499
39,498
39.083333333333336,501
39.166666666666664,503
39.25,500
39.333333333333336,501
39.416666666666664,506
39.5,502
39.583333333333336,503
39.666666666666664,500
39.75,504
39.833333333333336,497
39.916666666666664,498
40,504
40.083333333333336,501
40.166666666666664,500
40.25,500
40.333333333333336,504
40.416666666666664,509
40.5,499
40.583333333333336,505
40.666666666666664,504
40.75,499
40.833333333333336,502
40.916666666666664,504
41,503
41.083333333333336,505
41.166666666666664,503
41.25,506
41.333333333333336,501
41.416666666666664,503
41.5,508
41.583333333333336,507
41.666666666666664,507
41.75,505
41.833333333333336,504
41.916666666666664,507
42,507
42.083333333333336,504
42.166666666666664,502
42.25,507
42.333333333333336,506
42.416666666666664,507
42.5,505
42.583333333333336,502
42.666666666666664,512
42.75,510
42.833333333333336,505
42.916666666666664,511
43,506
43.083333333333336,512
43.166666666666664,510
43.25,506
43.333333333333336,509
43.416666666666664,511
43.5,512
43.583333333333336,509
43.666666666666664,510
43.75,511
43.833333333333336,512
43.916666666666664,512
44,514
44.083333333333336,504
44.166666666666664,502
44.25,509
44.333333333333336,508
44.416666666666664,512
44.5,506
44.583333333333336,506
44.666666666666664,511
44.75,511
44.833333333333336,509
44.916666666666664,512
45,506
45.083333333333336,509
45.166666666666664,509
45.25,508
45.333333333333336,509
45.416666666666664,509
45.5,508
