"Hours since thread went live","Girls Band Cry - Episode 8 discussion"
18.333333333333332,804
18.416666666666668,802
18.5,804
18.583333333333332,809
18.666666666666668,808
18.75,809
18.833333333333332,806
18.916666666666668,811
19,817
19.083333333333332,811
19.166666666666668,812
19.25,814
19.333333333333332,813
19.416666666666668,825
19.5,819
19.583333333333332,817
19.666666666666668,824
19.75,823
19.833333333333332,825
19.916666666666668,823
20,833
20.083333333333332,830
20.166666666666668,831
20.25,829
20.333333333333332,831
20.416666666666668,835
20.5,832
20.583333333333332,836
20.666666666666668,839
20.75,835
20.833333333333332,843
20.916666666666668,840
21,838
21.083333333333332,846
21.166666666666668,847
21.25,843
21.333333333333332,844
21.416666666666668,843
21.5,843
21.583333333333332,850
21.666666666666668,846
21.75,846
21.833333333333332,849
21.916666666666668,848
22,848
22.083333333333332,846
22.166666666666668,849
22.25,854
22.333333333333332,852
22.416666666666668,849
22.5,853
22.583333333333332,855
22.666666666666668,856
22.75,857
22.833333333333332,858
22.916666666666668,857
23,859
23.083333333333332,862
23.166666666666668,856
23.25,863
23.333333333333332,864
23.416666666666668,863
23.5,865
23.583333333333332,865
23.666666666666668,863
23.75,861
23.833333333333332,864
23.916666666666668,864
24,874
24.083333333333332,872
24.166666666666668,869
24.25,866
24.333333333333332,870
24.416666666666668,873
24.5,870
24.583333333333332,878
24.666666666666668,875
24.75,873
24.833333333333332,877
24.916666666666668,879
25,876
25.083333333333332,875
25.166666666666668,877
25.25,873
25.333333333333332,881
25.416666666666668,879
25.5,881
25.583333333333332,884
25.666666666666668,882
25.75,882
25.833333333333332,887
25.916666666666668,886
26,887
26.083333333333332,884
26.166666666666668,887
26.25,885
26.333333333333332,889
26.416666666666668,886
26.5,887
26.583333333333332,886
26.666666666666668,887
26.75,893
26.833333333333332,890
26.916666666666668,886
27,889
27.083333333333332,889
27.166666666666668,884
27.25,888
27.333333333333332,891
27.416666666666668,890
27.5,890
27.583333333333332,889
27.666666666666668,898
27.75,894
27.833333333333332,897
27.916666666666668,895
28,889
28.083333333333332,895
28.166666666666668,904
28.25,899
28.333333333333332,900
28.416666666666668,901
28.5,901
28.583333333333332,901
28.666666666666668,899
28.75,904
28.833333333333332,906
28.916666666666668,904
29,909
29.083333333333332,901
29.166666666666668,902
29.25,904
29.333333333333332,906
29.416666666666668,904
29.5,901
29.583333333333332,904
29.666666666666668,907
29.75,907
29.833333333333332,908
29.916666666666668,905
30,908
30.083333333333332,913
30.166666666666668,909
30.25,908
30.333333333333332,903
30.416666666666668,908
30.5,905
30.583333333333332,909
30.666666666666668,906
30.75,911
30.833333333333332,914
30.916666666666668,909
31,910
31.083333333333332,917
31.166666666666668,913
31.25,916
31.333333333333332,912
31.416666666666668,915
