"Hours since thread went live","Pon no Michi • The Way of Pon - Episode 10 discussion"
40.5,54
40.583333333333336,55
40.666666666666664,57
40.75,55
40.833333333333336,58
40.916666666666664,54
41,55
41.083333333333336,53
41.25,54
41.25,55
41.333333333333336,54
41.416666666666664,52
41.5,54
41.583333333333336,53
41.75,55
41.75,50
41.833333333333336,57
41.916666666666664,56
42,54
42.083333333333336,55
42.25,50
42.25,56
42.333333333333336,54
42.416666666666664,55
42.5,53
42.583333333333336,57
42.666666666666664,58
42.75,55
42.833333333333336,54
42.916666666666664,50
43,56
43.083333333333336,57
43.25,55
43.25,57
43.416666666666664,53
43.416666666666664,57
43.5,56
43.583333333333336,54
43.666666666666664,53
43.75,51
43.833333333333336,53
43.916666666666664,56
44,52
44.083333333333336,53
44.25,56
44.25,54
44.333333333333336,53
44.416666666666664,57
44.583333333333336,58
44.583333333333336,59
44.666666666666664,54
44.75,55
44.833333333333336,51
44.916666666666664,54
45,53
45.083333333333336,55
45.25,55
45.25,51
45.333333333333336,54
45.416666666666664,56
45.5,55
45.583333333333336,58
45.666666666666664,51
45.75,56
45.833333333333336,55
45.916666666666664,52
46,56
46.083333333333336,55
46.25,57
46.25,57
46.333333333333336,58
46.416666666666664,55
46.5,58
46.583333333333336,57
46.666666666666664,52
46.75,56
46.833333333333336,52
46.916666666666664,55
47,57
47.083333333333336,55
47.25,55
47.25,52
47.333333333333336,57
47.416666666666664,57
47.5,56
47.583333333333336,58
47.666666666666664,53
47.75,58
47.833333333333336,57
47.916666666666664,54
