"Hours since thread went live","Chainsaw Man - Episode 2 discussion"
17,11936
17.083333333333332,11941
17.166666666666668,11957
17.25,11962
17.333333333333332,11979
17.416666666666668,12003
17.5,12013
17.583333333333332,12028
17.666666666666668,12046
17.75,12069
17.833333333333332,12076
17.916666666666668,12097
18,12102
18.083333333333332,12129
18.166666666666668,12136
18.25,12151
18.333333333333332,12186
18.416666666666668,12195
18.5,12202
18.583333333333332,12216
18.666666666666668,12241
18.75,12252
18.833333333333332,12256
18.916666666666668,12275
19,12283
19.083333333333332,12306
19.166666666666668,12325
19.25,12337
19.333333333333332,12352
19.416666666666668,12364
19.5,12392
19.583333333333332,12401
19.666666666666668,12414
19.75,12430
19.833333333333332,12438
19.916666666666668,12458
20,12471
20.083333333333332,12489
20.166666666666668,12498
20.25,12529
20.333333333333332,12539
20.416666666666668,12549
20.5,12572
20.583333333333332,12587
20.666666666666668,12596
20.75,12616
20.833333333333332,12632
20.916666666666668,12642
21,12649
21.083333333333332,12665
21.166666666666668,12680
21.25,12690
21.333333333333332,12701
21.416666666666668,12712
21.5,12727
21.583333333333332,12735
21.666666666666668,12761
21.75,12765
21.833333333333332,12771
21.916666666666668,12788
22,12791
22.083333333333332,12803
22.166666666666668,12822
22.25,12835
22.333333333333332,12836
22.416666666666668,12854
22.5,12868
22.583333333333332,12870
22.666666666666668,12886
22.75,12894
22.833333333333332,12907
22.916666666666668,12912
23,12924
23.083333333333332,12932
23.166666666666668,12948
23.25,12968
23.333333333333332,12979
23.416666666666668,12986
23.5,12994
23.583333333333332,13001
23.666666666666668,13022
23.75,13030
23.833333333333332,13039
23.916666666666668,13053
24,13074
24.083333333333332,13079
24.166666666666668,13083
24.25,13090
24.333333333333332,13092
24.416666666666668,13103
24.5,13106
24.583333333333332,13115
24.666666666666668,13122
24.75,13125
24.833333333333332,13141
24.916666666666668,13138
25,13146
25.083333333333332,13168
25.166666666666668,13168
25.25,13172
25.333333333333332,13174
25.416666666666668,13190
25.5,13185
25.583333333333332,13193
25.666666666666668,13202
25.75,13212
25.833333333333332,13219
25.916666666666668,13225
26,13225
26.083333333333332,13219
26.166666666666668,13225
26.25,13231
26.333333333333332,13244
26.416666666666668,13243
26.5,13247
26.583333333333332,13248
26.666666666666668,13246
26.75,13248
26.833333333333332,13264
26.916666666666668,13271
27,13282
27.083333333333332,13280
27.166666666666668,13277
27.25,13289
27.333333333333332,13289
27.416666666666668,13299
27.5,13298
27.583333333333332,13312
27.666666666666668,13318
27.75,13322
27.833333333333332,13325
27.916666666666668,13338
28,13336
28.083333333333332,13344
28.166666666666668,13353
28.25,13352
28.333333333333332,13358
28.416666666666668,13357
28.5,13365
28.583333333333332,13370
28.666666666666668,13374
28.75,13377
28.833333333333332,13381
28.916666666666668,13385
29,13399
29.083333333333332,13393
29.166666666666668,13402
29.25,13413
29.333333333333332,13406
29.416666666666668,13415
29.5,13418
29.583333333333332,13415
29.666666666666668,13430
29.75,13428
29.833333333333332,13431
29.916666666666668,13438
30,13437
30.083333333333332,13443
30.166666666666668,13437
30.25,13450
30.333333333333332,13450
30.416666666666668,13455
30.5,13453
30.583333333333332,13463
30.666666666666668,13470
30.75,13467
30.833333333333332,13476
30.916666666666668,13474
31,13480
31.083333333333332,13478
31.166666666666668,13479
31.25,13483
31.333333333333332,13480
31.416666666666668,13491
31.5,13491
31.583333333333332,13487
31.666666666666668,13489
31.75,13491
31.833333333333332,13501
31.916666666666668,13492
32,13498
32.083333333333336,13494
32.166666666666664,13495
32.25,13506
32.333333333333336,13507
32.416666666666664,13504
32.5,13510
32.583333333333336,13509
32.666666666666664,13524
32.75,13529
32.833333333333336,13526
32.916666666666664,13522
33,13530
33.083333333333336,13530
33.166666666666664,13543
33.25,13539
33.333333333333336,13544
33.416666666666664,13556
33.5,13552
33.583333333333336,13550
33.666666666666664,13556
33.75,13557
33.833333333333336,13559
33.916666666666664,13565
34,13565
34.083333333333336,13570
34.166666666666664,13573
34.25,13569
34.333333333333336,13570
34.416666666666664,13581
34.5,13580
34.583333333333336,13580
34.666666666666664,13579
34.75,13580
34.833333333333336,13585
34.916666666666664,13590
35,13584
35.083333333333336,13590
35.166666666666664,13588
35.25,13603
35.333333333333336,13602
35.416666666666664,13606
35.5,13608
35.583333333333336,13610
35.666666666666664,13612
35.75,13623
35.833333333333336,13618
35.916666666666664,13619
36,13627
36.083333333333336,13625
36.166666666666664,13634
36.25,13624
36.333333333333336,13635
36.416666666666664,13630
36.5,13631
36.583333333333336,13635
36.666666666666664,13644
36.75,13641
36.833333333333336,13642
36.916666666666664,13649
37,13644
37.083333333333336,13643
37.166666666666664,13651
37.25,13653
37.333333333333336,13655
37.416666666666664,13647
37.5,13655
37.583333333333336,13656
37.666666666666664,13658
37.75,13660
37.833333333333336,13655
37.916666666666664,13667
38,13673
38.083333333333336,13671
38.166666666666664,13670
38.25,13674
38.333333333333336,13676
38.416666666666664,13674
38.5,13677
38.583333333333336,13678
38.666666666666664,13680
38.75,13681
38.833333333333336,13685
38.916666666666664,13680
39,13689
39.083333333333336,13688
39.166666666666664,13689
39.25,13690
39.333333333333336,13698
39.416666666666664,13697
39.5,13703
39.583333333333336,13701
39.666666666666664,13702
39.75,13708
39.833333333333336,13703
39.916666666666664,13703
40,13707
40.083333333333336,13708
40.166666666666664,13711
40.25,13718
40.333333333333336,13717
40.416666666666664,13720
40.5,13727
40.583333333333336,13726
40.666666666666664,13727
40.75,13721
40.833333333333336,13726
40.916666666666664,13727
41,13736
41.083333333333336,13730
41.166666666666664,13731
41.25,13725
41.333333333333336,13729
41.416666666666664,13732
41.5,13735
41.583333333333336,13738
41.666666666666664,13739
41.75,13750
41.833333333333336,13748
41.916666666666664,13752
42,13753
42.083333333333336,13750
42.166666666666664,13753
42.25,13752
42.333333333333336,13753
42.416666666666664,13756
42.5,13760
42.583333333333336,13752
42.666666666666664,13761
42.75,13761
42.833333333333336,13767
42.916666666666664,13756
43,13759
43.083333333333336,13756
43.166666666666664,13763
43.25,13758
43.333333333333336,13766
43.416666666666664,13766
43.5,13771
43.583333333333336,13775
43.666666666666664,13770
43.75,13776
43.833333333333336,13770
43.916666666666664,13778
44,13773
44.083333333333336,13776
44.166666666666664,13781
44.25,13779
44.333333333333336,13778
44.416666666666664,13776
44.5,13778
44.583333333333336,13781
44.666666666666664,13785
44.75,13779
44.833333333333336,13781
44.916666666666664,13785
45,13788
45.083333333333336,13785
45.166666666666664,13784
45.25,13791
45.333333333333336,13792
45.416666666666664,13791
45.5,13786
45.583333333333336,13793
45.666666666666664,13795
45.75,13790
45.833333333333336,13795
45.916666666666664,13794
46,13802
46.083333333333336,13802
46.166666666666664,13797
46.25,13798
46.333333333333336,13798
46.416666666666664,13800
46.5,13801
46.583333333333336,13799
46.666666666666664,13798
46.75,13808
46.833333333333336,13806
46.916666666666664,13808
47,13811
47.083333333333336,13808
47.166666666666664,13812
47.25,13811
47.333333333333336,13813
47.416666666666664,13808
47.5,13819
47.583333333333336,13825
47.666666666666664,13819
47.75,13823
47.833333333333336,13818
47.916666666666664,13819
