"Hours since thread went live","Yoru no Kurage wa Oyogenai • Jellyfish Can't Swim in the Night - Episode 8 discussion"
11.333333333333334,982
11.416666666666666,984
11.5,988
11.583333333333334,988
11.666666666666666,996
11.75,998
11.833333333333334,1000
11.916666666666666,995
12,1006
12.083333333333334,1012
12.166666666666666,1008
12.25,1019
12.333333333333334,1018
12.416666666666666,1025
12.5,1029
12.583333333333334,1023
12.666666666666666,1030
12.75,1032
12.833333333333334,1029
12.916666666666666,1030
13,1036
13.083333333333334,1043
13.166666666666666,1048
13.25,1057
13.333333333333334,1061
13.416666666666666,1060
13.5,1060
13.583333333333334,1065
13.666666666666666,1064
13.75,1061
13.833333333333334,1063
13.916666666666666,1073
14,1072
14.083333333333334,1078
14.166666666666666,1080
14.25,1083
14.333333333333334,1085
14.416666666666666,1083
14.5,1089
14.583333333333334,1098
14.666666666666666,1097
14.75,1101
14.833333333333334,1102
14.916666666666666,1103
15,1106
15.083333333333334,1106
15.166666666666666,1105
15.25,1108
15.333333333333334,1109
15.416666666666666,1117
15.5,1116
15.583333333333334,1115
15.666666666666666,1120
15.75,1119
15.833333333333334,1119
15.916666666666666,1127
16,1126
16.083333333333332,1128
16.166666666666668,1126
16.25,1131
16.333333333333332,1129
16.416666666666668,1127
16.5,1134
16.583333333333332,1134
16.666666666666668,1137
16.75,1134
16.833333333333332,1138
16.916666666666668,1134
17,1136
17.083333333333332,1137
17.166666666666668,1139
17.25,1144
17.333333333333332,1149
17.416666666666668,1143
17.5,1144
17.583333333333332,1152
17.666666666666668,1149
17.75,1151
17.833333333333332,1156
17.916666666666668,1159
18,1158
18.083333333333332,1156
18.166666666666668,1163
18.25,1167
18.333333333333332,1171
18.416666666666668,1162
18.5,1165
18.583333333333332,1169
18.666666666666668,1171
18.75,1168
18.833333333333332,1175
18.916666666666668,1183
19,1178
19.083333333333332,1184
19.166666666666668,1177
19.25,1178
19.333333333333332,1178
19.416666666666668,1175
19.5,1181
19.583333333333332,1182
19.666666666666668,1191
19.75,1188
19.833333333333332,1187
19.916666666666668,1193
20,1198
20.083333333333332,1198
20.166666666666668,1199
20.25,1197
20.333333333333332,1197
20.416666666666668,1201
20.5,1200
20.583333333333332,1195
20.666666666666668,1204
20.75,1200
20.833333333333332,1206
20.916666666666668,1210
21,1207
21.083333333333332,1213
21.166666666666668,1210
21.25,1212
21.333333333333332,1219
21.416666666666668,1212
21.5,1211
21.583333333333332,1218
21.666666666666668,1221
21.75,1217
21.833333333333332,1227
21.916666666666668,1228
22,1223
22.083333333333332,1222
22.166666666666668,1229
22.25,1230
22.333333333333332,1228
22.416666666666668,1234
22.5,1236
22.583333333333332,1231
22.666666666666668,1233
22.75,1235
22.833333333333332,1236
22.916666666666668,1243
23,1241
23.083333333333332,1240
