"Hours since thread went live","One Piece - Episode 1103 discussion"
39.25,100
39.333333333333336,101
39.416666666666664,97
39.5,99
39.583333333333336,98
39.666666666666664,96
39.75,102
39.833333333333336,99
39.916666666666664,100
40,104
40.083333333333336,102
40.166666666666664,101
40.25,101
40.333333333333336,100
40.416666666666664,100
40.5,98
40.583333333333336,102
40.666666666666664,96
40.75,98
40.833333333333336,103
40.916666666666664,100
41,100
41.083333333333336,100
41.166666666666664,103
41.25,100
41.333333333333336,100
41.416666666666664,100
41.5,102
41.583333333333336,97
41.666666666666664,100
41.75,99
41.833333333333336,101
41.916666666666664,99
42,100
42.083333333333336,101
42.166666666666664,99
42.25,100
42.333333333333336,101
42.416666666666664,98
42.5,100
42.583333333333336,102
42.666666666666664,99
42.75,101
42.833333333333336,100
42.916666666666664,99
43,99
43.083333333333336,98
43.166666666666664,103
43.25,97
43.333333333333336,102
43.416666666666664,101
43.5,100
43.583333333333336,99
43.666666666666664,103
43.75,101
43.833333333333336,99
43.916666666666664,101
44,99
44.083333333333336,104
44.166666666666664,102
44.25,98
44.333333333333336,101
44.416666666666664,101
44.5,101
44.583333333333336,100
44.666666666666664,101
44.75,98
44.833333333333336,103
44.916666666666664,100
45,100
45.083333333333336,100
45.166666666666664,105
45.25,103
45.333333333333336,99
45.416666666666664,99
45.5,98
45.583333333333336,103
45.666666666666664,101
45.75,103
45.833333333333336,99
45.916666666666664,99
46,98
46.083333333333336,101
46.166666666666664,102
46.25,102
46.333333333333336,104
46.416666666666664,103
46.5,99
46.583333333333336,104
46.666666666666664,100
46.75,99
46.833333333333336,100
46.916666666666664,101
47,103
47.083333333333336,104
47.166666666666664,98
47.25,101
47.333333333333336,102
47.416666666666664,99
47.5,101
47.583333333333336,101
47.666666666666664,101
47.75,101
47.833333333333336,101
47.916666666666664,104
