"Hours since thread went live","Jigokuraku • Hell's Paradise - Episode 12 discussion"
0,1
0,4
0.08333333333333333,17
0.16666666666666666,30
0.25,36
0.3333333333333333,51
0.4166666666666667,60
0.5,74
0.5833333333333334,91
0.6666666666666666,110
0.75,137
0.8333333333333334,162
0.9166666666666666,170
1,181
1.0833333333333333,205
1.1666666666666667,230
1.25,244
1.3333333333333333,270
1.4166666666666667,287
1.5,316
1.5833333333333333,342
1.6666666666666667,362
1.75,386
1.8333333333333333,397
1.9166666666666667,419
2,442
2.0833333333333335,460
2.1666666666666665,487
2.25,511
2.3333333333333335,530
2.4166666666666665,557
2.5,572
2.5833333333333335,597
2.6666666666666665,608
2.75,623
2.8333333333333335,639
2.9166666666666665,672
3,679
3.0833333333333335,695
3.1666666666666665,708
3.25,724
3.3333333333333335,746
3.4166666666666665,757
3.5,773
3.5833333333333335,795
3.6666666666666665,805
3.75,808
3.8333333333333335,833
3.9166666666666665,851
4,864
4.083333333333333,876
4.166666666666667,892
4.25,898
4.333333333333333,913
4.416666666666667,928
4.5,947
4.583333333333333,961
4.666666666666667,976
4.75,995
4.833333333333333,1004
4.916666666666667,1016
5,1025
5.083333333333333,1041
5.166666666666667,1058
5.25,1071
5.333333333333333,1086
5.416666666666667,1090
5.5,1095
5.583333333333333,1119
5.666666666666667,1121
5.75,1137
5.833333333333333,1148
5.916666666666667,1160
6,1174
6.083333333333333,1189
6.166666666666667,1206
6.25,1219
6.333333333333333,1226
6.416666666666667,1253
6.5,1269
6.583333333333333,1287
6.666666666666667,1299
6.75,1308
6.833333333333333,1327
6.916666666666667,1339
7,1349
7.083333333333333,1364
7.166666666666667,1373
7.25,1382
7.333333333333333,1389
7.416666666666667,1404
7.5,1411
7.583333333333333,1427
7.666666666666667,1438
7.75,1438
7.833333333333333,1445
7.916666666666667,1451
8,1459
8.083333333333334,1470
8.166666666666666,1480
8.25,1492
8.333333333333334,1501
8.416666666666666,1507
8.5,1526
8.583333333333334,1539
8.666666666666666,1542
8.75,1558
8.833333333333334,1575
8.916666666666666,1581
9,1598
9.083333333333334,1600
9.166666666666666,1611
9.25,1621
9.333333333333334,1629
9.416666666666666,1637
9.5,1637
9.583333333333334,1654
9.666666666666666,1661
9.75,1670
9.833333333333334,1684
9.916666666666666,1695
10,1698
10.083333333333334,1710
10.166666666666666,1716
10.25,1724
10.333333333333334,1731
10.416666666666666,1733
10.5,1745
10.583333333333334,1754
10.666666666666666,1765
10.75,1776
10.833333333333334,1783
10.916666666666666,1789
11,1798
11.083333333333334,1814
11.166666666666666,1818
11.25,1830
11.333333333333334,1835
11.416666666666666,1843
11.5,1854
11.583333333333334,1859
11.666666666666666,1868
11.75,1876
11.833333333333334,1880
11.916666666666666,1888
12,1904
12.083333333333334,1911
12.166666666666666,1917
12.25,1918
12.333333333333334,1925
12.416666666666666,1925
12.5,1936
12.583333333333334,1942
12.666666666666666,1954
12.75,1962
12.833333333333334,1972
12.916666666666666,1976
13,1994
13.083333333333334,2000
13.166666666666666,2003
13.25,2010
13.333333333333334,2016
13.416666666666666,2022
13.5,2031
13.583333333333334,2040
13.666666666666666,2053
13.75,2052
13.833333333333334,2062
13.916666666666666,2072
14,2073
14.083333333333334,2075
14.166666666666666,2085
14.25,2100
14.333333333333334,2110
14.416666666666666,2113
14.5,2121
14.583333333333334,2124
14.666666666666666,2131
14.75,2138
14.833333333333334,2137
14.916666666666666,2150
15,2154
15.083333333333334,2161
15.166666666666666,2165
15.25,2171
15.333333333333334,2176
15.416666666666666,2188
15.5,2193
15.583333333333334,2187
15.666666666666666,2193
15.75,2202
15.833333333333334,2208
15.916666666666666,2212
16,2217
16.083333333333332,2213
16.166666666666668,2219
16.25,2216
16.333333333333332,2222
16.416666666666668,2228
16.5,2232
16.583333333333332,2238
16.666666666666668,2243
16.75,2245
16.833333333333332,2251
16.916666666666668,2247
17,2258
17.083333333333332,2257
17.166666666666668,2259
17.25,2256
17.333333333333332,2265
17.416666666666668,2264
17.5,2272
17.583333333333332,2272
17.666666666666668,2269
17.75,2280
17.833333333333332,2271
17.916666666666668,2275
18,2277
18.083333333333332,2288
18.166666666666668,2293
18.25,2293
18.333333333333332,2297
18.416666666666668,2299
18.5,2304
18.583333333333332,2305
18.666666666666668,2310
18.75,2304
18.833333333333332,2316
18.916666666666668,2319
19,2321
19.083333333333332,2319
19.166666666666668,2316
19.25,2326
19.333333333333332,2324
19.416666666666668,2324
19.5,2327
19.583333333333332,2334
19.666666666666668,2335
19.75,2339
19.833333333333332,2344
19.916666666666668,2344
20,2343
20.083333333333332,2352
20.166666666666668,2353
20.25,2351
20.333333333333332,2355
20.416666666666668,2358
20.5,2357
20.583333333333332,2361
20.666666666666668,2358
20.75,2359
20.833333333333332,2359
20.916666666666668,2364
21,2365
21.083333333333332,2372
21.166666666666668,2380
21.25,2383
21.333333333333332,2392
21.416666666666668,2392
21.5,2394
