"Hours since thread went live","Gekai Elise • Doctor Elise: The Royal Lady with the Lamp - Episode 8 discussion"
0,2
0.08333333333333333,4
0.16666666666666666,5
0.25,6
0.3333333333333333,9
0.4166666666666667,13
0.5,16
0.5833333333333334,18
0.6666666666666666,19
0.75,19
0.8333333333333334,18
0.9166666666666666,19
1,22
1.0833333333333333,25
1.1666666666666667,26
1.25,27
1.3333333333333333,31
1.4166666666666667,31
1.5,31
1.5833333333333333,36
1.6666666666666667,38
1.75,38
1.8333333333333333,34
2,36
2.0833333333333335,39
2.1666666666666665,38
2.25,39
2.3333333333333335,42
2.4166666666666665,42
2.5,45
2.5833333333333335,43
2.6666666666666665,45
2.75,46
2.8333333333333335,47
2.9166666666666665,49
3,51
3.0833333333333335,54
3.1666666666666665,53
3.25,58
3.3333333333333335,57
3.4166666666666665,58
3.5,57
3.5833333333333335,57
3.6666666666666665,60
3.75,61
3.8333333333333335,63
3.9166666666666665,63
4,65
4.083333333333333,70
4.166666666666667,70
4.25,71
4.333333333333333,71
4.416666666666667,68
4.5,68
4.583333333333333,70
4.666666666666667,71
4.75,71
4.833333333333333,72
4.916666666666667,74
5,71
5.083333333333333,70
5.166666666666667,69
5.25,67
5.333333333333333,71
5.416666666666667,67
5.5,71
5.583333333333333,75
5.666666666666667,76
5.75,80
5.833333333333333,76
5.916666666666667,80
6,76
6.083333333333333,77
6.166666666666667,76
6.25,84
6.333333333333333,87
6.416666666666667,86
6.5,88
6.583333333333333,88
6.666666666666667,90
6.75,87
6.833333333333333,87
6.916666666666667,92
7,94
7.083333333333333,92
7.166666666666667,91
7.25,95
7.333333333333333,95
7.416666666666667,96
7.5,99
7.583333333333333,100
7.666666666666667,99
7.75,101
7.833333333333333,102
7.916666666666667,103
8,106
8.083333333333334,104
8.166666666666666,100
8.25,102
8.333333333333334,104
8.416666666666666,108
8.5,107
8.583333333333334,103
8.666666666666666,112
8.75,108
8.833333333333334,111
8.916666666666666,108
9,112
9.083333333333334,117
9.166666666666666,117
9.25,121
9.333333333333334,119
9.416666666666666,117
9.5,125
9.583333333333334,123
9.666666666666666,129
9.75,128
9.833333333333334,124
9.916666666666666,129
10,125
10.083333333333334,129
10.166666666666666,134
10.25,132
10.333333333333334,134
10.416666666666666,131
10.5,134
10.583333333333334,133
10.666666666666666,137
10.75,139
10.833333333333334,138
10.916666666666666,140
11,146
11.083333333333334,140
11.166666666666666,146
11.25,145
11.333333333333334,152
11.416666666666666,152
11.5,151
11.583333333333334,155
11.666666666666666,153
11.75,151
11.833333333333334,155
11.916666666666666,155
12,153
12.083333333333334,154
12.166666666666666,156
12.25,157
12.333333333333334,155
12.416666666666666,158
12.5,159
12.583333333333334,156
12.666666666666666,158
12.75,155
12.833333333333334,154
12.916666666666666,159
13,157
13.083333333333334,158
13.166666666666666,159
13.25,160
13.333333333333334,154
13.416666666666666,161
13.5,161
13.583333333333334,160
13.666666666666666,163
13.75,164
13.833333333333334,163
13.916666666666666,161
14,164
14.083333333333334,162
14.166666666666666,163
14.25,162
14.333333333333334,166
14.416666666666666,163
14.5,166
14.583333333333334,165
14.666666666666666,165
14.75,168
14.833333333333334,166
14.916666666666666,168
15,168
15.083333333333334,166
15.166666666666666,169
15.25,168
15.333333333333334,169
15.416666666666666,168
15.5,172
15.583333333333334,169
15.666666666666666,169
15.75,173
15.833333333333334,171
15.916666666666666,169
16,170
16.083333333333332,173
16.166666666666668,167
16.25,171
16.333333333333332,170
16.416666666666668,171
16.5,172
16.583333333333332,168
16.666666666666668,168
16.75,170
16.833333333333332,171
16.916666666666668,173
17,176
17.083333333333332,174
17.166666666666668,176
17.25,176
17.333333333333332,174
17.416666666666668,174
17.5,171
17.583333333333332,172
17.666666666666668,175
17.75,171
17.833333333333332,176
17.916666666666668,175
18,176
18.083333333333332,178
18.166666666666668,175
18.25,178
18.333333333333332,175
18.416666666666668,175
18.5,176
18.583333333333332,173
18.666666666666668,176
18.75,175
18.833333333333332,182
18.916666666666668,182
19,181
19.083333333333332,177
19.166666666666668,180
19.25,179
19.333333333333332,180
19.416666666666668,176
19.5,174
19.583333333333332,182
19.666666666666668,176
19.75,178
19.833333333333332,177
19.916666666666668,175
20,181
20.083333333333332,177
20.166666666666668,180
20.25,178
20.333333333333332,174
20.416666666666668,181
20.5,182
20.583333333333332,182
20.666666666666668,178
20.75,179
20.833333333333332,178
20.916666666666668,179
21,182
21.083333333333332,177
21.166666666666668,182
21.25,177
21.333333333333332,184
21.416666666666668,179
21.5,182
21.583333333333332,182
21.666666666666668,183
21.75,181
21.833333333333332,181
21.916666666666668,178
22,183
22.083333333333332,185
22.166666666666668,181
22.25,182
22.333333333333332,178
22.416666666666668,184
22.5,182
22.583333333333332,184
22.666666666666668,185
22.75,182
22.833333333333332,185
22.916666666666668,183
23,186
23.083333333333332,185
23.166666666666668,184
23.25,183
23.333333333333332,184
23.416666666666668,187
23.5,185
23.583333333333332,189
23.666666666666668,187
23.75,181
23.833333333333332,187
23.916666666666668,183
24,187
24.083333333333332,187
24.166666666666668,184
24.25,186
24.333333333333332,186
24.416666666666668,189
24.5,184
24.583333333333332,188
24.666666666666668,185
24.75,188
24.833333333333332,186
24.916666666666668,184
25,186
25.083333333333332,190
25.166666666666668,190
25.25,189
25.333333333333332,188
25.416666666666668,187
25.5,189
25.583333333333332,190
25.666666666666668,191
25.75,188
25.833333333333332,185
25.916666666666668,190
26,188
26.083333333333332,188
26.166666666666668,190
26.25,190
26.333333333333332,187
26.416666666666668,188
26.5,192
26.583333333333332,190
26.666666666666668,188
26.75,194
26.833333333333332,189
26.916666666666668,187
27,191
27.083333333333332,192
27.166666666666668,193
27.25,189
27.333333333333332,190
27.416666666666668,187
27.5,190
27.583333333333332,192
27.666666666666668,189
27.75,191
27.833333333333332,192
27.916666666666668,191
28,193
28.083333333333332,191
28.166666666666668,190
28.25,195
28.333333333333332,195
28.416666666666668,195
28.5,191
28.583333333333332,191
28.666666666666668,191
28.75,193
28.833333333333332,192
28.916666666666668,192
29,191
29.083333333333332,193
29.166666666666668,192
29.25,195
29.333333333333332,190
29.416666666666668,194
29.5,193
29.583333333333332,191
29.666666666666668,192
29.75,191
29.833333333333332,190
29.916666666666668,195
30,193
30.083333333333332,192
30.166666666666668,196
30.25,193
30.333333333333332,191
30.416666666666668,195
30.5,196
30.583333333333332,194
30.666666666666668,194
30.75,198
30.833333333333332,196
30.916666666666668,192
31,194
31.083333333333332,196
31.166666666666668,193
31.25,193
31.333333333333332,192
31.416666666666668,190
31.5,193
31.583333333333332,191
31.666666666666668,197
31.75,192
31.833333333333332,193
31.916666666666668,194
32,194
32.083333333333336,197
32.166666666666664,195
32.25,197
32.333333333333336,192
32.416666666666664,197
32.5,194
32.583333333333336,193
32.666666666666664,195
32.75,196
32.833333333333336,195
32.916666666666664,196
33,196
33.083333333333336,196
33.166666666666664,196
33.25,198
33.333333333333336,192
33.416666666666664,198
33.5,195
33.583333333333336,199
33.666666666666664,195
33.75,199
33.833333333333336,196
33.916666666666664,196
34,197
34.083333333333336,197
34.166666666666664,200
34.25,197
34.333333333333336,199
34.416666666666664,198
34.5,197
34.583333333333336,196
34.666666666666664,198
34.75,198
34.833333333333336,198
34.916666666666664,195
35,194
35.083333333333336,197
35.166666666666664,197
35.25,196
35.333333333333336,195
35.416666666666664,198
35.5,197
35.583333333333336,198
35.666666666666664,198
35.75,197
35.833333333333336,198
35.916666666666664,197
36,199
36.083333333333336,196
36.166666666666664,199
36.25,195
36.333333333333336,195
36.416666666666664,198
36.5,195
36.583333333333336,198
36.666666666666664,197
36.75,194
36.833333333333336,195
36.916666666666664,197
37,196
37.083333333333336,198
37.166666666666664,200
37.25,200
37.333333333333336,201
37.416666666666664,196
37.5,200
37.583333333333336,193
37.666666666666664,195
37.75,199
37.833333333333336,201
37.916666666666664,194
38,201
38.083333333333336,195
38.166666666666664,201
38.25,197
38.333333333333336,197
38.416666666666664,195
38.5,198
38.583333333333336,197
38.666666666666664,197
38.75,198
38.833333333333336,200
38.916666666666664,194
39,198
39.083333333333336,198
39.166666666666664,195
39.25,196
39.333333333333336,197
39.416666666666664,194
39.5,199
39.583333333333336,200
39.666666666666664,197
39.75,201
39.833333333333336,200
39.916666666666664,194
40,193
40.083333333333336,197
40.166666666666664,193
40.25,196
40.333333333333336,199
40.416666666666664,199
40.5,197
40.583333333333336,200
40.666666666666664,194
40.75,196
40.833333333333336,200
40.916666666666664,196
41,198
41.083333333333336,198
41.166666666666664,193
41.25,193
41.333333333333336,196
41.416666666666664,196
41.5,197
41.583333333333336,196
41.666666666666664,197
41.75,195
41.833333333333336,194
41.916666666666664,195
42,198
42.083333333333336,193
42.166666666666664,199
42.25,196
42.333333333333336,196
42.416666666666664,197
42.5,196
42.583333333333336,198
42.666666666666664,196
42.75,193
42.833333333333336,201
42.916666666666664,194
43,195
43.083333333333336,196
43.166666666666664,197
43.25,195
43.333333333333336,200
43.416666666666664,197
43.5,196
