"Hours since thread went live","Sand Land: The Series - Episode 8 discussion"
35.666666666666664,17
35.75,17
35.833333333333336,18
35.916666666666664,17
36,20
36.083333333333336,19
36.166666666666664,19
36.25,16
36.333333333333336,18
36.416666666666664,18
36.5,17
36.583333333333336,18
36.666666666666664,19
36.75,18
36.833333333333336,17
36.916666666666664,18
37,19
37.083333333333336,20
37.166666666666664,20
37.25,17
37.333333333333336,16
37.416666666666664,18
37.5,19
37.583333333333336,19
37.666666666666664,18
37.75,18
37.833333333333336,19
37.916666666666664,20
38,16
38.083333333333336,17
38.166666666666664,17
38.25,16
38.333333333333336,19
38.416666666666664,18
38.5,16
38.583333333333336,20
38.666666666666664,18
38.75,17
38.833333333333336,19
38.916666666666664,18
39,18
39.083333333333336,18
39.166666666666664,17
39.25,17
39.333333333333336,18
39.416666666666664,17
39.5,17
39.583333333333336,18
39.666666666666664,19
39.75,17
39.833333333333336,17
39.916666666666664,17
40,16
40.083333333333336,19
40.166666666666664,19
40.25,17
40.333333333333336,19
40.416666666666664,19
40.5,20
40.583333333333336,19
40.666666666666664,18
40.75,17
40.833333333333336,21
40.916666666666664,18
41,19
41.083333333333336,21
41.166666666666664,21
41.25,21
41.333333333333336,20
41.416666666666664,19
41.5,19
41.583333333333336,19
41.666666666666664,17
41.75,18
41.833333333333336,20
41.916666666666664,19
42,19
42.083333333333336,18
42.166666666666664,19
42.25,19
42.333333333333336,19
42.416666666666664,20
42.5,19
42.583333333333336,19
42.666666666666664,20
42.75,19
42.833333333333336,21
42.916666666666664,19
43,19
43.083333333333336,18
43.166666666666664,18
43.25,20
43.333333333333336,21
43.416666666666664,19
43.5,20
43.583333333333336,21
43.666666666666664,17
43.75,21
43.833333333333336,19
43.916666666666664,19
44,19
44.083333333333336,19
44.166666666666664,19
44.25,18
44.333333333333336,20
44.416666666666664,20
44.5,19
44.583333333333336,21
44.666666666666664,20
44.75,18
44.833333333333336,18
44.916666666666664,17
45,17
45.083333333333336,20
45.166666666666664,19
45.25,19
45.333333333333336,19
45.416666666666664,17
45.5,17
45.583333333333336,18
45.666666666666664,20
45.75,19
45.833333333333336,21
45.916666666666664,19
46,21
46.083333333333336,17
46.166666666666664,21
46.25,19
46.333333333333336,19
46.416666666666664,17
46.5,19
46.583333333333336,20
46.666666666666664,18
46.75,21
46.833333333333336,19
46.916666666666664,20
47,20
47.083333333333336,17
47.166666666666664,20
47.25,19
47.333333333333336,20
47.416666666666664,20
47.5,17
47.583333333333336,20
47.666666666666664,19
47.75,18
47.833333333333336,17
47.916666666666664,19
