"Hours since thread went live","Maou Gakuin no Futekigousha: Shijou Saikyou no Maou no Shiso, Tensei shite Shison-tachi no Gakkou e Part 2 • The Misfit of Demon King Academy II Part 2 - Episode 6 discussion"
0,3
0.08333333333333333,4
0.16666666666666666,10
0.25,16
0.3333333333333333,19
0.4166666666666667,23
0.5,30
0.5833333333333334,34
0.6666666666666666,39
0.75,40
0.8333333333333334,44
0.9166666666666666,47
1,49
1.0833333333333333,55
1.1666666666666667,54
1.25,59
1.3333333333333333,62
1.4166666666666667,66
1.5,65
1.5833333333333333,68
1.6666666666666667,72
1.75,73
1.8333333333333333,76
1.9166666666666667,77
2,79
2.0833333333333335,80
2.1666666666666665,83
2.25,86
2.3333333333333335,88
2.4166666666666665,90
2.5,93
2.5833333333333335,97
2.6666666666666665,98
2.75,101
2.8333333333333335,102
2.9166666666666665,105
3,108
3.0833333333333335,111
3.1666666666666665,109
3.25,110
3.3333333333333335,110
3.4166666666666665,108
3.5,111
3.5833333333333335,113
3.6666666666666665,113
3.75,114
3.8333333333333335,112
3.9166666666666665,116
4,117
4.083333333333333,118
4.166666666666667,119
4.25,123
4.333333333333333,119
4.416666666666667,120
4.5,120
4.583333333333333,119
4.666666666666667,121
4.75,120
4.833333333333333,125
4.916666666666667,129
5,126
5.083333333333333,128
5.166666666666667,130
5.25,131
5.333333333333333,131
5.416666666666667,135
5.5,136
5.583333333333333,139
5.666666666666667,137
5.75,142
5.833333333333333,141
5.916666666666667,139
6,142
6.083333333333333,142
6.166666666666667,141
6.25,142
6.333333333333333,146
6.416666666666667,147
6.5,149
6.583333333333333,148
6.666666666666667,151
6.75,154
6.833333333333333,152
6.916666666666667,154
7,160
7.083333333333333,154
7.166666666666667,156
7.25,156
7.333333333333333,161
7.416666666666667,160
7.5,161
7.583333333333333,157
7.666666666666667,160
7.75,158
7.833333333333333,162
7.916666666666667,162
8,162
8.083333333333334,164
8.166666666666666,167
8.25,168
8.333333333333334,168
8.416666666666666,171
8.5,171
8.583333333333334,177
8.666666666666666,175
8.75,176
8.833333333333334,179
8.916666666666666,176
9,178
9.083333333333334,179
9.166666666666666,182
9.25,180
9.333333333333334,183
9.416666666666666,179
9.5,180
9.583333333333334,182
9.666666666666666,185
9.75,189
9.833333333333334,188
9.916666666666666,188
10,188
10.083333333333334,187
10.166666666666666,188
10.25,188
10.333333333333334,188
10.416666666666666,191
10.5,189
10.583333333333334,195
10.666666666666666,196
10.75,193
10.833333333333334,200
10.916666666666666,195
11,197
11.083333333333334,200
11.166666666666666,195
11.25,199
11.333333333333334,198
11.416666666666666,200
11.5,199
11.583333333333334,199
11.666666666666666,198
11.75,200
11.833333333333334,199
11.916666666666666,200
12,200
12.083333333333334,202
12.166666666666666,205
12.25,208
12.333333333333334,207
12.416666666666666,208
12.5,204
12.583333333333334,207
12.666666666666666,206
12.75,207
12.833333333333334,206
12.916666666666666,205
13,204
13.083333333333334,211
13.166666666666666,206
13.25,209
13.333333333333334,210
13.416666666666666,212
13.5,213
13.583333333333334,209
13.666666666666666,211
13.75,210
13.833333333333334,210
13.916666666666666,216
14,218
14.083333333333334,213
14.166666666666666,219
14.25,221
14.333333333333334,217
14.416666666666666,216
14.5,217
14.583333333333334,218
14.666666666666666,221
14.75,217
14.833333333333334,221
14.916666666666666,220
15,225
15.083333333333334,222
15.166666666666666,225
15.25,225
15.333333333333334,227
15.416666666666666,225
15.5,226
15.583333333333334,225
15.666666666666666,227
15.75,228
15.833333333333334,229
15.916666666666666,228
16,231
16.083333333333332,229
16.166666666666668,227
16.25,228
16.333333333333332,228
16.416666666666668,231
16.5,231
16.583333333333332,227
16.666666666666668,229
16.75,227
16.833333333333332,227
16.916666666666668,229
17,231
17.083333333333332,232
17.166666666666668,229
17.25,229
17.333333333333332,231
17.416666666666668,234
17.5,229
17.583333333333332,229
17.666666666666668,230
17.75,233
17.833333333333332,236
17.916666666666668,235
18,234
18.083333333333332,231
18.166666666666668,229
18.25,232
18.333333333333332,232
18.416666666666668,232
18.5,234
18.583333333333332,232
18.666666666666668,235
18.75,232
18.833333333333332,232
18.916666666666668,232
19,232
19.083333333333332,232
19.166666666666668,229
19.25,231
19.333333333333332,236
19.416666666666668,236
19.5,234
19.583333333333332,230
19.666666666666668,233
19.75,232
19.833333333333332,234
19.916666666666668,230
20,231
20.083333333333332,232
20.166666666666668,233
20.25,234
20.333333333333332,238
20.416666666666668,235
20.5,232
20.583333333333332,237
20.666666666666668,235
20.75,240
20.833333333333332,232
20.916666666666668,237
21,236
21.083333333333332,237
21.166666666666668,234
21.25,242
21.333333333333332,241
21.416666666666668,236
21.5,239
21.583333333333332,242
21.666666666666668,244
21.75,240
21.833333333333332,243
21.916666666666668,240
22,238
22.083333333333332,238
22.166666666666668,240
22.25,241
22.333333333333332,241
22.416666666666668,244
22.5,238
22.583333333333332,244
22.666666666666668,239
22.75,240
22.833333333333332,243
22.916666666666668,243
23,239
23.083333333333332,242
23.166666666666668,244
23.25,245
23.333333333333332,242
23.416666666666668,247
23.5,243
23.583333333333332,245
23.666666666666668,245
23.75,244
23.833333333333332,247
23.916666666666668,246
24,245
24.083333333333332,247
24.166666666666668,243
24.25,251
24.333333333333332,247
24.416666666666668,246
24.5,246
24.583333333333332,250
24.666666666666668,252
24.75,248
24.833333333333332,248
24.916666666666668,247
25,249
25.083333333333332,249
25.166666666666668,245
25.25,250
25.333333333333332,250
25.416666666666668,250
25.5,253
25.583333333333332,248
25.666666666666668,249
25.75,250
25.833333333333332,251
25.916666666666668,247
26,249
26.083333333333332,249
26.166666666666668,253
26.25,255
26.333333333333332,254
26.416666666666668,255
26.5,251
26.583333333333332,253
26.666666666666668,255
26.75,251
26.833333333333332,254
26.916666666666668,256
27,254
27.083333333333332,253
27.166666666666668,252
27.25,255
27.333333333333332,256
27.416666666666668,255
27.5,252
27.583333333333332,254
27.666666666666668,250
27.75,255
27.833333333333332,253
27.916666666666668,254
28,256
28.083333333333332,258
28.166666666666668,255
28.25,253
28.333333333333332,258
28.416666666666668,258
28.5,253
28.583333333333332,254
28.666666666666668,256
28.75,255
28.833333333333332,258
28.916666666666668,258
29,256
29.083333333333332,260
29.166666666666668,259
29.25,257
29.333333333333332,257
29.416666666666668,260
29.5,260
29.583333333333332,260
29.666666666666668,253
29.75,258
29.833333333333332,258
29.916666666666668,259
30,256
30.083333333333332,254
30.166666666666668,254
30.25,258
30.333333333333332,257
30.416666666666668,257
30.5,257
30.583333333333332,257
30.666666666666668,257
30.75,257
30.833333333333332,258
30.916666666666668,260
31,257
31.083333333333332,255
31.166666666666668,258
31.25,259
31.333333333333332,255
31.416666666666668,260
31.5,258
31.583333333333332,261
31.666666666666668,256
31.75,255
31.833333333333332,257
31.916666666666668,259
32,258
32.083333333333336,257
32.166666666666664,258
32.25,255
32.333333333333336,256
32.416666666666664,258
32.5,255
32.583333333333336,254
32.666666666666664,253
32.75,259
32.833333333333336,257
32.916666666666664,258
33,258
33.083333333333336,260
33.166666666666664,259
33.25,257
33.333333333333336,257
33.416666666666664,262
33.5,258
33.583333333333336,254
33.666666666666664,258
33.75,256
33.833333333333336,255
33.916666666666664,256
34,259
34.083333333333336,258
34.166666666666664,259
34.25,259
34.333333333333336,261
34.416666666666664,259
34.5,258
34.583333333333336,258
34.666666666666664,260
34.75,258
34.833333333333336,258
34.916666666666664,258
35,261
35.083333333333336,257
35.166666666666664,259
35.25,256
35.333333333333336,261
35.416666666666664,258
35.5,258
35.583333333333336,257
35.666666666666664,260
35.75,260
35.833333333333336,256
35.916666666666664,259
36,259
36.083333333333336,261
36.166666666666664,259
36.25,260
36.333333333333336,256
36.416666666666664,258
36.5,257
36.583333333333336,257
36.666666666666664,263
36.75,260
36.833333333333336,263
36.916666666666664,263
37,257
37.083333333333336,257
37.166666666666664,263
37.25,257
37.333333333333336,262
37.416666666666664,259
37.5,262
37.583333333333336,262
37.666666666666664,258
37.75,257
37.833333333333336,263
37.916666666666664,265
38,261
38.083333333333336,260
38.166666666666664,260
38.25,263
38.333333333333336,263
38.416666666666664,261
38.5,262
38.583333333333336,262
38.666666666666664,264
38.75,260
38.833333333333336,259
38.916666666666664,263
39,262
39.083333333333336,262
39.166666666666664,259
39.25,262
39.333333333333336,262
39.416666666666664,258
39.5,261
39.583333333333336,261
39.666666666666664,266
39.75,262
39.833333333333336,265
39.916666666666664,261
40,265
40.083333333333336,264
40.166666666666664,268
40.25,266
40.333333333333336,265
40.416666666666664,262
40.5,262
40.583333333333336,266
40.666666666666664,263
40.75,262
40.833333333333336,268
40.916666666666664,263
41,268
41.083333333333336,266
41.166666666666664,266
41.25,262
41.333333333333336,265
41.416666666666664,266
41.5,264
41.583333333333336,265
41.666666666666664,265
41.75,267
41.833333333333336,263
41.916666666666664,265
42,266
42.083333333333336,267
42.166666666666664,265
42.25,262
42.333333333333336,264
42.416666666666664,264
42.5,262
42.583333333333336,264
42.666666666666664,267
42.75,263
42.833333333333336,264
42.916666666666664,264
43,266
43.083333333333336,267
43.166666666666664,268
43.25,261
43.333333333333336,261
43.416666666666664,262
43.5,264
43.583333333333336,263
43.666666666666664,265
43.75,266
43.833333333333336,265
43.916666666666664,264
44,263
44.083333333333336,263
44.166666666666664,266
44.25,263
44.333333333333336,263
44.416666666666664,262
44.5,268
44.583333333333336,263
44.666666666666664,263
44.75,267
44.833333333333336,264
44.916666666666664,265
45,264
