"Hours since thread went live","Spy x Family Season 2 - Episode 1 discussion"
0,7
0,17
0.08333333333333333,41
0.16666666666666666,65
0.25,104
0.3333333333333333,149
0.4166666666666667,192
0.5,231
0.5833333333333334,263
0.6666666666666666,311
0.75,351
0.8333333333333334,384
0.9166666666666666,418
1,457
1.0833333333333333,482
1.1666666666666667,519
1.25,560
1.3333333333333333,601
1.4166666666666667,630
1.5,669
1.5833333333333333,702
1.6666666666666667,731
1.75,754
1.8333333333333333,785
1.9166666666666667,819
2,838
2.0833333333333335,874
2.1666666666666665,901
2.25,933
2.3333333333333335,962
2.4166666666666665,992
2.5,1011
2.5833333333333335,1035
2.6666666666666665,1070
2.75,1092
2.8333333333333335,1107
2.9166666666666665,1132
3,1158
3.0833333333333335,1190
3.1666666666666665,1217
3.25,1235
3.3333333333333335,1248
3.4166666666666665,1272
3.5,1280
3.5833333333333335,1304
3.6666666666666665,1326
3.75,1341
3.8333333333333335,1364
3.9166666666666665,1383
4,1399
4.083333333333333,1420
4.166666666666667,1442
4.25,1470
4.333333333333333,1492
4.416666666666667,1512
4.5,1529
4.583333333333333,1544
4.666666666666667,1573
4.75,1594
4.833333333333333,1607
4.916666666666667,1623
5,1647
5.083333333333333,1663
5.166666666666667,1675
5.25,1692
5.333333333333333,1703
5.416666666666667,1725
5.5,1730
5.583333333333333,1750
5.666666666666667,1770
5.75,1784
5.833333333333333,1794
5.916666666666667,1821
6,1834
6.083333333333333,1841
6.166666666666667,1866
6.25,1883
6.333333333333333,1905
6.416666666666667,1911
6.5,1923
6.583333333333333,1940
6.666666666666667,1956
6.75,1974
6.833333333333333,1982
6.916666666666667,1995
7,1997
7.083333333333333,2013
7.166666666666667,2019
7.25,2034
7.333333333333333,2048
7.416666666666667,2055
7.5,2072
7.583333333333333,2079
7.666666666666667,2089
7.75,2100
7.833333333333333,2111
7.916666666666667,2124
8,2138
8.083333333333334,2147
8.166666666666666,2161
8.25,2169
8.333333333333334,2178
8.416666666666666,2200
8.5,2202
8.583333333333334,2211
8.666666666666666,2224
8.75,2236
8.833333333333334,2253
8.916666666666666,2263
9,2266
9.083333333333334,2278
9.166666666666666,2281
9.25,2299
9.333333333333334,2305
9.416666666666666,2317
9.5,2320
9.583333333333334,2342
9.666666666666666,2346
9.75,2360
9.833333333333334,2373
9.916666666666666,2385
10,2390
10.083333333333334,2405
10.166666666666666,2409
10.25,2419
10.333333333333334,2425
10.416666666666666,2431
10.5,2437
10.583333333333334,2449
10.666666666666666,2464
10.75,2467
10.833333333333334,2474
10.916666666666666,2480
11,2496
11.083333333333334,2497
11.166666666666666,2507
11.25,2515
11.333333333333334,2520
