"Hours since thread went live","Boku no Hero Academia Season 7 • My Hero Academia Season 7 - Episode 2 discussion"
39.916666666666664,1555
40,1556
40.083333333333336,1558
40.166666666666664,1556
40.25,1550
40.333333333333336,1554
40.416666666666664,1558
40.5,1559
40.583333333333336,1553
40.666666666666664,1555
40.75,1559
40.833333333333336,1558
40.916666666666664,1563
41,1560
41.083333333333336,1562
41.166666666666664,1560
41.25,1562
41.333333333333336,1568
41.416666666666664,1560
41.5,1565
41.583333333333336,1567
41.666666666666664,1567
41.75,1565
41.833333333333336,1565
41.916666666666664,1562
42,1564
42.083333333333336,1565
42.166666666666664,1567
42.25,1568
42.333333333333336,1568
42.416666666666664,1565
42.5,1570
42.583333333333336,1565
42.666666666666664,1563
42.75,1568
42.833333333333336,1570
42.916666666666664,1567
43,1567
43.083333333333336,1572
43.166666666666664,1567
43.25,1567
43.333333333333336,1576
43.416666666666664,1567
43.5,1569
43.583333333333336,1576
43.666666666666664,1571
43.75,1571
43.833333333333336,1574
43.916666666666664,1577
44,1578
44.083333333333336,1575
44.166666666666664,1569
44.25,1575
44.333333333333336,1574
44.416666666666664,1572
44.5,1574
44.583333333333336,1583
44.666666666666664,1578
44.75,1575
44.833333333333336,1574
44.916666666666664,1576
45,1575
45.083333333333336,1574
45.166666666666664,1583
45.25,1576
45.333333333333336,1577
45.416666666666664,1575
45.5,1585
45.583333333333336,1582
45.666666666666664,1579
45.75,1578
45.833333333333336,1574
45.916666666666664,1585
46,1585
46.083333333333336,1582
46.166666666666664,1580
46.25,1579
46.333333333333336,1579
46.416666666666664,1579
46.5,1577
46.583333333333336,1582
46.666666666666664,1577
46.75,1582
46.833333333333336,1581
46.916666666666664,1585
47,1584
47.083333333333336,1580
47.166666666666664,1581
47.25,1582
47.333333333333336,1580
47.416666666666664,1580
47.5,1587
47.583333333333336,1581
47.666666666666664,1587
47.75,1578
47.833333333333336,1587
47.916666666666664,1583
