"Hours since thread went live","Hikari no Ou Season 2 • The Fire Hunter Season 2 - Episode 19 discussion"
0,1
0,1
0.08333333333333333,1
0.16666666666666666,1
0.25,0
0.3333333333333333,0
0.4166666666666667,1
0.5,2
0.5833333333333334,2
0.6666666666666666,2
0.75,3
0.8333333333333334,2
0.9166666666666666,2
1,2
1.0833333333333333,2
1.1666666666666667,2
1.25,2
1.3333333333333333,2
1.4166666666666667,2
1.5,3
1.5833333333333333,3
1.6666666666666667,2
1.75,4
1.8333333333333333,4
1.9166666666666667,4
2,5
2.0833333333333335,6
2.1666666666666665,6
2.25,8
2.3333333333333335,9
2.4166666666666665,10
2.5,9
2.5833333333333335,10
2.6666666666666665,10
2.75,9
2.8333333333333335,11
2.9166666666666665,13
3,11
3.0833333333333335,13
3.1666666666666665,13
3.25,13
3.3333333333333335,15
3.4166666666666665,16
3.5,17
3.5833333333333335,17
3.6666666666666665,21
3.75,18
3.8333333333333335,19
3.9166666666666665,20
4,20
4.083333333333333,19
4.166666666666667,20
4.25,20
4.333333333333333,24
4.416666666666667,25
4.5,23
4.583333333333333,22
4.666666666666667,23
4.75,26
4.833333333333333,27
4.916666666666667,24
5,26
5.083333333333333,25
5.166666666666667,27
5.25,27
5.333333333333333,25
5.416666666666667,29
5.5,29
5.583333333333333,28
5.666666666666667,27
5.75,28
5.833333333333333,31
5.916666666666667,32
6,31
6.083333333333333,31
6.166666666666667,31
6.25,36
6.333333333333333,33
6.416666666666667,35
6.5,34
6.583333333333333,35
6.666666666666667,33
6.75,32
6.833333333333333,33
6.916666666666667,37
7,35
7.083333333333333,36
7.166666666666667,35
7.25,39
7.333333333333333,41
7.416666666666667,39
7.5,38
7.583333333333333,40
7.666666666666667,40
7.75,35
7.833333333333333,39
7.916666666666667,37
8,41
8.083333333333334,40
8.166666666666666,40
8.25,42
8.333333333333334,45
8.416666666666666,45
8.5,43
8.583333333333334,40
8.666666666666666,43
8.75,45
8.833333333333334,39
8.916666666666666,42
9,39
9.083333333333334,41
9.166666666666666,45
9.25,43
9.333333333333334,45
9.416666666666666,45
9.5,41
9.583333333333334,42
9.666666666666666,47
9.75,46
9.833333333333334,49
9.916666666666666,50
10,47
10.083333333333334,46
10.166666666666666,46
10.25,45
10.333333333333334,45
10.416666666666666,50
10.5,50
10.583333333333334,48
10.666666666666666,48
10.75,50
10.833333333333334,47
10.916666666666666,51
11,46
11.083333333333334,53
11.166666666666666,51
11.25,53
11.333333333333334,48
11.416666666666666,51
11.5,51
11.583333333333334,50
11.666666666666666,48
11.75,48
11.833333333333334,49
11.916666666666666,52
12,51
12.083333333333334,50
12.166666666666666,47
12.25,55
12.333333333333334,52
12.416666666666666,52
12.5,54
12.583333333333334,53
12.666666666666666,55
12.75,57
12.833333333333334,51
12.916666666666666,55
13,57
13.083333333333334,54
13.166666666666666,53
13.25,54
13.333333333333334,52
13.416666666666666,53
13.5,55
13.583333333333334,56
13.666666666666666,51
13.75,57
13.833333333333334,58
13.916666666666666,57
14,53
14.083333333333334,55
14.166666666666666,55
14.25,52
14.333333333333334,56
14.416666666666666,53
14.5,56
14.583333333333334,52
14.666666666666666,55
14.75,53
14.833333333333334,53
14.916666666666666,53
15,56
15.083333333333334,56
15.166666666666666,51
15.25,52
15.333333333333334,55
15.416666666666666,55
15.5,53
15.583333333333334,55
15.666666666666666,52
15.75,57
15.833333333333334,55
15.916666666666666,54
16,58
16.083333333333332,50
16.166666666666668,53
16.25,54
16.333333333333332,55
16.416666666666668,57
16.5,57
16.583333333333332,53
16.666666666666668,52
16.75,55
16.833333333333332,52
16.916666666666668,53
17,54
17.083333333333332,56
17.166666666666668,55
17.25,57
17.333333333333332,56
17.416666666666668,57
17.5,56
17.583333333333332,53
17.666666666666668,55
17.75,56
17.833333333333332,58
17.916666666666668,57
18,56
18.083333333333332,56
18.166666666666668,53
18.25,56
18.333333333333332,56
18.416666666666668,54
18.5,59
18.583333333333332,60
18.666666666666668,55
18.75,56
18.833333333333332,56
18.916666666666668,60
19,59
19.083333333333332,60
19.166666666666668,57
19.25,54
19.333333333333332,61
19.416666666666668,55
19.5,61
19.583333333333332,55
19.666666666666668,57
19.75,62
19.833333333333332,60
19.916666666666668,58
20,57
20.083333333333332,57
20.166666666666668,56
20.25,58
20.333333333333332,60
20.416666666666668,61
20.5,58
20.583333333333332,59
20.666666666666668,57
20.75,61
20.833333333333332,61
20.916666666666668,56
21,59
21.083333333333332,58
21.166666666666668,58
21.25,58
21.333333333333332,60
21.416666666666668,58
21.5,58
21.583333333333332,55
21.666666666666668,60
21.75,56
21.833333333333332,60
21.916666666666668,58
22,57
22.083333333333332,60
22.166666666666668,57
22.25,56
22.333333333333332,59
22.416666666666668,57
22.5,57
22.583333333333332,56
22.666666666666668,57
22.75,59
22.833333333333332,59
22.916666666666668,57
23,56
23.083333333333332,56
23.166666666666668,54
23.25,59
23.333333333333332,60
23.416666666666668,60
23.5,58
23.583333333333332,62
23.666666666666668,60
23.75,61
23.833333333333332,62
23.916666666666668,57
24,60
24.083333333333332,64
24.166666666666668,60
24.25,58
24.333333333333332,60
24.416666666666668,61
24.5,58
24.583333333333332,56
24.666666666666668,63
24.75,57
24.833333333333332,59
24.916666666666668,62
25,60
25.083333333333332,59
25.166666666666668,56
25.25,63
25.333333333333332,57
25.416666666666668,63
25.5,59
25.583333333333332,64
25.666666666666668,62
25.75,64
25.833333333333332,57
25.916666666666668,63
26,65
26.083333333333332,61
26.166666666666668,58
26.25,62
26.333333333333332,64
26.416666666666668,60
26.5,65
26.583333333333332,61
26.666666666666668,64
26.75,62
26.833333333333332,60
26.916666666666668,60
27,65
27.083333333333332,63
27.166666666666668,65
27.25,66
27.333333333333332,66
27.416666666666668,61
27.5,62
27.583333333333332,67
27.666666666666668,60
27.75,65
27.833333333333332,62
27.916666666666668,60
28,61
28.083333333333332,65
28.166666666666668,62
28.25,63
28.333333333333332,64
28.416666666666668,63
28.5,64
28.583333333333332,65
28.666666666666668,64
28.75,64
28.833333333333332,62
28.916666666666668,65
29,63
29.083333333333332,64
29.166666666666668,61
29.25,64
29.333333333333332,59
29.416666666666668,61
29.5,66
29.583333333333332,61
29.666666666666668,66
29.75,64
29.833333333333332,62
29.916666666666668,65
30,67
30.083333333333332,63
30.166666666666668,64
30.25,66
30.333333333333332,65
30.416666666666668,64
30.5,63
30.583333333333332,64
30.666666666666668,63
30.75,63
30.833333333333332,62
30.916666666666668,62
31,60
31.083333333333332,61
31.166666666666668,60
31.25,63
31.333333333333332,64
31.416666666666668,60
31.5,64
31.583333333333332,63
31.666666666666668,62
31.75,61
31.833333333333332,62
31.916666666666668,66
32,61
32.083333333333336,66
32.166666666666664,62
32.25,66
32.333333333333336,62
32.416666666666664,63
32.5,65
32.583333333333336,65
32.666666666666664,62
32.75,63
32.833333333333336,67
32.916666666666664,65
33,65
33.083333333333336,63
33.166666666666664,64
33.25,69
33.333333333333336,65
33.416666666666664,65
33.5,67
33.583333333333336,62
33.666666666666664,65
33.75,66
33.833333333333336,66
33.916666666666664,68
34,67
34.083333333333336,63
34.166666666666664,69
34.25,65
34.333333333333336,66
34.416666666666664,66
34.5,65
34.583333333333336,66
34.666666666666664,68
34.75,68
34.833333333333336,64
34.916666666666664,70
35,62
35.083333333333336,65
35.166666666666664,67
35.25,69
35.333333333333336,69
35.416666666666664,68
35.5,67
35.583333333333336,64
35.666666666666664,64
35.75,67
35.833333333333336,64
35.916666666666664,71
36,69
36.083333333333336,70
36.166666666666664,72
36.25,65
36.333333333333336,71
36.416666666666664,67
36.5,68
36.583333333333336,67
36.666666666666664,70
36.75,66
36.833333333333336,70
36.916666666666664,64
37,66
37.083333333333336,65
37.166666666666664,66
37.25,68
37.333333333333336,69
37.416666666666664,69
37.5,70
37.583333333333336,70
37.666666666666664,65
37.75,71
37.833333333333336,68
37.916666666666664,66
38,68
38.083333333333336,69
38.166666666666664,70
38.25,70
38.333333333333336,67
38.416666666666664,67
38.5,68
38.583333333333336,67
38.666666666666664,68
38.75,67
38.833333333333336,71
38.916666666666664,69
