"Hours since thread went live","Undead Unluck - Episode 20 discussion"
26.583333333333332,617
26.666666666666668,622
26.75,624
26.833333333333332,622
26.916666666666668,623
27,625
27.083333333333332,627
27.166666666666668,623
27.25,630
27.333333333333332,625
27.416666666666668,624
27.5,631
27.583333333333332,627
27.666666666666668,627
27.75,630
27.833333333333332,630
27.916666666666668,626
28,632
28.083333333333332,632
28.166666666666668,637
28.25,637
28.333333333333332,639
28.416666666666668,640
28.5,634
28.583333333333332,632
28.666666666666668,639
28.75,641
28.833333333333332,634
28.916666666666668,634
29,641
29.083333333333332,641
29.166666666666668,639
29.25,645
29.333333333333332,639
29.416666666666668,640
29.5,642
29.583333333333332,640
29.666666666666668,644
29.75,642
29.833333333333332,639
29.916666666666668,643
30,644
30.083333333333332,639
30.166666666666668,641
30.25,647
30.333333333333332,640
30.416666666666668,645
30.5,647
30.583333333333332,646
30.666666666666668,649
30.75,647
30.833333333333332,649
30.916666666666668,646
31,649
31.083333333333332,645
31.166666666666668,645
31.25,647
31.333333333333332,647
31.416666666666668,651
31.5,647
31.583333333333332,649
31.666666666666668,648
31.75,650
31.833333333333332,649
31.916666666666668,652
32,654
32.083333333333336,650
32.166666666666664,651
32.25,650
32.333333333333336,653
32.416666666666664,651
32.5,653
32.583333333333336,652
32.666666666666664,649
32.75,646
32.833333333333336,655
32.916666666666664,650
33,654
33.083333333333336,653
33.166666666666664,648
33.25,652
33.333333333333336,648
33.416666666666664,655
33.5,654
33.583333333333336,651
33.666666666666664,653
33.75,652
33.833333333333336,655
33.916666666666664,648
34,658
34.083333333333336,654
34.166666666666664,655
34.25,654
34.333333333333336,658
34.416666666666664,655
34.5,655
34.583333333333336,653
34.666666666666664,655
34.75,654
34.833333333333336,658
34.916666666666664,650
35,657
35.083333333333336,653
35.166666666666664,656
35.25,653
35.333333333333336,653
35.416666666666664,657
35.5,663
35.583333333333336,656
35.666666666666664,662
35.75,658
35.833333333333336,659
35.916666666666664,660
36,653
36.083333333333336,658
36.166666666666664,661
36.25,657
36.333333333333336,660
36.416666666666664,665
36.5,660
36.583333333333336,661
36.666666666666664,656
36.75,656
36.833333333333336,659
36.916666666666664,656
37,664
37.083333333333336,661
37.166666666666664,656
37.25,663
37.333333333333336,659
37.416666666666664,659
37.5,662
37.583333333333336,665
37.666666666666664,661
37.75,667
37.833333333333336,659
37.916666666666664,665
38,663
38.083333333333336,668
38.166666666666664,666
38.25,659
38.333333333333336,662
38.416666666666664,670
38.5,665
38.583333333333336,666
38.666666666666664,662
38.75,664
38.833333333333336,664
38.916666666666664,668
39,668
39.083333333333336,663
39.166666666666664,668
39.25,667
39.333333333333336,665
39.416666666666664,662
39.5,665
39.583333333333336,668
39.666666666666664,667
39.75,663
39.833333333333336,661
39.916666666666664,665
40,666
40.083333333333336,666
40.166666666666664,668
40.25,665
40.333333333333336,660
40.416666666666664,661
40.5,661
40.583333333333336,664
40.666666666666664,667
40.75,662
40.833333333333336,666
40.916666666666664,662
41,666
41.083333333333336,665
41.166666666666664,669
41.25,669
41.333333333333336,664
41.416666666666664,670
41.5,668
41.583333333333336,669
41.666666666666664,665
41.75,670
41.833333333333336,666
41.916666666666664,667
42,666
42.083333333333336,668
42.166666666666664,673
42.25,674
42.333333333333336,671
42.416666666666664,672
42.5,669
42.583333333333336,671
42.666666666666664,672
42.75,672
42.833333333333336,675
42.916666666666664,670
43,673
43.083333333333336,673
43.166666666666664,674
43.25,673
43.333333333333336,670
43.416666666666664,671
43.5,669
43.583333333333336,673
43.666666666666664,672
43.75,664
43.833333333333336,664
43.916666666666664,672
44,667
44.083333333333336,665
44.166666666666664,671
44.25,673
44.333333333333336,674
44.416666666666664,677
44.5,670
44.583333333333336,672
44.666666666666664,670
44.75,674
44.833333333333336,673
44.916666666666664,674
45,673
45.083333333333336,671
45.166666666666664,671
45.25,667
45.333333333333336,668
45.416666666666664,673
45.5,672
45.583333333333336,671
45.666666666666664,673
45.75,676
45.833333333333336,674
45.916666666666664,673
46,673
46.083333333333336,676
46.166666666666664,673
46.25,676
46.333333333333336,674
46.416666666666664,675
46.5,678
46.583333333333336,679
46.666666666666664,671
46.75,671
46.833333333333336,677
46.916666666666664,674
47,671
47.083333333333336,672
47.166666666666664,672
47.25,677
47.333333333333336,672
47.416666666666664,675
47.5,673
47.583333333333336,677
47.666666666666664,671
47.75,675
47.833333333333336,675
47.916666666666664,681
