"Hours since thread went live","Kusuriya no Hitorigoto • The Apothecary Diaries - Episode 23 discussion"
26.75,3048
26.833333333333332,3052
26.916666666666668,3052
27,3056
27.083333333333332,3055
27.166666666666668,3062
27.25,3068
27.333333333333332,3059
27.416666666666668,3066
27.5,3070
27.583333333333332,3076
27.666666666666668,3068
27.75,3080
27.833333333333332,3084
27.916666666666668,3089
28,3087
28.083333333333332,3090
28.166666666666668,3089
28.25,3091
28.333333333333332,3095
28.416666666666668,3090
28.5,3101
28.583333333333332,3105
28.666666666666668,3110
28.75,3101
28.833333333333332,3114
28.916666666666668,3105
29,3103
29.083333333333332,3112
29.166666666666668,3113
29.25,3115
29.333333333333332,3124
29.416666666666668,3122
29.5,3117
29.583333333333332,3128
29.666666666666668,3130
29.75,3127
29.833333333333332,3137
29.916666666666668,3136
30,3141
30.083333333333332,3140
30.166666666666668,3139
30.25,3148
30.333333333333332,3142
30.416666666666668,3148
30.5,3147
30.583333333333332,3150
30.666666666666668,3152
30.75,3161
30.833333333333332,3155
30.916666666666668,3155
31,3152
31.083333333333332,3160
31.166666666666668,3167
31.25,3160
31.333333333333332,3162
31.416666666666668,3167
31.5,3162
31.583333333333332,3173
31.666666666666668,3172
31.75,3176
31.833333333333332,3173
31.916666666666668,3176
32,3177
32.083333333333336,3182
32.166666666666664,3184
32.25,3182
32.333333333333336,3190
32.416666666666664,3183
32.5,3193
32.583333333333336,3190
32.666666666666664,3192
32.75,3193
32.833333333333336,3198
32.916666666666664,3200
33,3201
33.083333333333336,3200
33.166666666666664,3203
33.25,3204
33.333333333333336,3204
33.416666666666664,3206
33.5,3202
33.583333333333336,3208
33.666666666666664,3208
33.75,3211
33.833333333333336,3211
33.916666666666664,3206
34,3214
34.083333333333336,3207
34.166666666666664,3210
34.25,3211
34.333333333333336,3213
34.416666666666664,3217
34.5,3214
34.583333333333336,3215
34.666666666666664,3219
34.75,3224
34.833333333333336,3223
34.916666666666664,3224
35,3219
35.083333333333336,3227
35.166666666666664,3225
35.25,3227
35.333333333333336,3236
35.416666666666664,3237
35.5,3239
35.583333333333336,3231
35.666666666666664,3237
35.75,3232
35.833333333333336,3235
35.916666666666664,3235
36,3238
36.083333333333336,3236
36.166666666666664,3238
36.25,3248
36.333333333333336,3240
36.416666666666664,3240
36.5,3251
36.583333333333336,3240
36.666666666666664,3248
36.75,3247
36.833333333333336,3252
36.916666666666664,3256
37,3252
37.083333333333336,3250
37.166666666666664,3253
37.25,3255
37.333333333333336,3255
37.416666666666664,3257
37.5,3260
37.583333333333336,3261
37.666666666666664,3261
37.75,3262
37.833333333333336,3268
37.916666666666664,3263
38,3259
38.083333333333336,3258
38.166666666666664,3267
38.25,3267
38.333333333333336,3268
38.416666666666664,3266
38.5,3262
38.583333333333336,3271
38.666666666666664,3275
38.75,3271
38.833333333333336,3269
38.916666666666664,3270
39,3274
39.083333333333336,3275
39.166666666666664,3268
39.25,3271
39.333333333333336,3278
39.416666666666664,3275
39.5,3279
39.583333333333336,3280
39.666666666666664,3274
39.75,3282
39.833333333333336,3284
39.916666666666664,3274
40,3280
40.083333333333336,3280
40.166666666666664,3275
40.25,3276
40.333333333333336,3279
40.416666666666664,3279
40.5,3274
40.583333333333336,3274
40.666666666666664,3284
40.75,3278
40.833333333333336,3283
40.916666666666664,3286
41,3285
41.083333333333336,3278
41.166666666666664,3285
41.25,3281
41.333333333333336,3282
41.416666666666664,3279
41.5,3282
41.583333333333336,3284
41.666666666666664,3287
41.75,3285
41.833333333333336,3280
41.916666666666664,3287
42,3287
42.083333333333336,3282
42.166666666666664,3284
42.25,3283
42.333333333333336,3293
42.416666666666664,3287
42.5,3289
42.583333333333336,3292
42.666666666666664,3293
42.75,3291
42.833333333333336,3296
42.916666666666664,3287
43,3290
43.083333333333336,3294
43.166666666666664,3291
43.25,3293
43.333333333333336,3287
43.416666666666664,3297
43.5,3292
43.583333333333336,3302
43.666666666666664,3297
43.75,3295
43.833333333333336,3300
43.916666666666664,3299
44,3303
44.083333333333336,3293
44.166666666666664,3305
44.25,3300
44.333333333333336,3303
44.416666666666664,3301
44.5,3300
44.583333333333336,3297
44.666666666666664,3303
44.75,3299
44.833333333333336,3301
44.916666666666664,3307
45,3301
45.083333333333336,3305
45.166666666666664,3310
45.25,3302
45.333333333333336,3303
45.416666666666664,3312
45.5,3306
45.583333333333336,3307
45.666666666666664,3306
45.75,3302
45.833333333333336,3307
45.916666666666664,3309
46,3304
46.083333333333336,3308
46.166666666666664,3304
46.25,3309
46.333333333333336,3312
46.416666666666664,3311
46.5,3316
46.583333333333336,3315
46.666666666666664,3315
46.75,3305
46.833333333333336,3313
46.916666666666664,3316
47,3313
47.083333333333336,3311
47.166666666666664,3314
47.25,3315
47.333333333333336,3314
47.416666666666664,3312
47.5,3312
47.583333333333336,3319
47.666666666666664,3320
47.75,3317
47.833333333333336,3314
47.916666666666664,3312
