"Hours since thread went live","Boku no Kokoro no Yabai Yatsu Season 2 • The Dangers in My Heart Season 2 - Episode 11 discussion"
20.75,1395
20.833333333333332,1393
20.916666666666668,1405
21,1406
21.083333333333332,1404
21.166666666666668,1407
21.25,1411
21.333333333333332,1410
21.416666666666668,1413
21.5,1415
21.583333333333332,1411
21.666666666666668,1414
21.75,1421
21.833333333333332,1414
21.916666666666668,1418
22,1422
22.083333333333332,1421
22.166666666666668,1427
22.25,1429
22.333333333333332,1424
22.416666666666668,1425
22.5,1430
22.583333333333332,1429
22.666666666666668,1427
22.75,1435
22.833333333333332,1429
22.916666666666668,1435
23,1440
23.083333333333332,1443
23.166666666666668,1438
23.25,1448
23.333333333333332,1452
23.416666666666668,1447
23.5,1451
23.583333333333332,1451
23.666666666666668,1450
23.75,1453
23.833333333333332,1457
23.916666666666668,1457
24,1458
24.083333333333332,1459
24.166666666666668,1456
24.25,1466
24.333333333333332,1458
24.416666666666668,1466
24.5,1467
24.583333333333332,1464
24.666666666666668,1469
24.75,1467
24.833333333333332,1469
24.916666666666668,1468
25,1472
25.083333333333332,1467
25.166666666666668,1477
25.25,1473
25.333333333333332,1476
25.416666666666668,1477
25.5,1479
25.583333333333332,1482
25.666666666666668,1480
25.75,1482
25.833333333333332,1478
25.916666666666668,1480
26,1481
26.083333333333332,1479
26.166666666666668,1483
26.25,1487
26.333333333333332,1487
26.416666666666668,1480
26.5,1486
26.583333333333332,1483
26.666666666666668,1491
26.75,1485
26.833333333333332,1492
26.916666666666668,1488
27,1491
27.083333333333332,1496
27.166666666666668,1494
27.25,1493
27.333333333333332,1493
27.416666666666668,1500
27.5,1505
27.583333333333332,1503
27.666666666666668,1501
27.75,1503
27.833333333333332,1498
27.916666666666668,1502
28,1509
28.083333333333332,1505
28.166666666666668,1501
28.25,1508
28.333333333333332,1509
28.416666666666668,1508
28.5,1514
28.583333333333332,1512
28.666666666666668,1508
28.75,1514
28.833333333333332,1517
28.916666666666668,1518
29,1522
29.083333333333332,1517
29.166666666666668,1520
29.25,1523
29.333333333333332,1521
29.416666666666668,1520
29.5,1520
29.583333333333332,1523
29.666666666666668,1526
29.75,1522
29.833333333333332,1524
29.916666666666668,1517
30,1526
30.083333333333332,1522
30.166666666666668,1521
30.25,1524
30.333333333333332,1525
30.416666666666668,1522
30.5,1525
30.583333333333332,1522
30.666666666666668,1523
30.75,1523
30.833333333333332,1529
30.916666666666668,1528
31,1531
31.083333333333332,1524
31.166666666666668,1525
31.25,1528
31.333333333333332,1527
31.416666666666668,1531
31.5,1534
31.583333333333332,1525
31.666666666666668,1529
31.75,1524
31.833333333333332,1531
31.916666666666668,1527
32,1532
32.083333333333336,1532
32.166666666666664,1539
32.25,1538
32.333333333333336,1537
32.416666666666664,1537
32.5,1534
32.583333333333336,1544
32.666666666666664,1536
32.75,1537
32.833333333333336,1540
32.916666666666664,1541
33,1545
33.083333333333336,1542
33.166666666666664,1548
33.25,1538
33.333333333333336,1549
33.416666666666664,1538
33.5,1546
33.583333333333336,1548
33.666666666666664,1547
33.75,1545
33.833333333333336,1541
33.916666666666664,1542
34,1544
34.083333333333336,1547
34.166666666666664,1552
34.25,1545
34.333333333333336,1549
34.416666666666664,1554
34.5,1548
34.583333333333336,1552
34.666666666666664,1552
34.75,1551
34.833333333333336,1555
34.916666666666664,1554
35,1554
35.083333333333336,1552
35.166666666666664,1553
35.25,1552
35.333333333333336,1553
35.416666666666664,1556
35.5,1551
35.583333333333336,1554
35.666666666666664,1550
35.75,1554
35.833333333333336,1554
35.916666666666664,1556
36,1554
36.083333333333336,1550
36.166666666666664,1554
36.25,1560
36.333333333333336,1559
36.416666666666664,1557
36.5,1558
36.583333333333336,1554
36.666666666666664,1559
36.75,1556
36.833333333333336,1564
36.916666666666664,1559
37,1558
37.083333333333336,1561
37.166666666666664,1563
37.25,1564
37.333333333333336,1560
37.416666666666664,1560
37.5,1564
37.583333333333336,1564
37.666666666666664,1559
37.75,1558
37.833333333333336,1554
37.916666666666664,1562
38,1565
38.083333333333336,1556
38.166666666666664,1560
38.25,1564
38.333333333333336,1558
38.416666666666664,1562
38.5,1563
38.583333333333336,1567
38.666666666666664,1563
38.75,1559
38.833333333333336,1560
38.916666666666664,1565
39,1560
39.083333333333336,1560
39.166666666666664,1565
39.25,1569
39.333333333333336,1566
39.416666666666664,1565
39.5,1562
39.583333333333336,1569
39.666666666666664,1565
